Year,District,Tree Cover (%)
2000,Barpeta,16.31212800983049
2001,Barpeta,17.991814195195726
2002,Barpeta,15.961663940959422
2003,Barpeta,20.66869303187067
2004,Barpeta,17.590753474902385
2005,Barpeta,22.065595127381595
2006,Barpeta,19.259812396288844
2007,Barpeta,20.722365311038992
2008,Barpeta,21.314945538752795
2009,Barpeta,20.55540321803119
2010,Barpeta,20.647821759706954
2011,Barpeta,20.054306447739723
2012,Barpeta,17.825216195192148
2013,Barpeta,24.10245625045284
2014,Barpeta,17.140434204860977
2015,Barpeta,20.883989968279547
2016,Barpeta,19.650892297336995
2017,Barpeta,19.991925279492232
2018,Barpeta,24.777985906965785
2019,Barpeta,23.48393888746825
2020,Barpeta,19.826858206734137
2000,Cachar,38.85841825022537
2001,Cachar,36.097399054948895
2002,Cachar,39.49314437636885
2003,Cachar,42.231203543858854
2004,Cachar,39.626165667374906
2005,Cachar,40.94817860106051
2006,Cachar,39.97900160702338
2007,Cachar,40.74971601737158
2008,Cachar,39.139082092056555
2009,Cachar,43.40870390023153
2010,Cachar,41.033632420212925
2011,Cachar,40.49224000001867
2012,Cachar,39.50960562286762
2013,Cachar,41.47059085999814
2014,Cachar,39.02519666252004
2015,Cachar,39.91651814870325
2016,Cachar,40.908820968943736
2017,Cachar,40.19461986485773
2018,Cachar,42.26043291234772
2019,Cachar,44.99973228017663
2020,Cachar,38.70394085928194
2000,Darrang,13.62754449650251
2001,Darrang,15.737476661524182
2002,Darrang,13.368232937711461
2003,Darrang,16.252115254816722
2004,Darrang,15.413006927034964
2005,Darrang,20.427807410459135
2006,Darrang,16.58408945977455
2007,Darrang,18.214613172980815
2008,Darrang,18.364204311372507
2009,Darrang,18.620726757946066
2010,Darrang,15.24142037087359
2011,Darrang,16.12285242194211
2012,Darrang,14.049695613681385
2013,Darrang,19.491159045686462
2014,Darrang,12.398656229729502
2015,Darrang,20.181600460633558
2016,Darrang,17.13623424378953
2017,Darrang,16.978944421556427
2018,Darrang,18.27283116530217
2019,Darrang,24.845579550235794
2020,Darrang,15.332828031591314
2000,Dhuburi,11.827505157264538
2001,Dhuburi,12.905354074498492
2002,Dhuburi,13.299313033675668
2003,Dhuburi,17.390588485234748
2004,Dhuburi,14.227644529701088
2005,Dhuburi,19.595876679614292
2006,Dhuburi,17.122690303235355
2007,Dhuburi,13.832457238474229
2008,Dhuburi,16.440790589108023
2009,Dhuburi,18.945470707221656
2010,Dhuburi,17.58780774907977
2011,Dhuburi,17.64174190632981
2012,Dhuburi,14.964658291864113
2013,Dhuburi,19.782182818714094
2014,Dhuburi,15.910950770527494
2015,Dhuburi,18.084607165570155
2016,Dhuburi,14.675712726696444
2017,Dhuburi,16.217107516769286
2018,Dhuburi,18.707574968046053
2019,Dhuburi,20.593042865674423
2020,Dhuburi,16.30569240212613
2000,Dibrugarh,19.45201524085058
2001,Dibrugarh,17.143766657635243
2002,Dibrugarh,20.17437844560106
2003,Dibrugarh,19.185605592544217
2004,Dibrugarh,20.58990021573449
2005,Dibrugarh,23.340595712745635
2006,Dibrugarh,20.537262088440947
2007,Dibrugarh,21.62871257664928
2008,Dibrugarh,20.73433147829678
2009,Dibrugarh,24.32990931897986
2010,Dibrugarh,23.16636294174267
2011,Dibrugarh,22.983654969997882
2012,Dibrugarh,18.921273649449148
2013,Dibrugarh,21.770498739943132
2014,Dibrugarh,19.130203615677583
2015,Dibrugarh,24.399361809221897
2016,Dibrugarh,22.321298079702807
2017,Dibrugarh,22.301355964099503
2018,Dibrugarh,25.025778452176315
2019,Dibrugarh,25.67983557475727
2020,Dibrugarh,22.136097485214396
2000,Goalpara,8.571774677143695
2001,Goalpara,12.814433885413905
2002,Goalpara,13.326822805496624
2003,Goalpara,16.93824072111652
2004,Goalpara,13.345129458891142
2005,Goalpara,17.090783945229017
2006,Goalpara,17.509848659105646
2007,Goalpara,16.295319149790863
2008,Goalpara,15.423713321152523
2009,Goalpara,16.540106793415056
2010,Goalpara,15.481955508770222
2011,Goalpara,17.81986596582631
2012,Goalpara,13.873545426877214
2013,Goalpara,17.966016350481524
2014,Goalpara,14.903916562119731
2015,Goalpara,20.253198428633905
2016,Goalpara,16.560484628357347
2017,Goalpara,19.251512956937916
2018,Goalpara,21.06599103827247
2019,Goalpara,22.45752470702601
2020,Goalpara,16.69463381168704
2000,Golaghat,13.629697401048816
2001,Golaghat,14.482539898791847
2002,Golaghat,19.746382820128094
2003,Golaghat,16.25335018310035
2004,Golaghat,17.879455524941058
2005,Golaghat,16.930230063523382
2006,Golaghat,19.154502392922762
2007,Golaghat,20.42552891068717
2008,Golaghat,17.453036886008658
2009,Golaghat,19.932032748472185
2010,Golaghat,16.389879491281185
2011,Golaghat,17.265188605945447
2012,Golaghat,16.08917352884917
2013,Golaghat,18.11411358507246
2014,Golaghat,13.454917869130913
2015,Golaghat,23.563044514860728
2016,Golaghat,19.273583214124464
2017,Golaghat,19.458972670544597
2018,Golaghat,22.058977577230152
2019,Golaghat,26.53717297136622
2020,Golaghat,19.557283335251707
2000,Kamrup,19.67886427130284
2001,Kamrup,23.574104687954687
2002,Kamrup,23.801337224600736
2003,Kamrup,25.267342111788558
2004,Kamrup,23.053781819231457
2005,Kamrup,26.014574766411382
2006,Kamrup,25.15521340418406
2007,Kamrup,29.011536232458177
2008,Kamrup,23.675643716040884
2009,Kamrup,25.14126707476816
2010,Kamrup,24.582961583602383
2011,Kamrup,25.98843490536692
2012,Kamrup,20.589692790586877
2013,Kamrup,26.31772030108524
2014,Kamrup,20.491775860140315
2015,Kamrup,27.910130770934078
2016,Kamrup,24.53193283666522
2017,Kamrup,24.10714524226016
2018,Kamrup,26.164358921582828
2019,Kamrup,30.33345482132108
2020,Kamrup,22.46177436647008
2000,Karbi Anglong,51.72756079204849
2001,Karbi Anglong,46.1266976101919
2002,Karbi Anglong,52.226149928470505
2003,Karbi Anglong,50.56918043063027
2004,Karbi Anglong,53.01568348675142
2005,Karbi Anglong,51.62187081225434
2006,Karbi Anglong,51.43059236754979
2007,Karbi Anglong,54.515981978294356
2008,Karbi Anglong,50.88498330558718
2009,Karbi Anglong,48.98930233563637
2010,Karbi Anglong,48.72012218259432
2011,Karbi Anglong,51.09745149543957
2012,Karbi Anglong,47.283742014814926
2013,Karbi Anglong,50.757978665909015
2014,Karbi Anglong,43.82412526668441
2015,Karbi Anglong,49.524034562603674
2016,Karbi Anglong,47.83624208021642
2017,Karbi Anglong,53.2822877885792
2018,Karbi Anglong,53.67104608478942
2019,Karbi Anglong,56.6981983425622
2020,Karbi Anglong,49.16557006669428
2000,Karimganj,27.1877375236293
2001,Karimganj,26.06812289378305
2002,Karimganj,29.30948365107238
2003,Karimganj,29.753745973717777
2004,Karimganj,28.61251612314364
2005,Karimganj,29.017962322885644
2006,Karimganj,29.401086165442106
2007,Karimganj,29.09788507591391
2008,Karimganj,25.094197589875307
2009,Karimganj,33.675549748154694
2010,Karimganj,26.434493078757846
2011,Karimganj,27.709876131022043
2012,Karimganj,28.1454803555859
2013,Karimganj,30.861871077302236
2014,Karimganj,28.446461075068445
2015,Karimganj,31.645037194320825
2016,Karimganj,30.950590281197286
2017,Karimganj,30.952424896775888
2018,Karimganj,29.78336788149704
2019,Karimganj,34.38989015845725
2020,Karimganj,29.622559190251955
2000,Nagaon,19.992211383209934
2001,Nagaon,17.685394520030197
2002,Nagaon,20.936048157779197
2003,Nagaon,19.89623532506164
2004,Nagaon,19.343228724033224
2005,Nagaon,20.330649968669125
2006,Nagaon,19.530548958456475
2007,Nagaon,24.35597612445692
2008,Nagaon,19.902566035150237
2009,Nagaon,20.077557718937427
2010,Nagaon,19.38679131223761
2011,Nagaon,19.243525676376056
2012,Nagaon,18.358346438505865
2013,Nagaon,21.25956486038154
2014,Nagaon,15.733310493679095
2015,Nagaon,23.896078394534342
2016,Nagaon,18.968013358987392
2017,Nagaon,20.76235501884821
2018,Nagaon,21.171868766294
2019,Nagaon,28.08437911320986
2020,Nagaon,20.023036075233794
2000,Nalbari,13.605010426797389
2001,Nalbari,17.868809753160992
2002,Nalbari,15.111153485471448
2003,Nalbari,19.665151622287592
2004,Nalbari,18.762422803639655
2005,Nalbari,22.852263660225148
2006,Nalbari,18.85276712944877
