Year,Month,District,Flood Events,Flood Extent (sq km)
2000,1,Barpeta,4046470,3479.3946458823534
2000,2,Barpeta,4046470,2917.6871188235295
2000,3,Barpeta,4046470,744.5755411764678
2000,4,Barpeta,4046470,0.0
2000,5,Barpeta,4046470,0.0
2000,6,Barpeta,4046470,3521.769974117648
2000,7,Barpeta,4046470,0.0
2000,8,Barpeta,4046470,2716.1080411764706
2000,9,Barpeta,4046470,902.6215658823527
2000,10,Barpeta,4046470,3572.095228235294
2000,11,Barpeta,4046470,2888.483841176471
2000,12,Barpeta,4046470,3498.660127058824
2001,1,Barpeta,4046470,2154.2727176470567
2001,2,Barpeta,4046470,0.0
2001,3,Barpeta,4046470,3492.960095294118
2001,4,Barpeta,4046470,3442.6959458823535
2001,5,Barpeta,4046470,0.0
2001,6,Barpeta,4046470,0.0
2001,7,Barpeta,4046470,1873.9254282352922
2001,8,Barpeta,4046470,609.5669505882333
2001,9,Barpeta,4046470,2735.400289411763
2001,10,Barpeta,4046470,3635.0230870588243
2001,11,Barpeta,4046470,0.0
2001,12,Barpeta,4046470,3569.1984882352945
2002,1,Barpeta,4046470,0.0
2002,2,Barpeta,4046470,3529.6985576470593
2002,3,Barpeta,4046470,3625.224871764706
2002,4,Barpeta,4046470,444.35032235294113
2002,5,Barpeta,4046470,3623.169974117647
2002,6,Barpeta,4046470,2715.27532588235
2002,7,Barpeta,4046470,0.0
2002,8,Barpeta,4046470,1388.3745141176444
2002,9,Barpeta,4046470,2662.891072941174
2002,10,Barpeta,4046470,3603.2006188235296
2002,11,Barpeta,4046470,3377.0915858823523
2002,12,Barpeta,4046470,3110.120442352941
2003,1,Barpeta,4046470,3547.927355294118
2003,2,Barpeta,4046470,3093.1806988235303
2003,3,Barpeta,4046470,3619.2885352941184
2003,4,Barpeta,4046470,3575.1212117647065
2003,5,Barpeta,4046470,3291.7800564705885
2003,6,Barpeta,4046470,0.0
2003,7,Barpeta,4046470,0.0
2003,8,Barpeta,4046470,990.4272000000001
2003,9,Barpeta,4046470,0.0
2003,10,Barpeta,4046470,46.471214117647044
2003,11,Barpeta,4046470,3350.98796117647
2003,12,Barpeta,4046470,3578.6792823529418
2004,1,Barpeta,4046470,2737.3499470588235
2004,2,Barpeta,4046470,3409.3001541176473
2004,3,Barpeta,4046470,3575.836362352942
2004,4,Barpeta,4046470,1035.1942094117617
2004,5,Barpeta,4046470,3082.2312388235273
2004,6,Barpeta,4046470,0.0009
2004,7,Barpeta,4046470,0.0
2004,8,Barpeta,4046470,1995.1875282352912
2004,9,Barpeta,4046470,1563.76006235294
2004,10,Barpeta,4046470,3566.4986576470587
2004,11,Barpeta,4046470,3626.852915294118
2004,12,Barpeta,4046470,3531.567691764707
2005,1,Barpeta,4046470,1828.8953011764675
2005,2,Barpeta,4046470,3465.460863529412
2005,3,Barpeta,4046470,3438.1160964705873
2005,4,Barpeta,4046470,1891.2637376470573
2005,5,Barpeta,4046470,1067.7831176470554
2005,6,Barpeta,4046470,44.89868823529411
2005,7,Barpeta,4046470,0.0
2005,8,Barpeta,4046470,0.1062
2005,9,Barpeta,4046470,3163.0267199999994
2005,10,Barpeta,4046470,3628.291492941177
2005,11,Barpeta,4046470,3601.5888882352942
2005,12,Barpeta,4046470,3351.848008235295
2006,1,Barpeta,4046470,2653.0869211764693
2006,2,Barpeta,4046470,3460.4062835294126
2006,3,Barpeta,4046470,1841.4705917647052
2006,4,Barpeta,4046470,3378.777744705881
2006,5,Barpeta,4046470,3232.3410282352943
2006,6,Barpeta,4046470,0.0
2006,7,Barpeta,4046470,257.91993882352926
2006,8,Barpeta,4046470,287.1779576470588
2006,9,Barpeta,4046470,634.0961894117644
2006,10,Barpeta,4046470,3631.63161882353
2006,11,Barpeta,4046470,3598.4150611764708
2006,12,Barpeta,4046470,3563.8716952941177
2007,1,Barpeta,4046470,1716.4436505882354
2007,2,Barpeta,4046470,3453.9342776470594
2007,3,Barpeta,4046470,3563.848941176471
2007,4,Barpeta,4046470,3350.9580000000005
2007,5,Barpeta,4046470,3606.1690235294122
2007,6,Barpeta,4046470,7.816651764705883
2007,7,Barpeta,4046470,74.72515411764714
2007,8,Barpeta,4046470,2880.954719999998
2007,9,Barpeta,4046470,3603.0378988235293
2007,10,Barpeta,4046470,3618.08541882353
2007,11,Barpeta,4046470,3384.013916470587
2007,12,Barpeta,4046470,3043.126351764705
2008,1,Barpeta,4046470,2142.5876294117634
2008,2,Barpeta,4046470,2954.763628235293
2008,3,Barpeta,4046470,3175.780348235292
2008,4,Barpeta,4046470,3406.4452658823534
2008,5,Barpeta,4046470,3583.266829411765
2008,6,Barpeta,4046470,1137.0164258823527
2008,7,Barpeta,4046470,0.0
2008,8,Barpeta,4046470,379.86502235293926
2008,9,Barpeta,4046470,2993.709734117646
2008,10,Barpeta,4046470,3640.213461176471
2008,11,Barpeta,4046470,3622.6633870588244
2008,12,Barpeta,4046470,3576.6771882352946
2009,1,Barpeta,4046470,3047.218792941176
2009,2,Barpeta,4046470,3518.2275352941188
2009,3,Barpeta,4046470,3489.6329258823525
2009,4,Barpeta,4046470,3557.5093517647065
2009,5,Barpeta,4046470,3526.1186364705886
2009,6,Barpeta,4046470,2855.848023529411
2009,7,Barpeta,4046470,112.64123647058825
2009,8,Barpeta,4046470,396.0576529411747
2009,9,Barpeta,4046470,0.0
2009,10,Barpeta,4046470,3635.061543529412
2009,11,Barpeta,4046470,3580.6459552941174
2009,12,Barpeta,4046470,2223.689872941177
2010,1,Barpeta,4046470,3426.0164647058828
2010,2,Barpeta,4046470,3151.095028235293
2010,3,Barpeta,4046470,3088.3294164705876
2010,4,Barpeta,4046470,3206.5683811764684
2010,5,Barpeta,4046470,20.736928235294116
2010,6,Barpeta,4046470,2001.5476941176466
2010,7,Barpeta,4046470,424.7750188235261
2010,8,Barpeta,4046470,403.0219058823515
2010,9,Barpeta,4046470,194.23982117647049
