Year,Month,District,Temperature (°C)
1981,1,Barpeta,22.047896857533708
1981,2,Barpeta,25.72350935408478
1981,3,Barpeta,28.730098082013832
1981,4,Barpeta,29.152993759668142
1981,5,Barpeta,30.879275723382637
1981,6,Barpeta,32.50894410000004
1981,7,Barpeta,31.016487067169926
1981,8,Barpeta,32.00518746605398
1981,9,Barpeta,30.61565367905116
1981,10,Barpeta,30.728043541984558
1981,11,Barpeta,27.58547628938011
1981,12,Barpeta,23.207977445832935
1982,1,Barpeta,24.03289288606076
1982,2,Barpeta,24.623610218699795
1982,3,Barpeta,28.5428241803821
1982,4,Barpeta,28.429427236058157
1982,5,Barpeta,31.52889690973358
1982,6,Barpeta,30.559681822280922
1982,7,Barpeta,31.16633640313461
1982,8,Barpeta,31.888833201832107
1982,9,Barpeta,30.531925268851143
1982,10,Barpeta,29.933768944762885
1982,11,Barpeta,25.9224554702586
1982,12,Barpeta,22.519109692748188
1983,1,Barpeta,21.39034651544851
1983,2,Barpeta,23.85396662759856
1983,3,Barpeta,27.56867716642282
1983,4,Barpeta,30.689826962265048
1983,5,Barpeta,28.89315032422234
1983,6,Barpeta,31.869026757524292
1983,7,Barpeta,31.585963070800364
1983,8,Barpeta,31.19355276945778
1983,9,Barpeta,29.480904591588924
1983,10,Barpeta,29.535502495251198
1983,11,Barpeta,27.154992929923207
1983,12,Barpeta,22.15118254429658
1984,1,Barpeta,20.982131546055133
1984,2,Barpeta,24.777587160940058
1984,3,Barpeta,30.521233565498367
1984,4,Barpeta,31.147202091054442
1984,5,Barpeta,28.69633484251345
1984,6,Barpeta,31.146442274151127
1984,7,Barpeta,30.265559234304693
1984,8,Barpeta,31.592728115027235
1984,9,Barpeta,29.127827895629625
1984,10,Barpeta,29.606282159398226
1984,11,Barpeta,25.939299347579087
1984,12,Barpeta,22.818401234647794
1985,1,Barpeta,22.8418139979134
1985,2,Barpeta,24.321951824561292
1985,3,Barpeta,28.777140454447267
1985,4,Barpeta,30.06215533696821
1985,5,Barpeta,30.50428094977699
1985,6,Barpeta,30.860610815322797
1985,7,Barpeta,29.791959563779002
1985,8,Barpeta,31.758387087529396
1985,9,Barpeta,31.027760049730624
1985,10,Barpeta,30.16675429131048
1985,11,Barpeta,26.248900536705065
1985,12,Barpeta,24.171974240415913
1986,1,Barpeta,22.866250847917698
1986,2,Barpeta,26.061772852523948
1986,3,Barpeta,30.501241316577083
1986,4,Barpeta,28.983701475592326
1986,5,Barpeta,30.491255834925276
1986,6,Barpeta,32.391143360148206
1986,7,Barpeta,31.076561254274385
1986,8,Barpeta,32.018072550505515
1986,9,Barpeta,29.633985610005748
1986,10,Barpeta,28.191821691775235
1986,11,Barpeta,26.455910300495063
1986,12,Barpeta,23.11072434372787
1987,1,Barpeta,23.338429617323097
1987,2,Barpeta,26.41260732888938
1987,3,Barpeta,27.429054181000577
1987,4,Barpeta,29.868913098326544
1987,5,Barpeta,31.58890241938046
1987,6,Barpeta,31.644474807092855
1987,7,Barpeta,30.35965033213829
1987,8,Barpeta,30.484893826818602
1987,9,Barpeta,30.192906488380235
1987,10,Barpeta,29.168278225123448
1987,11,Barpeta,26.64260171262697
1987,12,Barpeta,24.032176870619487
1988,1,Barpeta,23.3960556620847
1988,2,Barpeta,26.40678037520323
1988,3,Barpeta,28.547723752403993
1988,4,Barpeta,30.25013545400257
1988,5,Barpeta,29.740145985778344
1988,6,Barpeta,31.25292303356143
1988,7,Barpeta,31.336152810227237
1988,8,Barpeta,30.327316718645132
1988,9,Barpeta,30.684283227227237
1988,10,Barpeta,29.107056444278903
1988,11,Barpeta,26.35544039406652
1988,12,Barpeta,23.854302553751392
1989,1,Barpeta,21.46195660461044
1989,2,Barpeta,23.70470739489048
1989,3,Barpeta,29.194935850287283
1989,4,Barpeta,30.88268709654523
1989,5,Barpeta,31.485057926925094
1989,6,Barpeta,31.04410253492422
1989,7,Barpeta,30.30609710943581
1989,8,Barpeta,31.719527907736556
1989,9,Barpeta,30.111162391060706
1989,10,Barpeta,29.572169764978305
1989,11,Barpeta,25.33151268776556
1989,12,Barpeta,22.432250389141682
1990,1,Barpeta,23.71985852998115
1990,2,Barpeta,24.132187548467993
1990,3,Barpeta,26.181934228886785
1990,4,Barpeta,26.956904806918704
1990,5,Barpeta,30.60815142885444
1990,6,Barpeta,31.217655115158376
1990,7,Barpeta,31.043162428964774
1990,8,Barpeta,31.87461143340713
1990,9,Barpeta,30.5642128335114
1990,10,Barpeta,28.136729952935625
1990,11,Barpeta,27.615623201905375
1990,12,Barpeta,24.235902024745123
1991,1,Barpeta,22.249198021054568
1991,2,Barpeta,25.986117328529236
1991,3,Barpeta,29.7906433554268
1991,4,Barpeta,29.324896853761384
1991,5,Barpeta,28.051462050516456
1991,6,Barpeta,30.728055183329868
1991,7,Barpeta,31.52057727476466
1991,8,Barpeta,31.717969693297135
1991,9,Barpeta,30.316866921281246
1991,10,Barpeta,29.19293713398592
1991,11,Barpeta,26.10975699400094
1991,12,Barpeta,21.83858525492139
1992,1,Barpeta,22.089413291634735
1992,2,Barpeta,22.67069130912523
1992,3,Barpeta,29.152316758407707
1992,4,Barpeta,31.447160242125594
1992,5,Barpeta,29.734707829571512
1992,6,Barpeta,31.5985447054726
1992,7,Barpeta,30.680977717332638
1992,8,Barpeta,31.83697355682452
1992,9,Barpeta,30.872070236173542
1992,10,Barpeta,28.867311283727265
1992,11,Barpeta,26.423173887598278
1992,12,Barpeta,22.401624469901908
1993,1,Barpeta,20.316735416572968
1993,2,Barpeta,24.567080147855634
1993,3,Barpeta,27.598947613871314
1993,4,Barpeta,29.43744128823647
1993,5,Barpeta,29.028703517268767
1993,6,Barpeta,29.939873467027507
1993,7,Barpeta,31.44431910777657
1993,8,Barpeta,31.128040122164123
1993,9,Barpeta,30.465713003675887
1993,10,Barpeta,29.804954706422908
1993,11,Barpeta,27.11574546630281
1993,12,Barpeta,24.826543528519228
1994,1,Barpeta,23.688653438943195
1994,2,Barpeta,24.23145313116205
1994,3,Barpeta,27.549307588330162
1994,4,Barpeta,29.924091431561774
1994,5,Barpeta,31.51106685255278
1994,6,Barpeta,31.37511969008108
1994,7,Barpeta,32.91911002713639
1994,8,Barpeta,32.40014401909696
1994,9,Barpeta,32.416825797632754
1994,10,Barpeta,29.2377166033591
1994,11,Barpeta,26.06075612880799
1994,12,Barpeta,23.79289658992066
1995,1,Barpeta,21.98465246402703
1995,2,Barpeta,24.668305205066286
1995,3,Barpeta,30.008009142915988
1995,4,Barpeta,30.925005958850218
1995,5,Barpeta,31.43736899539076
1995,6,Barpeta,31.477792589384126
1995,7,Barpeta,30.71800166286835
1995,8,Barpeta,31.529861440424522
1995,9,Barpeta,30.3960626720291
1995,10,Barpeta,30.19184083549292
1995,11,Barpeta,26.493631092332443
1995,12,Barpeta,23.206306765554043
1996,1,Barpeta,22.183957120005406
1996,2,Barpeta,26.264058605616455
1996,3,Barpeta,29.375579947424004
1996,4,Barpeta,32.28659365443265
1996,5,Barpeta,29.76081235112704
1996,6,Barpeta,31.2021828339083
1996,7,Barpeta,30.842519529291568
1996,8,Barpeta,31.680087732080477
1996,9,Barpeta,31.664874138095126
1996,10,Barpeta,29.740455179454496
1996,11,Barpeta,27.122807558847445
1996,12,Barpeta,24.56179947929049
1997,1,Barpeta,22.510656953078755
1997,2,Barpeta,22.857135678746285
1997,3,Barpeta,29.467707803043204
1997,4,Barpeta,28.708128901979588
1997,5,Barpeta,30.708049294007832
1997,6,Barpeta,30.858063019244284
1997,7,Barpeta,31.90973990684537
1997,8,Barpeta,31.91506519410729
1997,9,Barpeta,30.08493357623466
1997,10,Barpeta,29.543973814794814
1997,11,Barpeta,26.62804666282243
1997,12,Barpeta,22.266387916637107
1998,1,Barpeta,20.786725780938095
1998,2,Barpeta,25.83479177422304
1998,3,Barpeta,27.53077290031007
1998,4,Barpeta,29.593239673331375
1998,5,Barpeta,32.01227313843051
1998,6,Barpeta,30.9348685522067
1998,7,Barpeta,30.754117699796893
1998,8,Barpeta,31.28471869048015
1998,9,Barpeta,30.951412918975514
1998,10,Barpeta,30.214171068532576
1998,11,Barpeta,27.40443369897085
1998,12,Barpeta,24.896534307856182
1999,1,Barpeta,23.495900021042193
1999,2,Barpeta,28.595651674261514
1999,3,Barpeta,31.453653434917978
1999,4,Barpeta,32.503842183597364
1999,5,Barpeta,30.239551533071797
1999,6,Barpeta,31.824405619448868
1999,7,Barpeta,30.83891210555701
1999,8,Barpeta,30.80643559268891
1999,9,Barpeta,30.989359993245632
1999,10,Barpeta,29.138841019426927
1999,11,Barpeta,27.316806677981074
1999,12,Barpeta,24.42533277769903
2000,1,Barpeta,22.193984095843646
2000,2,Barpeta,23.964867561185322
2000,3,Barpeta,27.821789296517757
2000,4,Barpeta,30.24911335625692
2000,5,Barpeta,30.802738017902715
2000,6,Barpeta,31.123117803203158
2000,7,Barpeta,32.007509694006735
2000,8,Barpeta,31.188101732712013
2000,9,Barpeta,30.144546432127058
2000,10,Barpeta,30.146597758543386
2000,11,Barpeta,25.990587355590215
2000,12,Barpeta,23.882859050939466
2001,1,Barpeta,22.482807864253527
2001,2,Barpeta,25.92699863116859
2001,3,Barpeta,30.28108321627114
2001,4,Barpeta,30.09087574360164
2001,5,Barpeta,30.770585595764025
2001,6,Barpeta,31.927749415664536
2001,7,Barpeta,32.280379445554416
2001,8,Barpeta,32.45393171928354
2001,9,Barpeta,31.1140021311404
2001,10,Barpeta,29.4569268503099
2001,11,Barpeta,26.940456737769228
2001,12,Barpeta,23.708038119932528
2002,1,Barpeta,22.750785028352336
2002,2,Barpeta,27.168177102237337
2002,3,Barpeta,29.607851124187544
2002,4,Barpeta,28.240210125321813
2002,5,Barpeta,30.101488376451908
2002,6,Barpeta,30.71955852838933
2002,7,Barpeta,30.65196236855879
2002,8,Barpeta,31.283035373959432
2002,9,Barpeta,31.19715876383278
2002,10,Barpeta,30.064517390769176
2002,11,Barpeta,26.7609545792473
2002,12,Barpeta,23.709673404405383
2003,1,Barpeta,20.679628024217294
2003,2,Barpeta,24.394203983569085
2003,3,Barpeta,26.90487188128375
2003,4,Barpeta,29.059541665059903
2003,5,Barpeta,30.484913417438026
2003,6,Barpeta,31.079342874724844
2003,7,Barpeta,31.606318435032446
2003,8,Barpeta,32.51777894345794
2003,9,Barpeta,31.436888874638058
2003,10,Barpeta,29.123827918422755
2003,11,Barpeta,26.54462317824342
2003,12,Barpeta,23.2033981628725
2004,1,Barpeta,21.626607698581374
2004,2,Barpeta,25.559582628550377
2004,3,Barpeta,30.51070112118924
2004,4,Barpeta,26.957445636010476
2004,5,Barpeta,30.89446980300956
2004,6,Barpeta,31.222110432049792
2004,7,Barpeta,29.99720839502529
2004,8,Barpeta,32.55805932444947
2004,9,Barpeta,30.99065494401772
2004,10,Barpeta,28.565743101043
2004,11,Barpeta,26.85920089723219
2004,12,Barpeta,23.8100696061877
2005,1,Barpeta,21.874582732211877
2005,2,Barpeta,26.38086093953139
2005,3,Barpeta,28.302179128353718
2005,4,Barpeta,29.26370896790663
2005,5,Barpeta,29.274576217067505
2005,6,Barpeta,32.38960372079498
2005,7,Barpeta,31.771803641418266
2005,8,Barpeta,31.83346637274926
2005,9,Barpeta,32.58720382003807
2005,10,Barpeta,28.756429216900532
2005,11,Barpeta,26.90021365439264
2005,12,Barpeta,24.698095077575164
2006,1,Barpeta,22.359518679863136
2006,2,Barpeta,27.775149231113293
2006,3,Barpeta,31.466819339209586
2006,4,Barpeta,30.10527099078018
2006,5,Barpeta,31.440784119997268
2006,6,Barpeta,30.799304721685395
2006,7,Barpeta,32.886349497370375
2006,8,Barpeta,33.35733839997835
2006,9,Barpeta,31.672889572009
2006,10,Barpeta,30.87162260870803
2006,11,Barpeta,26.616626692929184
2006,12,Barpeta,24.42442496665836
2007,1,Barpeta,23.15990944528771
2007,2,Barpeta,23.96233925961173
2007,3,Barpeta,29.75012985814916
2007,4,Barpeta,29.912899196530926
2007,5,Barpeta,32.59060456342221
2007,6,Barpeta,32.04126473626764
2007,7,Barpeta,31.72704647265719
2007,8,Barpeta,33.084757317906394
2007,9,Barpeta,31.63022792897817
2007,10,Barpeta,31.003301702715362
2007,11,Barpeta,28.408801816027186
2007,12,Barpeta,25.0476251736178
2008,1,Barpeta,22.894383312035
2008,2,Barpeta,24.223109774212062
2008,3,Barpeta,28.954333366795147
2008,4,Barpeta,30.951090546410953
2008,5,Barpeta,32.40754499421014
2008,6,Barpeta,31.89423817190181
2008,7,Barpeta,32.546518280279756
2008,8,Barpeta,31.887337912299177
2008,9,Barpeta,32.25959641456773
2008,10,Barpeta,30.571663053101926
2008,11,Barpeta,27.513908439475983
2008,12,Barpeta,24.825319820585456
2009,1,Barpeta,24.01767247589636
2009,2,Barpeta,27.999017551910246
2009,3,Barpeta,30.65542876076288
2009,4,Barpeta,31.26454976542847
2009,5,Barpeta,32.029584035950094
2009,6,Barpeta,32.86791383824087
2009,7,Barpeta,33.41385049459293
2009,8,Barpeta,32.371422400250864
2009,9,Barpeta,33.2557018574948
2009,10,Barpeta,31.445267294788792
2009,11,Barpeta,27.827285458909337
2009,12,Barpeta,23.690512457894048
2010,1,Barpeta,23.105671068749277
2010,2,Barpeta,26.705218984570973
2010,3,Barpeta,30.446168273948132
2010,4,Barpeta,29.829047089410516
2010,5,Barpeta,31.203165901310072
2010,6,Barpeta,31.501487922084703
2010,7,Barpeta,32.0491527795348
2010,8,Barpeta,32.89708974876265
2010,9,Barpeta,31.17514272061052
2010,10,Barpeta,29.8749231788459
2010,11,Barpeta,27.705080460026487
2010,12,Barpeta,23.500534909239562
2011,1,Barpeta,21.124680971952262
2011,2,Barpeta,26.19213468831492
2011,3,Barpeta,29.79439611072961
2011,4,Barpeta,30.966854455366114
2011,5,Barpeta,31.800204745597522
2011,6,Barpeta,32.628698028824
2011,7,Barpeta,32.60366680191751
2011,8,Barpeta,32.55438124424595
2011,9,Barpeta,32.499402950492644
2011,10,Barpeta,32.08263425514091
2011,11,Barpeta,26.959856615467128
2011,12,Barpeta,23.999352804288865
2012,1,Barpeta,21.635733769844364
2012,2,Barpeta,26.96586601109702
2012,3,Barpeta,30.85139888265141
2012,4,Barpeta,29.952371659377295
2012,5,Barpeta,32.75660219604013
2012,6,Barpeta,31.43425485055466
2012,7,Barpeta,32.649100870829976
2012,8,Barpeta,33.25348990779464
2012,9,Barpeta,31.117577766910795
2012,10,Barpeta,30.309062284416605
2012,11,Barpeta,27.348867317772143
2012,12,Barpeta,23.5095089678912
2013,1,Barpeta,23.32372390319762
2013,2,Barpeta,28.249167760038997
2013,3,Barpeta,31.886102479243885
2013,4,Barpeta,31.021820812310914
2013,5,Barpeta,30.90146526866499
2013,6,Barpeta,34.173468205325804
2013,7,Barpeta,33.052610609018586
2013,8,Barpeta,33.04045932284775
2013,9,Barpeta,33.083016898053
2013,10,Barpeta,30.523185485179727
2013,11,Barpeta,27.679920808618913
2013,12,Barpeta,23.981932967391685
2014,1,Barpeta,23.888531592750102
2014,2,Barpeta,25.316732320078252
2014,3,Barpeta,30.509981477576005
2014,4,Barpeta,34.732197320505314
2014,5,Barpeta,32.17536043104686
2014,6,Barpeta,32.47483666050729
2014,7,Barpeta,33.18821738149655
2014,8,Barpeta,32.1516688743395
2014,9,Barpeta,31.52823079991478
2014,10,Barpeta,31.748023905213945
2014,11,Barpeta,28.7545722225294
2014,12,Barpeta,25.454156068483467
2015,1,Barpeta,24.059968528467206
2015,2,Barpeta,27.309732545813322
2015,3,Barpeta,30.864245271812745
2015,4,Barpeta,29.682200089017968
2015,5,Barpeta,31.417093285633396
2015,6,Barpeta,31.97639104067673
2015,7,Barpeta,33.54283254516957
2015,8,Barpeta,32.103187272394905
2015,9,Barpeta,32.3605173921696
2015,10,Barpeta,31.730102376394317
2015,11,Barpeta,28.222601373417724
2015,12,Barpeta,22.88980722272643
2016,1,Barpeta,21.398765117115214
2016,2,Barpeta,25.543727319990897
2016,3,Barpeta,28.883856279328498
2016,4,Barpeta,29.27763072487697
2016,5,Barpeta,29.033369030734526
2016,6,Barpeta,31.699219764891954
2016,7,Barpeta,30.244911442070997
2016,8,Barpeta,32.43218076980838
2016,9,Barpeta,31.09635670478244
2016,10,Barpeta,30.612474420238872
2016,11,Barpeta,27.68460000081454
2016,12,Barpeta,24.621576457217717
2017,1,Barpeta,23.1432024407652
2017,2,Barpeta,25.06565372073497
2017,3,Barpeta,25.098735860394417
2017,4,Barpeta,27.59984500776566
2017,5,Barpeta,29.57002471033251
2017,6,Barpeta,30.93116536493426
2017,7,Barpeta,30.485092413756117
2017,8,Barpeta,31.10987962460567
2017,9,Barpeta,30.885004692365214
2017,10,Barpeta,29.26713996234457
2017,11,Barpeta,27.26563365836651
2017,12,Barpeta,24.304031398362692
2018,1,Barpeta,21.39415868439127
2018,2,Barpeta,25.018716743146687
2018,3,Barpeta,27.04379543948657
2018,4,Barpeta,28.668645405576736
2018,5,Barpeta,28.993754099217448
2018,6,Barpeta,31.63550579104079
2018,7,Barpeta,30.728884483967068
2018,8,Barpeta,31.449000708812083
2018,9,Barpeta,30.934542703005445
2018,10,Barpeta,28.80641948853788
2018,11,Barpeta,25.368637690041748
2018,12,Barpeta,21.836267471887492
2019,1,Barpeta,22.270210386859464
2019,2,Barpeta,22.780879044997775
2019,3,Barpeta,27.301329151737967
2019,4,Barpeta,26.537692539100068
2019,5,Barpeta,27.87128392458647
2019,6,Barpeta,31.037288854421327
2019,7,Barpeta,30.494186127628364
2019,8,Barpeta,33.19820388389093
2019,9,Barpeta,30.69215884896156
2019,10,Barpeta,29.19236788255109
2019,11,Barpeta,27.698160544595563
2019,12,Barpeta,22.344300522924208
2020,1,Barpeta,20.90056519325796
2020,2,Barpeta,24.18527079904816
2020,3,Barpeta,28.27054777961771
2020,4,Barpeta,29.371263372222383
2020,5,Barpeta,28.11353647006191
2020,6,Barpeta,30.267871484551037
2020,7,Barpeta,29.26521715178963
2020,8,Barpeta,33.66496841625914
2020,9,Barpeta,31.907452889842848
2020,10,Barpeta,32.380709929953916
2020,11,Barpeta,28.536163701102158
2020,12,Barpeta,24.681351073368393
2021,1,Barpeta,23.82002121104343
2021,2,Barpeta,27.516080293821236
2021,3,Barpeta,31.123196965147624
2021,4,Barpeta,32.466676045489514
2021,5,Barpeta,31.474375993536594
2021,6,Barpeta,32.74243562575623
2021,7,Barpeta,32.69828223549786
2021,8,Barpeta,32.787657808794854
2021,9,Barpeta,33.4123246984665
2021,10,Barpeta,32.424262585001216
2021,11,Barpeta,27.969884500854537
2021,12,Barpeta,25.415657951032216
2022,1,Barpeta,23.61580293384762
2022,2,Barpeta,24.016561734677314
2022,3,Barpeta,32.470980508138574
2022,4,Barpeta,29.62234039374599
2022,5,Barpeta,31.19534830340748
2022,6,Barpeta,30.966148954087462
2022,7,Barpeta,34.149043615401
2022,8,Barpeta,34.13161864692122
2022,9,Barpeta,33.02169320033749
2022,10,Barpeta,30.630306068667743
2022,11,Barpeta,28.908771377957848
2022,12,Barpeta,25.58357389297065
2023,1,Barpeta,24.703256331458018
2023,2,Barpeta,26.98848088140695
2023,3,Barpeta,29.435871421093267
2023,4,Barpeta,31.942489285389527
2023,5,Barpeta,32.3805813770018
2023,6,Barpeta,32.50060549770093
2023,7,Barpeta,33.48369242694508
2023,8,Barpeta,32.806603630202844
2023,9,Barpeta,34.02347932476607
2023,10,Barpeta,30.984073237419253
2023,11,Barpeta,28.955840712773032
2023,12,Barpeta,25.57969129134534
1981,1,Cachar,22.200098555427893
1981,2,Cachar,25.462512287839953
1981,3,Cachar,27.62768073280308
1981,4,Cachar,28.506006944197836
1981,5,Cachar,30.51744203072298
1981,6,Cachar,31.06275980955725
1981,7,Cachar,29.808163238039832
1981,8,Cachar,30.27004791813119
1981,9,Cachar,30.02524352022115
1981,10,Cachar,30.192238074709305
1981,11,Cachar,27.846614850104743
1981,12,Cachar,23.391292646733728
1982,1,Cachar,24.430337086523682
1982,2,Cachar,24.51928670975952
1982,3,Cachar,28.41546368027448
1982,4,Cachar,27.87369667046814
1982,5,Cachar,31.139745187981156
1982,6,Cachar,29.006456033295557
1982,7,Cachar,29.91384897568993
1982,8,Cachar,29.997321973831227
1982,9,Cachar,29.450485498189526
1982,10,Cachar,29.621003830812224
1982,11,Cachar,26.29181372829158
1982,12,Cachar,22.68339508040024
1983,1,Cachar,22.012539932322845
1983,2,Cachar,23.804443921902966
1983,3,Cachar,25.925898357780984
1983,4,Cachar,29.52146366480273
1983,5,Cachar,28.677650520481873
1983,6,Cachar,29.745634793890204
1983,7,Cachar,30.40214487499734
1983,8,Cachar,29.85492055716459
1983,9,Cachar,29.934975050014796
1983,10,Cachar,30.00602533362019
1983,11,Cachar,27.057940614580534
1983,12,Cachar,22.26900057115941
1984,1,Cachar,21.19001044500946
1984,2,Cachar,24.395451546875602
1984,3,Cachar,30.00698334374339
1984,4,Cachar,31.152484927166206
1984,5,Cachar,27.892485071722582
1984,6,Cachar,30.386605160230197
