Year,Temperature (°C),Tree Cover (%),Rainfall (mm),Flood Events,Flood Extent (sq km)
2000,27.66483426672401,22.23664768664324,67735.25112119314,1162719108,571278.9530894116
2001,28.54725714619392,22.446479520659963,57980.07988248554,1162719108,519947.3341764704
2002,28.12595878577866,23.800483522277215,58943.39203401973,1162719108,649078.7559599997
2003,27.679058698343972,25.09555209641476,59540.5656974223,1162719108,541825.9906199998
2004,27.874921795366188,24.73262663623065,69541.83375689862,1162719108,725157.5186929409
2005,28.257134801045236,26.456110279312867,58961.403968522456,1162719108,731494.2250235291
2006,29.03163939092589,25.218787524672518,52429.64561564825,1162719108,742311.993772941
2007,28.700363933058675,26.371903764846405,65076.359310146945,1162719108,738199.209910588
2008,28.64837174544442,24.68067626679191,56762.08911453619,1162719108,718458.7494670586
2009,29.54122840270655,26.737539528827888,54506.6601402886,1162719108,791201.414668235
2010,28.88912920282426,24.686982355651416,71628.31085179528,1162719108,636669.2290941174
2011,29.207719287436483,25.441501375708047,54503.08927965382,1162719108,710390.018308235
2012,28.82692659714059,22.917627604873974,66207.79889534351,1162719108,585619.8977858822
2013,29.610151603117423,26.538506991378462,57877.02454255557,1162719108,736425.5240470585
2014,29.769245025877716,22.3011016562321,56016.208086972314,1162719108,827186.3994141173
2015,29.236167648567477,27.444955638255035,58960.45681599472,1162719108,800747.8614211762
2016,28.743095078915232,25.137402005309177,58096.7562558564,1162719108,751319.5962211762
2017,28.420605273344428,25.97557845125736,67067.78744194945,1162719108,798489.9987599998
2018,28.085628537452042,28.245520847284475,52770.350590906484,1162719108,757461.8229670585
2019,28.25902553540417,31.08107404959602,55984.702885714934,1162719108,806137.5067588233
2020,28.584712415347816,24.98868328420956,58197.108870752745,1162719108,749531.3773623527
