Year,Month,Temperature (°C)
1981,1,15.045503268447659
1981,2,19.01149992930319
1981,3,21.687438596144204
1981,4,26.144185929850142
1981,5,28.393110286560677
1981,6,28.892229196886657
1981,7,26.81137845666451
1981,8,26.68954868957181
1981,9,25.95396124436005
1981,10,24.273411755032452
1981,11,19.398229458583916
1981,12,16.60063021943317
1982,1,16.422973814784427
1982,2,16.862081432593513
1982,3,21.068642937680114
1982,4,25.219106670766074
1982,5,27.277286187828444
1982,6,27.9300776047207
1982,7,27.793732000287964
1982,8,26.464803515066926
1982,9,26.04663214302675
1982,10,23.965515934873864
1982,11,19.418520304045657
1982,12,16.685756932373685
1983,1,15.050800909483874
1983,2,16.46640852423627
1983,3,21.051192915846467
1983,4,23.764622559921477
1983,5,27.738362151085514
1983,6,28.571493157147078
1983,7,27.42055084530524
1983,8,26.546251147783256
1983,9,25.75441258052049
1983,10,23.444477709704728
1983,11,19.91597317678815
1983,12,16.35638481923774
1984,1,15.179644603224956
1984,2,17.054826246176116
1984,3,23.433745808390572
1984,4,26.337738740400177
1984,5,29.39084386968896
1984,6,28.28466206763163
1984,7,26.201890720636097
1984,8,26.25611440210365
1984,9,25.157612465378058
1984,10,24.210472623761373
1984,11,19.88509656573209
1984,12,17.50923792463487
1985,1,15.506482023694113
1985,2,18.916090492650845
1985,3,24.046973944861254
1985,4,26.442084005183094
1985,5,28.489511089786603
1985,6,28.036151584049307
1985,7,26.293228339416743
1985,8,26.472465486799145
1985,9,25.70455083137523
1985,10,23.038478293469606
1985,11,19.518910582279517
1985,12,17.234268047545182
1986,1,15.597466204012465
1986,2,17.387087415213514
1986,3,21.650089052806393
1986,4,25.694149270079663
1986,5,27.730028929981163
1986,6,28.702860393261762
1986,7,26.852350632773106
1986,8,26.55994522192229
1986,9,26.053296398907065
1986,10,23.539458184176095
1986,11,20.724229117857668
1986,12,16.555743035533375
1987,1,16.326544965314667
1987,2,19.030602514017556
1987,3,22.140814149343978
1987,4,26.423561639110588
1987,5,27.63164918668388
1987,6,29.690410436951492
1987,7,28.189111072359136
1987,8,27.296362210062625
1987,9,26.787019347049384
1987,10,24.26149041838186
1987,11,21.35755939428631
1987,12,17.1019942341112
1988,1,16.857528756308223
1988,2,19.577199320557348
1988,3,22.31059139591972
1988,4,27.004141470706532
1988,5,29.3557201154353
1988,6,28.53322982295256
1988,7,26.841714785755215
1988,8,26.20517468951305
1988,9,25.99443267172978
1988,10,24.16484009685302
1988,11,20.406874645931964
1988,12,17.658613610444217
1989,1,15.221336547648269
1989,2,17.98850423764563
1989,3,21.788830768930232
1989,4,26.106328678069193
1989,5,28.78372251466825
1989,6,27.634785007206485
1989,7,26.885004435472883
1989,8,26.102246201572555
1989,9,26.046599643181178
1989,10,24.39255337060226
1989,11,20.30495196488045
1989,12,16.320401221522953
1990,1,17.795089761030145
1990,2,17.796081091068654
1990,3,20.60070599705362
1990,4,25.527061597061746
1990,5,27.571173725715266
1990,6,28.024056604769953
1990,7,26.36655799556561
1990,8,26.531542074284573
1990,9,25.524377309619627
1990,10,23.332811591473614
1990,11,20.633630749109578
1990,12,16.85304591570175
1991,1,15.16758936317344
1991,2,18.663587044728157
1991,3,22.723605476516394
1991,4,25.416237998931198
1991,5,28.46331623706831
