Year,Month,District,Rainfall (mm)
2000,1,Kannur,10.409410538442454
2000,2,Kannur,6.1247919640554604
2000,3,Kannur,6.494445870950412
2000,4,Kannur,70.90622616022299
2000,5,Kannur,122.72371969565697
2000,6,Kannur,848.4546553461739
2000,7,Kannur,597.9432047399663
2000,8,Kannur,1012.9440093678921
2000,9,Kannur,272.25730389613176
2000,10,Kannur,201.59399137306636
2000,11,Kannur,58.811521026782266
2000,12,Kannur,15.518853616428348
2001,1,Kannur,17.0142028565852
2001,2,Kannur,5.805361138365667
2001,3,Kannur,0.3208329980097315
2001,4,Kannur,158.86591274410404
2001,5,Kannur,314.6645070722103
2001,6,Kannur,650.3762192695474
2001,7,Kannur,750.7889828948847
2001,8,Kannur,447.29282033398437
2001,9,Kannur,216.41919098006989
2001,10,Kannur,299.6163793945325
2001,11,Kannur,92.72347488851818
2001,12,Kannur,15.738686948414857
2002,1,Kannur,5.385452525876849
2002,2,Kannur,7.731200464523637
2002,3,Kannur,4.023336540093456
2002,4,Kannur,42.15077192771837
2002,5,Kannur,357.298507843813
2002,6,Kannur,861.8669139954931
2002,7,Kannur,432.74719818617837
2002,8,Kannur,411.82606048821515
2002,9,Kannur,151.99675915567295
2002,10,Kannur,606.7865830601091
2002,11,Kannur,77.07630072183068
2002,12,Kannur,9.23176479337977
2003,1,Kannur,6.498316646158188
2003,2,Kannur,6.563871946936868
2003,3,Kannur,6.695894902097011
2003,4,Kannur,86.64674397050155
2003,5,Kannur,81.31484674562493
2003,6,Kannur,913.1894401222683
2003,7,Kannur,701.625161942232
2003,8,Kannur,509.03874315792547
2003,9,Kannur,116.4116979836404
2003,10,Kannur,273.6150357208173
2003,11,Kannur,62.54617122208632
2003,12,Kannur,4.962006799042371
2004,1,Kannur,4.945938621391067
2004,2,Kannur,3.3155052040883066
2004,3,Kannur,9.009673876337335
2004,4,Kannur,56.95027682544252
2004,5,Kannur,566.569338390618
2004,6,Kannur,888.1729534913628
2004,7,Kannur,835.1966309165653
2004,8,Kannur,542.0089900680292
2004,9,Kannur,241.29488835412175
2004,10,Kannur,347.0791068179386
2004,11,Kannur,114.4737459354392
2004,12,Kannur,4.265082427972171
2005,1,Kannur,14.936012613363264
2005,2,Kannur,3.186187567032346
2005,3,Kannur,4.664041675566134
2005,4,Kannur,112.69710227853285
2005,5,Kannur,126.8569809000495
2005,6,Kannur,778.5898577736435
2005,7,Kannur,975.9871629264364
2005,8,Kannur,728.126634680753
2005,9,Kannur,289.7466494621475
2005,10,Kannur,371.4417846508449
2005,11,Kannur,83.54688687542183
2005,12,Kannur,25.504947731756047
2006,1,Kannur,4.7494563683231155
2006,2,Kannur,4.078569593103929
2006,3,Kannur,15.910865099510648
2006,4,Kannur,20.86544130525388
2006,5,Kannur,426.4528170324605
2006,6,Kannur,1017.9929516317002
2006,7,Kannur,613.4513873764176
2006,8,Kannur,578.274311829694
2006,9,Kannur,399.62653203790825
2006,10,Kannur,321.66047260541325
2006,11,Kannur,203.49622687661824
2006,12,Kannur,11.156528643873587
2007,1,Kannur,6.16625976805888
2007,2,Kannur,3.191821564756444
2007,3,Kannur,1.3536605777098454
2007,4,Kannur,99.1961126488954
2007,5,Kannur,292.2508682634504
2007,6,Kannur,961.0508566437813
2007,7,Kannur,999.2213959208943
2007,8,Kannur,772.8211717735392
2007,9,Kannur,403.86855937437673
2007,10,Kannur,263.15765106006296
2007,11,Kannur,55.602922330538995
2007,12,Kannur,20.720213156472486
2008,1,Kannur,4.108683034936343
2008,2,Kannur,8.527709249996098
2008,3,Kannur,30.29184031369895
2008,4,Kannur,97.59727845348442
2008,5,Kannur,113.59816395008595
2008,6,Kannur,787.3457135914696
2008,7,Kannur,855.269726711277
2008,8,Kannur,793.5960190387118
2008,9,Kannur,243.42867356115102
2008,10,Kannur,422.4128907952272
2008,11,Kannur,37.718269437244246
2008,12,Kannur,8.549707369048054
2009,1,Kannur,8.077666545618694
2009,2,Kannur,3.0668821575030045
2009,3,Kannur,16.50074472104166
2009,4,Kannur,53.30707683044519
2009,5,Kannur,230.9575026075587
2009,6,Kannur,808.1312938675777
2009,7,Kannur,1247.7431967288874
2009,8,Kannur,674.052746927196
2009,9,Kannur,360.3010795166965
2009,10,Kannur,160.02730016603888
2009,11,Kannur,198.00807488545084
2009,12,Kannur,43.45980369220205
2010,1,Kannur,6.7513406667845075
2010,2,Kannur,3.5432479244571393
2010,3,Kannur,1.4954765452561123
2010,4,Kannur,83.61897979251476
2010,5,Kannur,196.77101317758027
2010,6,Kannur,979.3919098674069
2010,7,Kannur,893.7314404291583
2010,8,Kannur,663.9539748061417
2010,9,Kannur,321.9704730782968
2010,10,Kannur,462.4389437447969
2010,11,Kannur,220.54939855961845
2010,12,Kannur,25.5767672764707
2011,1,Kannur,4.118759762425913
2011,2,Kannur,3.5175666268788817
2011,3,Kannur,7.043912719619933
2011,4,Kannur,146.45400814449258
2011,5,Kannur,130.39545361394318
2011,6,Kannur,1209.5787621819077
2011,7,Kannur,804.7372197728433
2011,8,Kannur,881.5296254870142
2011,9,Kannur,283.912357510274
2011,10,Kannur,408.6132213512118
2011,11,Kannur,124.39603263442933
2011,12,Kannur,11.906879510834576
2012,1,Kannur,4.22186297141965
2012,2,Kannur,9.506899312501085
2012,3,Kannur,2.305099558877313
2012,4,Kannur,141.196061761764
2012,5,Kannur,60.84043700217457
2012,6,Kannur,629.4972280309372
2012,7,Kannur,817.1988745242912
2012,8,Kannur,992.038275869095
2012,9,Kannur,196.7646398759537
2012,10,Kannur,315.32350352617743
2012,11,Kannur,110.76611525066744
2012,12,Kannur,13.32290263667319
