Year,District,Tree Cover (%)
2000,Kannur,40.811372368896535
2001,Kannur,38.99886601586323
2002,Kannur,47.61069576869882
2003,Kannur,35.892178817341616
2004,Kannur,45.95274411411909
2005,Kannur,38.767634555952604
2006,Kannur,42.836470942130134
2007,Kannur,29.46598926246919
2008,Kannur,35.850370259086425
2009,Kannur,43.80527965923267
2010,Kannur,47.03056140656746
2011,Kannur,34.925384808609444
2012,Kannur,40.0234425635827
2013,Kannur,33.20424429140109
2014,Kannur,40.63447325558189
2015,Kannur,46.42296333382363
2016,Kannur,40.906645643223186
2017,Kannur,42.536985421532876
2018,Kannur,36.99190533110362
2019,Kannur,39.385696225255764
2020,Kannur,41.00014644280086
2000,Ernakulam,32.339212315223186
2001,Ernakulam,20.922020736872394
2002,Ernakulam,30.490020521316005
2003,Ernakulam,30.59252540827489
2004,Ernakulam,33.6542823145539
2005,Ernakulam,27.049276799613168
2006,Ernakulam,28.860860087387007
2007,Ernakulam,24.56344572107506
2008,Ernakulam,31.392809369054028
2009,Ernakulam,29.74461478421306
2010,Ernakulam,34.969462265028135
2011,Ernakulam,27.250271835731912
2012,Ernakulam,28.951142579253684
2013,Ernakulam,20.783942526407703
2014,Ernakulam,30.218800167925142
2015,Ernakulam,37.05533584641931
2016,Ernakulam,24.902914444103367
2017,Ernakulam,32.25748428307048
2018,Ernakulam,30.81124256960578
2019,Ernakulam,30.074954520208593
2020,Ernakulam,30.147025104496834
2000,Idukki,52.39955678134515
2001,Idukki,46.901241219765524
2002,Idukki,46.52064291178086
2003,Idukki,47.44552970385315
2004,Idukki,51.34395063705567
2005,Idukki,52.37112719639219
2006,Idukki,50.988696730014105
2007,Idukki,45.36502280800292
2008,Idukki,48.65719431510094
2009,Idukki,48.518416441888775
2010,Idukki,52.76137164798501
2011,Idukki,45.6893872841784
2012,Idukki,48.0439375390223
2013,Idukki,46.770715303377926
2014,Idukki,50.96599445105425
2015,Idukki,57.46515012715261
2016,Idukki,48.9204087917757
2017,Idukki,53.099232384760164
2018,Idukki,47.82573389612438
2019,Idukki,46.71399944827701
2020,Idukki,52.198737302591994
2000,Kasaragod,29.24158581965981
2001,Kasaragod,29.319905412068294
2002,Kasaragod,39.121168219828654
