Year,Month,District,Flood Events,Flood Extent (sq km)
2000,1,Kannur,3201587,0.0
2000,2,Kannur,3201587,977.5493823529412
2000,3,Kannur,3201587,2488.4632976470593
2000,4,Kannur,3201587,1753.6985294117653
2000,5,Kannur,3201587,0.0
2000,6,Kannur,3201587,8.410567058823524
2000,7,Kannur,3201587,1414.6455529411764
2000,8,Kannur,3201587,0.0
2000,9,Kannur,3201587,21.725675294117643
2000,10,Kannur,3201587,0.0
2000,11,Kannur,3201587,1809.3829094117652
2000,12,Kannur,3201587,2881.356052941177
2001,1,Kannur,3201587,0.0
2001,2,Kannur,3201587,0.0
2001,3,Kannur,3201587,2862.658852941177
2001,4,Kannur,3201587,20.375939999999996
2001,5,Kannur,3201587,21.181485882352945
2001,6,Kannur,3201587,0.0
2001,7,Kannur,3201587,0.0
2001,8,Kannur,3201587,18.045734117647058
2001,9,Kannur,3201587,1389.4942941176462
2001,10,Kannur,3201587,2081.389387058823
2001,11,Kannur,3201587,2615.911725882353
2001,12,Kannur,3201587,0.0
2002,1,Kannur,3201587,2851.156694117648
2002,2,Kannur,3201587,0.0
2002,3,Kannur,3201587,18.767064705882355
2002,4,Kannur,3201587,65.24935411764709
2002,5,Kannur,3201587,0.0
2002,6,Kannur,3201587,0.0
2002,7,Kannur,3201587,0.0
2002,8,Kannur,3201587,0.0
2002,9,Kannur,3201587,2206.139025882353
2002,10,Kannur,3201587,2872.4167305882356
2002,11,Kannur,3201587,2280.8053941176477
2002,12,Kannur,3201587,29.653800000000004
2003,1,Kannur,3201587,2881.36849764706
2003,2,Kannur,3201587,0.0
2003,3,Kannur,3201587,1127.1131611764708
2003,4,Kannur,3201587,20.922988235294117
2003,5,Kannur,3201587,2278.309972941175
2003,6,Kannur,3201587,0.0
2003,7,Kannur,3201587,0.0
2003,8,Kannur,3201587,0.0
2003,9,Kannur,3201587,0.0
2003,10,Kannur,3201587,2696.2396411764707
2003,11,Kannur,3201587,2634.3204917647067
2003,12,Kannur,3201587,2635.56999882353
2004,1,Kannur,3201587,2642.581863529413
2004,2,Kannur,3201587,0.0
2004,3,Kannur,3201587,2626.4582364705893
2004,4,Kannur,3201587,2603.469631764706
2004,5,Kannur,3201587,0.0
2004,6,Kannur,3201587,0.0
2004,7,Kannur,3201587,0.0
2004,8,Kannur,3201587,1723.4283176470574
2004,9,Kannur,3201587,0.0
2004,10,Kannur,3201587,42.68035058823532
2004,11,Kannur,3201587,2667.757881176472
2004,12,Kannur,3201587,2434.036627058824
2005,1,Kannur,3201587,2173.3953141176466
2005,2,Kannur,3201587,0.0
2005,3,Kannur,3201587,2880.3430552941186
2005,4,Kannur,3201587,2638.5421764705898
2005,5,Kannur,3201587,0.0
2005,6,Kannur,3201587,0.0
2005,7,Kannur,3201587,0.0
2005,8,Kannur,3201587,1760.0958423529416
2005,9,Kannur,3201587,1509.468455294116
2005,10,Kannur,3201587,1527.343168235294
2005,11,Kannur,3201587,2628.928792941177
2005,12,Kannur,3201587,542.6669082352939
2006,1,Kannur,3201587,2761.0798764705896
2006,2,Kannur,3201587,2798.825008235295
2006,3,Kannur,3201587,2571.3915282352937
2006,4,Kannur,3201587,2421.0659858823533
2006,5,Kannur,3201587,34.7822117647059
2006,6,Kannur,3201587,2386.8254823529405
2006,7,Kannur,3201587,0.0
2006,8,Kannur,3201587,50.24819294117645
2006,9,Kannur,3201587,0.0
2006,10,Kannur,3201587,2245.8071823529403
2006,11,Kannur,3201587,0.0
2006,12,Kannur,3201587,0.0
2007,1,Kannur,3201587,2628.2032164705884
2007,2,Kannur,3201587,2875.565421176472
2007,3,Kannur,3201587,0.0
2007,4,Kannur,3201587,1755.4317247058816
2007,5,Kannur,3201587,1603.155359999999
2007,6,Kannur,3201587,0.0
2007,7,Kannur,3201587,0.0
2007,8,Kannur,3201587,0.0
2007,9,Kannur,3201587,0.0
2007,10,Kannur,3201587,0.0
2007,11,Kannur,3201587,2639.71831764706
2007,12,Kannur,3201587,2646.5774082352946
2008,1,Kannur,3201587,2843.0690717647067
2008,2,Kannur,3201587,2660.375572941177
2008,3,Kannur,3201587,0.0
2008,4,Kannur,3201587,16.610322352941175
2008,5,Kannur,3201587,4.010294117647058
2008,6,Kannur,3201587,0.0
2008,7,Kannur,3201587,0.0
2008,8,Kannur,3201587,0.0
2008,9,Kannur,3201587,1167.0689047058813
2008,10,Kannur,3201587,1255.1003329411758
2008,11,Kannur,3201587,2648.1110294117657
2008,12,Kannur,3201587,2664.242961176471
2009,1,Kannur,3201587,919.6970929411757
2009,2,Kannur,3201587,2810.1186070588246
2009,3,Kannur,3201587,2659.1047552941186
2009,4,Kannur,3201587,2651.4495141176485
2009,5,Kannur,3201587,0.0
2009,6,Kannur,3201587,0.0
2009,7,Kannur,3201587,0.0
2009,8,Kannur,3201587,0.0
2009,9,Kannur,3201587,0.0
2009,10,Kannur,3201587,2729.85903882353
2009,11,Kannur,3201587,2445.412694117648
2009,12,Kannur,3201587,0.0
2010,1,Kannur,3201587,2643.994732941176
2010,2,Kannur,3201587,0.0
2010,3,Kannur,3201587,2639.7225070588247
2010,4,Kannur,3201587,0.0
2010,5,Kannur,3201587,2414.294791764705
2010,6,Kannur,3201587,0.0018
2010,7,Kannur,3201587,0.0
2010,8,Kannur,3201587,0.0
2010,9,Kannur,3201587,0.0
2010,10,Kannur,3201587,2421.9207705882354
2010,11,Kannur,3201587,0.0
2010,12,Kannur,3201587,0.0
2011,1,Kannur,3201587,2639.1366
2011,2,Kannur,3201587,2528.0262847058816
