Year,Temperature (°C),Tree Cover (%),Rainfall (mm),Flood Events,Flood Extent (sq km)
2000,30.51027486816284,40.2772233901011,39099.66372223557,516481536,176914.2641823529
2001,30.4895268719581,33.531205691077645,38727.52065529161,516481536,152317.5682058823
2002,30.837309491493773,40.660750073205016,34450.39408674239,516481536,149509.62502941172
2003,31.050780162907298,36.8865331697444,34908.01729800903,516481536,156163.74459176467
2004,30.742372399418347,41.17038185026583,42486.043433785,516481536,170751.45440470584
2005,30.732071575965804,36.76951237949212,42032.00038177156,516481536,196307.7909811764
2006,30.693608565205615,39.628255085139934,46273.38063314557,516481536,156950.33036470585
2007,30.74442455848686,32.54267447967763,49480.20669653315,516481536,226077.18579529406
2008,30.729272509306085,38.43558088554661,40368.82604592949,516481536,207759.42317999993
2009,30.26226692540888,39.96362130829208,41391.93513666495,516481536,175671.89174117643
2010,28.68164392501382,43.6896233546668,48576.088642679046,516481536,101763.47875411762
2011,28.519891852955826,35.49133117180664,46384.666604992344,516481536,157730.6674341176
2012,28.594836595400476,37.8284177807735,37224.94521477807,516481536,232814.32036588227
2013,28.784515272514795,30.999447329772696,38822.93655279948,516481536,235313.44521882347
2014,29.322078716356287,40.39354886227775,40427.3340513136,516481536,358022.1679305881
2015,29.529821936925963,44.9171114542772,37383.91912004997,516481536,372757.87312588224
2016,31.375392414271655,36.875381912976714,26154.146574753508,516481536,374365.55148705875
2017,31.185762462363268,41.00881777336701,40736.78821193504,516481536,366302.207135294
2018,30.768109293916034,38.15093921454901,49544.06524711618,516481536,346506.79977882345
2019,31.217617913742536,37.85614399074779,43208.70693977738,516481536,371121.9945847058
2020,31.347322736293545,39.51380431527174,42780.66092374178,516481536,381507.761975294
