Year,District,Tree Cover (%)
2000,Hoshangabad,10.640091895275527
2001,Hoshangabad,13.316808715222292
2002,Hoshangabad,11.305484099912247
2003,Hoshangabad,9.072321944322145
2004,Hoshangabad,14.068881912895838
2005,Hoshangabad,13.935033741938355
2006,Hoshangabad,12.380966935248335
2007,Hoshangabad,8.912449731040738
2008,Hoshangabad,9.872372005608081
2009,Hoshangabad,15.1579949837109
2010,Hoshangabad,8.303075638538854
2011,Hoshangabad,10.036910655708112
2012,Hoshangabad,9.983098068631211
2013,Hoshangabad,14.074263569787119
2014,Hoshangabad,17.31804596768426
2015,Hoshangabad,16.42069549488247
2016,Hoshangabad,9.513376153170512
2017,Hoshangabad,10.629805166033632
2018,Hoshangabad,11.992653375848379
2019,Hoshangabad,12.57745391265474
2020,Hoshangabad,17.446923571959264
2000,Jabalpur,10.243837627118394
2001,Jabalpur,10.82761563891028
2002,Jabalpur,11.262600042721827
2003,Jabalpur,8.745298272989702
2004,Jabalpur,11.820417625089032
2005,Jabalpur,9.678812042831693
2006,Jabalpur,10.562890855283126
2007,Jabalpur,9.757722786234476
2008,Jabalpur,10.631785806140552
2009,Jabalpur,11.552938623363124
2010,Jabalpur,8.169193390693774
2011,Jabalpur,8.430984851459952
2012,Jabalpur,7.249838204158098
2013,Jabalpur,14.118911487970134
2014,Jabalpur,14.026614422859305
2015,Jabalpur,14.53816690702418
2016,Jabalpur,8.829554691988635
2017,Jabalpur,9.703710555808165
2018,Jabalpur,11.729046048084077
2019,Jabalpur,11.803026529978029
2020,Jabalpur,15.299388024678777
2000,Mandla,14.864369529575931
2001,Mandla,14.688649707092
2002,Mandla,15.797654386923691
2003,Mandla,10.625039421614709
2004,Mandla,15.740186988059028
2005,Mandla,13.848178316383864
2006,Mandla,14.042913532738286
2007,Mandla,11.937853309471574
2008,Mandla,11.161992865227756
2009,Mandla,13.400036640500767
2010,Mandla,10.684902223595081
2011,Mandla,10.86537113560171
2012,Mandla,11.420854088183457
2013,Mandla,14.280671096288126
2014,Mandla,18.183703644501286
2015,Mandla,18.688519696766768
2016,Mandla,10.52574042432777
2017,Mandla,10.827350608280918
2018,Mandla,12.510380575188346
2019,Mandla,14.260288501417007
2020,Mandla,17.5869773125907
2000,Mandsaur,6.784076306065385
2001,Mandsaur,5.611867119600849
2002,Mandsaur,7.432863920599177
2003,Mandsaur,4.924691648738526
2004,Mandsaur,7.482702988674966
2005,Mandsaur,7.7284471578893665
2006,Mandsaur,7.999092124342329
2007,Mandsaur,7.798127105537601
2008,Mandsaur,7.728974079233611
2009,Mandsaur,11.266984826792626
2010,Mandsaur,5.808117174215741
2011,Mandsaur,8.429034577004094
2012,Mandsaur,6.928705578444288
2013,Mandsaur,11.548800525743143
2014,Mandsaur,9.318282910615341
2015,Mandsaur,8.28899982965059
2016,Mandsaur,6.886857387101795
2017,Mandsaur,9.991029736855175
2018,Mandsaur,9.248633890959054
2019,Mandsaur,12.793017932180668
2020,Mandsaur,10.161396662296958
2000,Morena,4.0270601439116245
2001,Morena,2.365497395918116
2002,Morena,2.445684297075787
2003,Morena,2.463311859908811
2004,Morena,2.6762356914252434
2005,Morena,4.199826661379698
2006,Morena,3.2969647774286956
2007,Morena,2.3773943241919655
2008,Morena,4.516558872601627
2009,Morena,2.475328509951414
2010,Morena,2.7878297218452452
2011,Morena,2.378554718096153
2012,Morena,4.351165828525341
2013,Morena,6.596165665753551
2014,Morena,4.320519724116939
2015,Morena,3.1664982912519317
2016,Morena,3.1226235540216445
2017,Morena,3.5091976738042625
2018,Morena,4.787641689290164
2019,Morena,4.683088650856637
2020,Morena,7.276202567809592
2000,Rajgarh,6.484898149188561
2001,Rajgarh,6.326826915640175
2002,Rajgarh,8.855552945056445
2003,Rajgarh,5.673251885761299
2004,Rajgarh,8.037559958381182
2005,Rajgarh,8.228521145772374
2006,Rajgarh,8.046469040534554
2007,Rajgarh,7.218865931089631
2008,Rajgarh,7.232511123401536
2009,Rajgarh,12.753739053536778
2010,Rajgarh,6.278516257166914
2011,Rajgarh,5.956606257123118
2012,Rajgarh,6.969169535378174
2013,Rajgarh,15.578200613775333
2014,Rajgarh,10.815474114469245
2015,Rajgarh,11.202457436298545
2016,Rajgarh,7.565592243607228
2017,Rajgarh,9.617456553430987
2018,Rajgarh,5.084550255593801
2019,Rajgarh,10.212484330925005
2020,Rajgarh,12.540785708344307
2000,West Nimar,6.017200167931199
2001,West Nimar,6.467802177767302
2002,West Nimar,6.947459520301264
2003,West Nimar,5.864859377975939
2004,West Nimar,9.328058942404413
2005,West Nimar,8.373034487875447
2006,West Nimar,6.300077043867957
2007,West Nimar,7.761426401843257
2008,West Nimar,7.027864952911833
2009,West Nimar,14.398510311799194
2010,West Nimar,8.841701090602765
2011,West Nimar,4.72879325687457
2012,West Nimar,6.142778166591181
2013,West Nimar,9.242090562510713
2014,West Nimar,10.624270333948736
2015,West Nimar,10.172696340846057
2016,West Nimar,6.72458943490154
2017,West Nimar,9.221854784749933
2018,West Nimar,6.884016292764875
2019,West Nimar,8.404612747118318
2020,West Nimar,11.667385607047313
2000,Barwani,5.906332992302173
2001,Barwani,5.561753896585455
2002,Barwani,6.909641374396932
2003,Barwani,5.0578230460438975
2004,Barwani,7.412608948733739
2005,Barwani,8.272680555225103
2006,Barwani,5.9645849802636475
2007,Barwani,7.0236484392043605
2008,Barwani,6.309588996567452
2009,Barwani,13.440257103764063
2010,Barwani,7.178662518887686
2011,Barwani,5.056563531827326
2012,Barwani,5.917352275587143
2013,Barwani,6.578471405156746
2014,Barwani,9.590450110871425
2015,Barwani,8.50168912635589
2016,Barwani,6.2017923740158984
2017,Barwani,7.381386501130825
2018,Barwani,5.152089902204594
2019,Barwani,5.618548319804355
2020,Barwani,10.073318907927291
2000,Dindori,16.020741091324684
2001,Dindori,15.379172984802368
2002,Dindori,18.566125060685984
2003,Dindori,11.965449259305176
2004,Dindori,19.26505573961216
2005,Dindori,16.106110576455205
2006,Dindori,14.973637535451578
2007,Dindori,14.942636873069748
2008,Dindori,12.175574856772744
2009,Dindori,14.608937136386603
2010,Dindori,12.553220537108777
2011,Dindori,13.274117672175613
2012,Dindori,12.262239161156746
2013,Dindori,14.352199432109453
2014,Dindori,18.708168812268116
2015,Dindori,20.157155844944395
2016,Dindori,12.472018179595045
2017,Dindori,12.584770180673035
2018,Dindori,11.461669052516694
2019,Dindori,16.03977645929873
2020,Dindori,17.938723579934017
2000,Harda,5.027570358080647
2001,Harda,10.822488259370227
2002,Harda,8.468916022788823
2003,Harda,6.130232755842881
2004,Harda,15.310150074385886
2005,Harda,11.496720576439214
2006,Harda,9.539042787311226
2007,Harda,6.474498323746584
2008,Harda,5.854954511486965
2009,Harda,15.182929775608287
2010,Harda,6.780921013841936
2011,Harda,7.061977636242728
2012,Harda,8.149111002941163
2013,Harda,12.060976409046996
2014,Harda,13.223935664776741
2015,Harda,10.70422470708416
2016,Harda,8.507666614105217
2017,Harda,9.847450106608349
2018,Harda,5.7084605206326575
2019,Harda,12.602279978884006
2020,Harda,13.117832182694512
2000,Katni,8.071707533712525
2001,Katni,9.648120069401552
2002,Katni,7.305841617370666
2003,Katni,7.81453286513577
2004,Katni,8.304001252865747
2005,Katni,8.874469213627702
2006,Katni,8.325002299002861
2007,Katni,7.2069009601188005
2008,Katni,7.954528120400628
2009,Katni,9.212156487931354
2010,Katni,5.078493986781857
2011,Katni,5.108717630003345
2012,Katni,6.057974387437398
2013,Katni,10.64592552044265
2014,Katni,11.95944558946649
2015,Katni,10.252200251067096
2016,Katni,5.698003419521604
2017,Katni,7.255491638675484
2018,Katni,9.87023832197342
2019,Katni,9.422417406233716
2020,Katni,11.44506022370567
2000,Neemuch,4.145750258809097
2001,Neemuch,3.4829131534276105
2002,Neemuch,5.764947968043609
2003,Neemuch,3.4453261430299325
2004,Neemuch,4.84511713507917
2005,Neemuch,5.6524017396851045
2006,Neemuch,6.016872697296179
2007,Neemuch,4.73144439002965
2008,Neemuch,6.142075736080952
2009,Neemuch,5.662239970929712
2010,Neemuch,4.1048592932507555
2011,Neemuch,4.151010531874479
2012,Neemuch,5.591042198953607
2013,Neemuch,7.744823818105131
2014,Neemuch,6.234621337023463
2015,Neemuch,5.420905500695376
2016,Neemuch,4.733496781007413
2017,Neemuch,5.7254832845923955
2018,Neemuch,6.066689744537113
2019,Neemuch,9.252858881944732
2020,Neemuch,7.246427214517015
2000,Sheopur,3.4794884039665965
2001,Sheopur,3.8399774034130414
2002,Sheopur,3.9731848785717436
2003,Sheopur,3.652869332409345
2004,Sheopur,4.634702666486525
2005,Sheopur,4.91398852886454
2006,Sheopur,5.138392328845518
2007,Sheopur,3.6719706704199613
2008,Sheopur,7.080194215960774
2009,Sheopur,5.362290180587413
2010,Sheopur,3.231011827503701
2011,Sheopur,3.0106038149389813
2012,Sheopur,5.22210153938911
2013,Sheopur,9.360546072463519
2014,Sheopur,6.963543190276165
2015,Sheopur,5.537533420511683
2016,Sheopur,4.889912641767949
2017,Sheopur,4.792694302178901
2018,Sheopur,4.48411145359429
2019,Sheopur,8.280278959924061
2020,Sheopur,6.514344464329845
2000,Umaria,12.907779798535287
2001,Umaria,12.834206687746047
2002,Umaria,10.57097136208829
2003,Umaria,9.537232128807098
2004,Umaria,12.588230885587391
2005,Umaria,11.83330156403737
2006,Umaria,11.741776110083872
2007,Umaria,10.581284856359815
2008,Umaria,9.714788193581763
2009,Umaria,12.525153209538324
2010,Umaria,7.461785633643227
2011,Umaria,8.457578109693953
2012,Umaria,8.870056189482206
2013,Umaria,12.50411968646477
2014,Umaria,17.19171272009674
2015,Umaria,13.98949396210674
2016,Umaria,7.2811951392254235
2017,Umaria,9.683951091510268
2018,Umaria,11.463512260739254
2019,Umaria,12.933227125082755
2020,Umaria,13.51901735760267
2000,East Nimar,6.007304006378787
2001,East Nimar,7.06532476668638
2002,East Nimar,6.841140482112212
2003,East Nimar,5.537340601988706
2004,East Nimar,11.19291899754772
2005,East Nimar,7.683878586100981
2006,East Nimar,8.254198389627382
2007,East Nimar,7.236612115181384
2008,East Nimar,6.066746486810485
2009,East Nimar,13.68060532632456
2010,East Nimar,7.685101609165813
2011,East Nimar,5.205105222282888
2012,East Nimar,6.964390561377715
2013,East Nimar,10.834073815104219
2014,East Nimar,10.819069017728287
2015,East Nimar,10.807086244153819
2016,East Nimar,6.832050152600571
2017,East Nimar,8.69007610584969
2018,East Nimar,6.288241656582478
2019,East Nimar,9.298694340900532
2020,East Nimar,10.036308657230856
2000,Guna,6.376171056483672
2001,Guna,6.170700959463026
2002,Guna,7.233692358604194
2003,Guna,4.697943515047437
2004,Guna,8.048701728752427
2005,Guna,7.617856278027566
2006,Guna,8.039071192628963
2007,Guna,5.42993861658812
2008,Guna,7.83825669583566
2009,Guna,8.616577097652964
2010,Guna,3.9320739529953173
2011,Guna,3.5407456904881087
2012,Guna,5.91905314359036
2013,Guna,13.23453077376631
2014,Guna,8.837067421386392
2015,Guna,7.8523367270935305
2016,Guna,5.873561734907288
2017,Guna,6.9224391760263195
2018,Guna,3.7902320887535437
2019,Guna,6.907772494469593
2020,Guna,10.133262916449246
2000,Shahdol,8.900522266212452
2001,Shahdol,8.092029171915613
2002,Shahdol,7.27755795926788
2003,Shahdol,6.048979993049785
2004,Shahdol,8.3840708859452
2005,Shahdol,8.217859992034247
2006,Shahdol,7.765984332990095
2007,Shahdol,7.026996574896229
2008,Shahdol,6.9391738934812235
2009,Shahdol,8.010593204018646
2010,Shahdol,5.728050839394011
2011,Shahdol,6.208797338207562
2012,Shahdol,6.6637126154680235
2013,Shahdol,9.000713793840877
2014,Shahdol,10.70033363542179
2015,Shahdol,10.075882610586788
2016,Shahdol,5.805510327877559
2017,Shahdol,7.558286165690225
2018,Shahdol,5.781762334100445
2019,Shahdol,10.597349751495804
2020,Shahdol,10.755679293805223
2000,Anuppur,6.428529210387469
2001,Anuppur,5.878055945179239
2002,Anuppur,4.961057845694812
2003,Anuppur,5.150451344715718
2004,Anuppur,5.249090898602639
2005,Anuppur,6.596481006603212
2006,Anuppur,5.912728928260971
2007,Anuppur,5.87985307057732
2008,Anuppur,6.191604185127869
2009,Anuppur,5.767613492906229
2010,Anuppur,4.02993434058144
2011,Anuppur,4.857030909225641
2012,Anuppur,5.856694558348666
2013,Anuppur,7.090640349059439
2014,Anuppur,8.85286379697541
2015,Anuppur,7.248061434177057
2016,Anuppur,4.720487983887105
2017,Anuppur,6.1478226605531745
2018,Anuppur,4.798768103819718
2019,Anuppur,7.982173403520328
2020,Anuppur,8.677983971416387
2000,Ashoknagar,7.415875470160782
2001,Ashoknagar,5.508899752721481
2002,Ashoknagar,7.513343565547757
2003,Ashoknagar,5.68291409677022
2004,Ashoknagar,6.2399382277425675
2005,Ashoknagar,7.648928554510229
2006,Ashoknagar,7.1342635174184545
2007,Ashoknagar,5.28359074932022
2008,Ashoknagar,7.443326985570685
2009,Ashoknagar,7.92634473088328
2010,Ashoknagar,4.842657533467873
2011,Ashoknagar,4.603097897658904
2012,Ashoknagar,6.773374451676471
2013,Ashoknagar,9.94891889075217
2014,Ashoknagar,8.064215861827213
2015,Ashoknagar,6.173870524590474
2016,Ashoknagar,5.9958830495788735
2017,Ashoknagar,7.702971321376801
2018,Ashoknagar,3.824893840775372
2019,Ashoknagar,6.33434878587196
2020,Ashoknagar,8.44608475684279
2000,Balaghat,18.217026604940727
2001,Balaghat,18.119871323432005
2002,Balaghat,17.08569162233029
2003,Balaghat,13.77358110808114
2004,Balaghat,17.353762574331718
2005,Balaghat,17.72894145798784
2006,Balaghat,17.70462191228907
2007,Balaghat,13.623714906680373
2008,Balaghat,12.122591924375188
2009,Balaghat,12.811993203843318
2010,Balaghat,11.256770311129548
2011,Balaghat,12.458548034589697
2012,Balaghat,13.154501335631915
2013,Balaghat,14.186778371806103
2014,Balaghat,20.720373286419616
2015,Balaghat,21.770467281872772
2016,Balaghat,12.98914702191448
2017,Balaghat,12.39339426673838
2018,Balaghat,13.379617258126233
2019,Balaghat,16.744558258642748
2020,Balaghat,18.473884212275305
2000,Betul,7.49012167981535
2001,Betul,10.622978347231008
2002,Betul,9.399510408526242
2003,Betul,7.0518317200713705
2004,Betul,11.076974299105402
2005,Betul,10.27362543288149
2006,Betul,8.133631209740145
2007,Betul,8.210322341865705
2008,Betul,6.393906351102895
