Year,Month,District,Flood Events,Flood Extent (sq km)
2000,1,Hoshangabad,8111989,0.0
2000,2,Hoshangabad,8111989,7280.668274117649
2000,3,Hoshangabad,8111989,7298.696032941178
2000,4,Hoshangabad,8111989,7300.729132941178
2000,5,Hoshangabad,8111989,7300.711178823531
2000,6,Hoshangabad,8111989,7199.512574117648
2000,7,Hoshangabad,8111989,247.89310588235276
2000,8,Hoshangabad,8111989,249.53324117647048
2000,9,Hoshangabad,8111989,283.8230011764704
2000,10,Hoshangabad,8111989,7300.719232941177
2000,11,Hoshangabad,8111989,237.94277999999986
2000,12,Hoshangabad,8111989,6338.642632941178
2001,1,Hoshangabad,8111989,6690.52529647059
2001,2,Hoshangabad,8111989,1470.3519741176467
2001,3,Hoshangabad,8111989,7300.729132941177
2001,4,Hoshangabad,8111989,0.0655235294117647
2001,5,Hoshangabad,8111989,7300.701232941176
2001,6,Hoshangabad,8111989,0.0
2001,7,Hoshangabad,8111989,0.0
2001,8,Hoshangabad,8111989,207.95709176470592
2001,9,Hoshangabad,8111989,7077.141564705884
2001,10,Hoshangabad,8111989,1541.083475294117
2001,11,Hoshangabad,8111989,6764.354918823532
2001,12,Hoshangabad,8111989,1411.6865011764703
2002,1,Hoshangabad,8111989,6649.959550588236
2002,2,Hoshangabad,8111989,0.0
2002,3,Hoshangabad,8111989,7300.725532941177
2002,4,Hoshangabad,8111989,308.3925105882353
2002,5,Hoshangabad,8111989,0.0
2002,6,Hoshangabad,8111989,7300.622032941178
2002,7,Hoshangabad,8111989,167.01493411764704
2002,8,Hoshangabad,8111989,0.0
2002,9,Hoshangabad,8111989,7283.775134117649
2002,10,Hoshangabad,8111989,7300.705732941177
2002,11,Hoshangabad,8111989,213.99930705882343
2002,12,Hoshangabad,8111989,7290.977025882354
2003,1,Hoshangabad,8111989,6605.471251764708
2003,2,Hoshangabad,8111989,7299.609532941177
2003,3,Hoshangabad,8111989,309.6732917647059
2003,4,Hoshangabad,8111989,7300.729132941176
2003,5,Hoshangabad,8111989,0.0
2003,6,Hoshangabad,8111989,0.0
2003,7,Hoshangabad,8111989,0.0
2003,8,Hoshangabad,8111989,353.05874117647056
2003,9,Hoshangabad,8111989,52.96099411764707
2003,10,Hoshangabad,8111989,6325.838530588237
2003,11,Hoshangabad,8111989,7222.050144705883
2003,12,Hoshangabad,8111989,6175.045845882351
2004,1,Hoshangabad,8111989,0.41940000000000005
2004,2,Hoshangabad,8111989,6151.472375294118
2004,3,Hoshangabad,8111989,437.29946470588254
2004,4,Hoshangabad,8111989,7300.622932941176
2004,5,Hoshangabad,8111989,6240.08464235294
2004,6,Hoshangabad,8111989,4528.172830588233
2004,7,Hoshangabad,8111989,245.84606823529398
2004,8,Hoshangabad,8111989,0.0
2004,9,Hoshangabad,8111989,6218.18854235294
2004,10,Hoshangabad,8111989,7232.657689411766
2004,11,Hoshangabad,8111989,6492.364009411765
2004,12,Hoshangabad,8111989,6232.201708235293
2005,1,Hoshangabad,8111989,7269.6453105882365
2005,2,Hoshangabad,8111989,7298.150534117648
2005,3,Hoshangabad,8111989,7300.729132941177
2005,4,Hoshangabad,8111989,7196.58209647059
2005,5,Hoshangabad,8111989,6467.986521176471
2005,6,Hoshangabad,8111989,7300.729132941177
2005,7,Hoshangabad,8111989,0.2448
2005,8,Hoshangabad,8111989,4975.235279999998
2005,9,Hoshangabad,8111989,7078.107684705883
2005,10,Hoshangabad,8111989,6402.765127058823
2005,11,Hoshangabad,8111989,7295.535123529413
2005,12,Hoshangabad,8111989,6122.057018823527
2006,1,Hoshangabad,8111989,6213.66372352941
2006,2,Hoshangabad,8111989,7298.458662352941
2006,3,Hoshangabad,8111989,72.81538588235296
2006,4,Hoshangabad,8111989,229.2510070588234
2006,5,Hoshangabad,8111989,7300.5212152941185
2006,6,Hoshangabad,8111989,6330.8335235294135
2006,7,Hoshangabad,8111989,0.0
2006,8,Hoshangabad,8111989,0.0
2006,9,Hoshangabad,8111989,5319.381218823529
2006,10,Hoshangabad,8111989,7214.0512870588245
2006,11,Hoshangabad,8111989,6371.300922352941
2006,12,Hoshangabad,8111989,7269.64671882353
2007,1,Hoshangabad,8111989,7262.920768235295
2007,2,Hoshangabad,8111989,7277.062231764706
2007,3,Hoshangabad,8111989,7300.563532941177
2007,4,Hoshangabad,8111989,7293.666755294119
2007,5,Hoshangabad,8111989,7018.526435294118
2007,6,Hoshangabad,8111989,33.89164588235296
2007,7,Hoshangabad,8111989,0.0
2007,8,Hoshangabad,8111989,0.0
2007,9,Hoshangabad,8111989,5424.132187058824
2007,10,Hoshangabad,8111989,6348.9438670588215
2007,11,Hoshangabad,8111989,7297.7296517647055
2007,12,Hoshangabad,8111989,6953.198675294118
2008,1,Hoshangabad,8111989,6368.344189411765
2008,2,Hoshangabad,8111989,7123.562689411766
2008,3,Hoshangabad,8111989,5670.346672941175
2008,4,Hoshangabad,8111989,7300.729132941177
2008,5,Hoshangabad,8111989,7300.729132941178
2008,6,Hoshangabad,8111989,6261.609695294118
2008,7,Hoshangabad,8111989,3.632068235294116
2008,8,Hoshangabad,8111989,28.093044705882352
2008,9,Hoshangabad,8111989,1471.2964552941173
2008,10,Hoshangabad,8111989,7300.707532941177
2008,11,Hoshangabad,8111989,7299.042596470589
2008,12,Hoshangabad,8111989,7285.241862352941
2009,1,Hoshangabad,8111989,7288.75491882353
2009,2,Hoshangabad,8111989,7300.1760952941195
2009,3,Hoshangabad,8111989,7300.657023529413
2009,4,Hoshangabad,8111989,7300.729132941177
2009,5,Hoshangabad,8111989,7300.727332941177
2009,6,Hoshangabad,8111989,7294.102849411765
2009,7,Hoshangabad,8111989,2441.9064317647058
2009,8,Hoshangabad,8111989,314.6805847058824
2009,9,Hoshangabad,8111989,7260.815403529412
2009,10,Hoshangabad,8111989,7300.729132941178
2009,11,Hoshangabad,8111989,7300.50795882353
2009,12,Hoshangabad,8111989,2191.163562352941
2010,1,Hoshangabad,8111989,7284.198501176472
2010,2,Hoshangabad,8111989,7297.524314117648
2010,3,Hoshangabad,8111989,7281.406387058824
2010,4,Hoshangabad,8111989,7300.729132941178
2010,5,Hoshangabad,8111989,7231.436664705884
2010,6,Hoshangabad,8111989,6962.598204705882
2010,7,Hoshangabad,8111989,20.934885882352948
2010,8,Hoshangabad,8111989,99.03530823529414
2010,9,Hoshangabad,8111989,6410.991067058822
2010,10,Hoshangabad,8111989,7190.677528235295
2010,11,Hoshangabad,8111989,435.43315058823555
2010,12,Hoshangabad,8111989,320.8346223529412
2011,1,Hoshangabad,8111989,7224.979235294119
2011,2,Hoshangabad,8111989,7297.866278823531
2011,3,Hoshangabad,8111989,7300.713832941178
2011,4,Hoshangabad,8111989,6820.16885647059
2011,5,Hoshangabad,8111989,7300.729132941177
2011,6,Hoshangabad,8111989,7299.287537647059
2011,7,Hoshangabad,8111989,3820.9998000000005
2011,8,Hoshangabad,8111989,29.577737647058825
2011,9,Hoshangabad,8111989,6237.701191764706
2011,10,Hoshangabad,8111989,7300.729132941177
2011,11,Hoshangabad,8111989,7300.681432941177
2011,12,Hoshangabad,8111989,5684.024576470589
2012,1,Hoshangabad,8111989,6500.26404
2012,2,Hoshangabad,8111989,7286.253963529414
2012,3,Hoshangabad,8111989,7170.663342352941
2012,4,Hoshangabad,8111989,6692.926005882353
2012,5,Hoshangabad,8111989,7121.857461176471
2012,6,Hoshangabad,8111989,6246.218534117647
2012,7,Hoshangabad,8111989,0.0
2012,8,Hoshangabad,8111989,950.6885188235291
2012,9,Hoshangabad,8111989,109.09557882352938
2012,10,Hoshangabad,8111989,6345.550584705882
2012,11,Hoshangabad,8111989,287.4882847058823
2012,12,Hoshangabad,8111989,6327.732296470588
2013,1,Hoshangabad,8111989,6356.063975294119
2013,2,Hoshangabad,8111989,6019.1191870588245
2013,3,Hoshangabad,8111989,6344.0957682352955
2013,4,Hoshangabad,8111989,6964.048860000001
2013,5,Hoshangabad,8111989,7300.729132941177
2013,6,Hoshangabad,8111989,2756.9938235294117
2013,7,Hoshangabad,8111989,0.0009
2013,8,Hoshangabad,8111989,0.0
2013,9,Hoshangabad,8111989,7288.563677647061
2013,10,Hoshangabad,8111989,7300.729132941177
2013,11,Hoshangabad,8111989,7300.307703529413
2013,12,Hoshangabad,8111989,7299.421291764707
2014,1,Hoshangabad,8111989,6996.435208235295
2014,2,Hoshangabad,8111989,7298.69193882353
2014,3,Hoshangabad,8111989,7300.729132941177
2014,4,Hoshangabad,8111989,7295.816032941178
2014,5,Hoshangabad,8111989,7300.009140000001
2014,6,Hoshangabad,8111989,7300.729132941177
2014,7,Hoshangabad,8111989,4471.937675294117
2014,8,Hoshangabad,8111989,1452.6420282352938
2014,9,Hoshangabad,8111989,7299.335054117649
2014,10,Hoshangabad,8111989,7278.008463529412
2014,11,Hoshangabad,8111989,7300.478032941179
2014,12,Hoshangabad,8111989,7299.729247058824
2015,1,Hoshangabad,8111989,6965.025395294118
2015,2,Hoshangabad,8111989,7283.707418823531
2015,3,Hoshangabad,8111989,7300.729132941177
2015,4,Hoshangabad,8111989,7300.729132941177
2015,5,Hoshangabad,8111989,7300.729132941177
2015,6,Hoshangabad,8111989,6712.079812941176
2015,7,Hoshangabad,8111989,5697.731311764707
2015,8,Hoshangabad,8111989,213.70586823529413
2015,9,Hoshangabad,8111989,6267.000127058823
2015,10,Hoshangabad,8111989,7300.729132941178
2015,11,Hoshangabad,8111989,7300.650832941178
2015,12,Hoshangabad,8111989,7300.372058823531
2016,1,Hoshangabad,8111989,7298.018809411766
2016,2,Hoshangabad,8111989,7295.751215294119
2016,3,Hoshangabad,8111989,7300.677832941177
2016,4,Hoshangabad,8111989,7300.729132941177
2016,5,Hoshangabad,8111989,7300.729132941177
2016,6,Hoshangabad,8111989,6706.182670588235
2016,7,Hoshangabad,8111989,207.97162235294115
2016,8,Hoshangabad,8111989,0.7080282352941176
2016,9,Hoshangabad,8111989,6308.3818341176475
2016,10,Hoshangabad,8111989,7300.729132941178
2016,11,Hoshangabad,8111989,7300.720132941177
2016,12,Hoshangabad,8111989,7298.42025882353
2017,1,Hoshangabad,8111989,7294.237768235295
2017,2,Hoshangabad,8111989,7300.728232941177
2017,3,Hoshangabad,8111989,7300.729132941177
2017,4,Hoshangabad,8111989,7300.729132941178
2017,5,Hoshangabad,8111989,7300.729132941177
2017,6,Hoshangabad,8111989,7243.216129411765
2017,7,Hoshangabad,8111989,0.0009
2017,8,Hoshangabad,8111989,0.4184082352941177
2017,9,Hoshangabad,8111989,6767.35333764706
2017,10,Hoshangabad,8111989,7300.729132941177
2017,11,Hoshangabad,8111989,7300.713832941177
2017,12,Hoshangabad,8111989,7298.825611764707
2018,1,Hoshangabad,8111989,7296.104205882354
2018,2,Hoshangabad,8111989,6854.299831764708
2018,3,Hoshangabad,8111989,7300.729132941177
2018,4,Hoshangabad,8111989,7300.729132941177
2018,5,Hoshangabad,8111989,7300.729132941177
2018,6,Hoshangabad,8111989,7232.198608235295
2018,7,Hoshangabad,8111989,13.925283529411765
2018,8,Hoshangabad,8111989,16.229124705882352
2018,9,Hoshangabad,8111989,7248.307083529413
2018,10,Hoshangabad,8111989,7300.728232941177
2018,11,Hoshangabad,8111989,7300.708432941178
2018,12,Hoshangabad,8111989,7293.214591764707
2019,1,Hoshangabad,8111989,7279.790463529412
2019,2,Hoshangabad,8111989,7153.876531764707
2019,3,Hoshangabad,8111989,7300.729132941177
2019,4,Hoshangabad,8111989,7300.729132941178
2019,5,Hoshangabad,8111989,7300.729132941177
2019,6,Hoshangabad,8111989,7300.729132941177
2019,7,Hoshangabad,8111989,5754.703312941177
2019,8,Hoshangabad,8111989,795.7459799999998
2019,9,Hoshangabad,8111989,498.6428682352942
2019,10,Hoshangabad,8111989,7300.724632941176
2019,11,Hoshangabad,8111989,7299.566004705884
2019,12,Hoshangabad,8111989,5651.743732941176
2020,1,Hoshangabad,8111989,7085.186195294118
2020,2,Hoshangabad,8111989,7294.840030588237
2020,3,Hoshangabad,8111989,7300.729132941177
2020,4,Hoshangabad,8111989,7300.729132941176
2020,5,Hoshangabad,8111989,7300.729132941177
2020,6,Hoshangabad,8111989,7055.308944705884
2020,7,Hoshangabad,8111989,2184.9345635294117
2020,8,Hoshangabad,8111989,234.72644117647053
2020,9,Hoshangabad,8111989,7215.393487058824
2020,10,Hoshangabad,8111989,6576.403662352941
2020,11,Hoshangabad,8111989,7300.663432941178
2020,12,Hoshangabad,8111989,7299.478881176471
2021,1,Hoshangabad,8111989,7256.005778823531
2021,2,Hoshangabad,8111989,7298.379070588235
2021,3,Hoshangabad,8111989,7300.729132941178
2021,4,Hoshangabad,8111989,7300.727332941177
2021,5,Hoshangabad,8111989,7300.729132941178
2021,6,Hoshangabad,8111989,7015.989550588236
2021,7,Hoshangabad,8111989,4210.861482352939
2021,8,Hoshangabad,8111989,754.8609423529414
2021,9,Hoshangabad,8111989,19.893021176470587
2021,10,Hoshangabad,8111989,7271.229543529413
2021,11,Hoshangabad,8111989,2869.452712941175
2021,12,Hoshangabad,8111989,7294.075461176471
2022,1,Hoshangabad,0,0.0
2022,2,Hoshangabad,0,0.0
2022,3,Hoshangabad,0,0.0
2022,4,Hoshangabad,0,0.0
2022,5,Hoshangabad,0,0.0
2022,6,Hoshangabad,0,0.0
2022,7,Hoshangabad,0,0.0
2022,8,Hoshangabad,0,0.0
2022,9,Hoshangabad,0,0.0
2022,10,Hoshangabad,0,0.0
2022,11,Hoshangabad,0,0.0
2022,12,Hoshangabad,0,0.0
2023,1,Hoshangabad,0,0.0
2023,2,Hoshangabad,0,0.0
2023,3,Hoshangabad,0,0.0
2023,4,Hoshangabad,0,0.0
2023,5,Hoshangabad,0,0.0
2023,6,Hoshangabad,0,0.0
2023,7,Hoshangabad,0,0.0
2023,8,Hoshangabad,0,0.0
2023,9,Hoshangabad,0,0.0
2023,10,Hoshangabad,0,0.0
2023,11,Hoshangabad,0,0.0
2023,12,Hoshangabad,0,0.0
2000,1,Jabalpur,4871110,0.0
2000,2,Jabalpur,4871110,4123.3342976470585
2000,3,Jabalpur,4871110,948.5256529411785
2000,4,Jabalpur,4871110,4137.367634117647
2000,5,Jabalpur,4871110,0.0
2000,6,Jabalpur,4871110,787.9598400000016
2000,7,Jabalpur,4871110,136.66186588235303
2000,8,Jabalpur,4871110,4060.01604
2000,9,Jabalpur,4871110,4193.209951764707
2000,10,Jabalpur,4871110,1001.4461505882372
2000,11,Jabalpur,4871110,4383.5884164705885
2000,12,Jabalpur,4871110,4071.6433623529415
2001,1,Jabalpur,4871110,0.0
2001,2,Jabalpur,4871110,909.5387541176488
2001,3,Jabalpur,4871110,4001.2976470588237
2001,4,Jabalpur,4871110,0.0
2001,5,Jabalpur,4871110,3989.899087058823
2001,6,Jabalpur,4871110,0.0
2001,7,Jabalpur,4871110,0.26639999999999997
2001,8,Jabalpur,4871110,2327.0409423529404
2001,9,Jabalpur,4871110,4371.982891764706
2001,10,Jabalpur,4871110,4055.1184129411763
2001,11,Jabalpur,4871110,0.0
2001,12,Jabalpur,4871110,878.2910152941193
2002,1,Jabalpur,4871110,890.3014588235313
2002,2,Jabalpur,4871110,981.6035258823547
2002,3,Jabalpur,4871110,2690.6756788235316
2002,4,Jabalpur,4871110,4384.068935294118
2002,5,Jabalpur,4871110,974.2944847058841
2002,6,Jabalpur,4871110,3442.1923694117636
2002,7,Jabalpur,4871110,2997.5825399999985
2002,8,Jabalpur,4871110,0.0
2002,9,Jabalpur,4871110,4357.968674117648
2002,10,Jabalpur,4871110,0.0
2002,11,Jabalpur,4871110,4141.436064705883
2002,12,Jabalpur,4871110,4376.512034117647
2003,1,Jabalpur,4871110,4269.164901176471
2003,2,Jabalpur,4871110,909.2593200000019
2003,3,Jabalpur,4871110,4364.6075576470585
2003,4,Jabalpur,4871110,4379.557235294118
2003,5,Jabalpur,4871110,928.8738635294136
2003,6,Jabalpur,4871110,0.0
2003,7,Jabalpur,4871110,0.0
2003,8,Jabalpur,4871110,351.97192588235293
2003,9,Jabalpur,4871110,0.0
2003,10,Jabalpur,4871110,3561.960427058824
2003,11,Jabalpur,4871110,3900.891197647061
2003,12,Jabalpur,4871110,3874.7797870588242
2004,1,Jabalpur,4871110,653.5501482352935
2004,2,Jabalpur,4871110,3874.4847882352956
2004,3,Jabalpur,4871110,4384.068035294118
2004,4,Jabalpur,4871110,4384.068935294118
2004,5,Jabalpur,4871110,4384.068935294118
2004,6,Jabalpur,4871110,1812.2961811764708
2004,7,Jabalpur,4871110,2829.654088235294
2004,8,Jabalpur,4871110,0.0
2004,9,Jabalpur,4871110,4285.224370588236
2004,10,Jabalpur,4871110,4352.002884705883
2004,11,Jabalpur,4871110,4383.970394117648
2004,12,Jabalpur,4871110,4375.118911764705
2005,1,Jabalpur,4871110,3844.4190670588255
2005,2,Jabalpur,4871110,4379.025077647059
2005,3,Jabalpur,4871110,4384.066235294118
2005,4,Jabalpur,4871110,4383.808129411766
2005,5,Jabalpur,4871110,3861.7548247058835
