Year,Month,District,Rainfall (mm)
2000,1,Hoshangabad,13.550854851659404
2000,2,Hoshangabad,8.765091633747371
2000,3,Hoshangabad,4.689133072246575
2000,4,Hoshangabad,0.03416455027411653
2000,5,Hoshangabad,29.92962080859049
2000,6,Hoshangabad,139.71432724100111
2000,7,Hoshangabad,743.4792329335945
2000,8,Hoshangabad,231.35931817493685
2000,9,Hoshangabad,36.1521537680435
2000,10,Hoshangabad,16.542226762392172
2000,11,Hoshangabad,1.3679650342147716
2000,12,Hoshangabad,3.1669341853147728
2001,1,Hoshangabad,15.190842239793412
2001,2,Hoshangabad,5.23357618906476
2001,3,Hoshangabad,12.6275828696782
2001,4,Hoshangabad,1.6975340153687213
2001,5,Hoshangabad,9.766548325848428
2001,6,Hoshangabad,242.0362792290433
2001,7,Hoshangabad,360.3936326300516
2001,8,Hoshangabad,273.7000822182757
2001,9,Hoshangabad,23.04997368111474
2001,10,Hoshangabad,87.86144217783122
2001,11,Hoshangabad,1.675104782518111
2001,12,Hoshangabad,1.094366896192664
2002,1,Hoshangabad,14.352921515389953
2002,2,Hoshangabad,24.079780215076667
2002,3,Hoshangabad,9.28796119449022
2002,4,Hoshangabad,6.731663510589673
2002,5,Hoshangabad,12.977955483227614
2002,6,Hoshangabad,147.19172771411354
2002,7,Hoshangabad,111.96215599750816
2002,8,Hoshangabad,610.9045465703972
2002,9,Hoshangabad,214.28280089569606
2002,10,Hoshangabad,14.796386324239336
2002,11,Hoshangabad,6.840605075050245
2002,12,Hoshangabad,1.009564176373558
2003,1,Hoshangabad,16.243763650042204
2003,2,Hoshangabad,17.56304715968786
2003,3,Hoshangabad,5.544042130558463
2003,4,Hoshangabad,3.1485363834555606
2003,5,Hoshangabad,1.7453819165233522
2003,6,Hoshangabad,175.80584609297463
2003,7,Hoshangabad,485.655303992824
2003,8,Hoshangabad,420.0062846688931
2003,9,Hoshangabad,487.4897264037302
2003,10,Hoshangabad,8.616583050477484
2003,11,Hoshangabad,1.988027387035208
2003,12,Hoshangabad,3.069060378472182
2004,1,Hoshangabad,20.50653543238311
2004,2,Hoshangabad,4.364137504440466
2004,3,Hoshangabad,3.6786601370039347
2004,4,Hoshangabad,0.2551774330629538
2004,5,Hoshangabad,5.685567712518522
2004,6,Hoshangabad,133.07007746481833
2004,7,Hoshangabad,395.39527685149136
2004,8,Hoshangabad,341.3730238608466
2004,9,Hoshangabad,106.03395524806837
2004,10,Hoshangabad,34.511729404592465
2004,11,Hoshangabad,4.985087262704442
2004,12,Hoshangabad,0.7125118454152202
2005,1,Hoshangabad,18.131577997689558
2005,2,Hoshangabad,6.707213265785662
2005,3,Hoshangabad,19.26783811761984
2005,4,Hoshangabad,3.9230464945747943
2005,5,Hoshangabad,1.5150944316604635
2005,6,Hoshangabad,105.73673800742154
2005,7,Hoshangabad,903.3783071653114
2005,8,Hoshangabad,263.92690692757253
2005,9,Hoshangabad,357.5805296224131
2005,10,Hoshangabad,8.657920015509015
2005,11,Hoshangabad,2.0798186511133583
2005,12,Hoshangabad,0.9457852129713099
2006,1,Hoshangabad,14.391891724194211
2006,2,Hoshangabad,4.335021495614129
2006,3,Hoshangabad,28.22894801065931
2006,4,Hoshangabad,1.1869816527391492
2006,5,Hoshangabad,37.6668945430442
2006,6,Hoshangabad,103.03533677067391
2006,7,Hoshangabad,479.2721652222664
2006,8,Hoshangabad,683.933971051491
2006,9,Hoshangabad,320.8540583151833
2006,10,Hoshangabad,12.241921369341547
2006,11,Hoshangabad,8.332236127588482
2006,12,Hoshangabad,1.4403371551504858
2007,1,Hoshangabad,14.128989959643915
2007,2,Hoshangabad,20.80631598427741
2007,3,Hoshangabad,5.33767328938944
2007,4,Hoshangabad,0.18505989984320384
2007,5,Hoshangabad,7.030382514123239
2007,6,Hoshangabad,123.32685270881558
2007,7,Hoshangabad,471.7640573323692
2007,8,Hoshangabad,417.0422966011304
2007,9,Hoshangabad,300.4286886177104
2007,10,Hoshangabad,4.232960026997357
2007,11,Hoshangabad,1.5609152919144427
2007,12,Hoshangabad,0.9856836492051063
2008,1,Hoshangabad,13.907172187429023
2008,2,Hoshangabad,4.628800494852721
2008,3,Hoshangabad,11.9140471330225
2008,4,Hoshangabad,0.035587651830768965
2008,5,Hoshangabad,5.022802115304953
2008,6,Hoshangabad,221.91971273398912
2008,7,Hoshangabad,315.7131286038469
2008,8,Hoshangabad,390.3604438755795
2008,9,Hoshangabad,197.7388353239853
2008,10,Hoshangabad,23.10874222091969
2008,11,Hoshangabad,9.627601224057702
2008,12,Hoshangabad,3.8841217976127855
2009,1,Hoshangabad,25.808495542051478
2009,2,Hoshangabad,4.451291223614187
2009,3,Hoshangabad,6.761404637659756
2009,4,Hoshangabad,0.18146793622235022
2009,5,Hoshangabad,9.034726763812774
2009,6,Hoshangabad,130.71463277084817
2009,7,Hoshangabad,617.8911155746624
2009,8,Hoshangabad,285.01990329964036
2009,9,Hoshangabad,338.295653445675
2009,10,Hoshangabad,100.17295667647521
2009,11,Hoshangabad,25.21113985494435
2009,12,Hoshangabad,6.238220514892602
2010,1,Hoshangabad,19.525686889760753
2010,2,Hoshangabad,16.271477623958535
2010,3,Hoshangabad,9.626863862466577
2010,4,Hoshangabad,0.07207217265939393
2010,5,Hoshangabad,4.360434438508049
2010,6,Hoshangabad,94.55049166272207
2010,7,Hoshangabad,598.9714290742236
2010,8,Hoshangabad,466.38927674982057
2010,9,Hoshangabad,301.3157022266198
2010,10,Hoshangabad,19.74658327527418
2010,11,Hoshangabad,22.645449761239746
2010,12,Hoshangabad,5.700107777363763
2011,1,Hoshangabad,13.96344985899272
2011,2,Hoshangabad,6.811203815630046
2011,3,Hoshangabad,5.388592045523513
2011,4,Hoshangabad,2.185036079756369
2011,5,Hoshangabad,4.076909094567719
2011,6,Hoshangabad,182.62612552226554
2011,7,Hoshangabad,534.1514927084286
2011,8,Hoshangabad,459.42874409460507
2011,9,Hoshangabad,284.6407441064998
2011,10,Hoshangabad,3.550852426749729
2011,11,Hoshangabad,4.171257395730137
2011,12,Hoshangabad,0.7709620806976507
2012,1,Hoshangabad,20.255761528552046
2012,2,Hoshangabad,5.112514415846192
2012,3,Hoshangabad,3.5935337707587287
2012,4,Hoshangabad,1.225595845207338
2012,5,Hoshangabad,4.526167149575733
2012,6,Hoshangabad,111.26136917377528
2012,7,Hoshangabad,564.8752989482161
2012,8,Hoshangabad,466.93118267791056
2012,9,Hoshangabad,252.73235075585495
2012,10,Hoshangabad,20.27045306369141
2012,11,Hoshangabad,9.781624695240668
2012,12,Hoshangabad,0.7389377556072504
2013,1,Hoshangabad,22.594785103785625
2013,2,Hoshangabad,20.583797770127088
2013,3,Hoshangabad,17.70190052217464
2013,4,Hoshangabad,4.666644710831736
2013,5,Hoshangabad,2.5236965213345774
2013,6,Hoshangabad,460.34000712373563
2013,7,Hoshangabad,793.2158149498433
2013,8,Hoshangabad,617.0210607281666
2013,9,Hoshangabad,123.5262678181616
2013,10,Hoshangabad,81.78840989403659
2013,11,Hoshangabad,0.8111238877917978
2013,12,Hoshangabad,2.2767826840727836
2014,1,Hoshangabad,23.88298214857887
2014,2,Hoshangabad,28.45557623577218
2014,3,Hoshangabad,13.751890929296179
2014,4,Hoshangabad,0.6966876075897931
2014,5,Hoshangabad,1.5049384194990572
2014,6,Hoshangabad,86.20555622407994
2014,7,Hoshangabad,534.1401373740215
2014,8,Hoshangabad,292.87480661802624
2014,9,Hoshangabad,228.4317640457806
2014,10,Hoshangabad,16.64854174248368
2014,11,Hoshangabad,8.481928638788645
2014,12,Hoshangabad,5.427224422405565
