Year,Month,District,Temperature (°C)
2000,1,Hoshangabad,26.680556082955576
2000,2,Hoshangabad,27.1592633292636
2000,3,Hoshangabad,33.266099685852154
2000,4,Hoshangabad,40.52669148840656
2000,5,Hoshangabad,38.09616875479148
2000,6,Hoshangabad,34.92130868179738
2000,7,Hoshangabad,29.228620060158104
2000,8,Hoshangabad,30.222853996464128
2000,9,Hoshangabad,31.1094426632956
2000,10,Hoshangabad,34.54363778315576
2000,11,Hoshangabad,31.164695666511427
2000,12,Hoshangabad,27.89580923345923
2001,1,Hoshangabad,26.649449765563226
2001,2,Hoshangabad,30.705230024947248
2001,3,Hoshangabad,34.52908282806012
2001,4,Hoshangabad,38.38559997812742
2001,5,Hoshangabad,40.79914997683874
2001,6,Hoshangabad,33.05530590523952
2001,7,Hoshangabad,28.661662497736963
2001,8,Hoshangabad,29.421511942465585
2001,9,Hoshangabad,33.584385984122385
2001,10,Hoshangabad,32.6173462429389
2001,11,Hoshangabad,30.242105815624374
2001,12,Hoshangabad,28.406239419215556
2002,1,Hoshangabad,25.755614150246487
2002,2,Hoshangabad,29.47015777398112
2002,3,Hoshangabad,35.007122496345175
2002,4,Hoshangabad,40.25967748714048
2002,5,Hoshangabad,42.28349431920721
2002,6,Hoshangabad,36.760160052365315
2002,7,Hoshangabad,33.105186380755434
2002,8,Hoshangabad,28.25621701578554
2002,9,Hoshangabad,31.720471519859327
2002,10,Hoshangabad,34.066104305959726
2002,11,Hoshangabad,30.95920744098623
2002,12,Hoshangabad,29.27696321020413
2003,1,Hoshangabad,26.98144176163927
2003,2,Hoshangabad,28.948639246790894
2003,3,Hoshangabad,34.87063484756346
2003,4,Hoshangabad,40.25867539553822
2003,5,Hoshangabad,41.67706460581176
2003,6,Hoshangabad,37.3803845266716
2003,7,Hoshangabad,30.49007033986792
2003,8,Hoshangabad,28.95135600762028
2003,9,Hoshangabad,28.536148290480625
2003,10,Hoshangabad,31.443860080774005
2003,11,Hoshangabad,31.219320242674602
2003,12,Hoshangabad,27.64559520382464
2004,1,Hoshangabad,25.468719895958415
2004,2,Hoshangabad,29.65705313798106
2004,3,Hoshangabad,37.298771397675736
2004,4,Hoshangabad,40.30452887381683
2004,5,Hoshangabad,40.702315578599354
2004,6,Hoshangabad,36.366786792082856
2004,7,Hoshangabad,31.924392177516058
2004,8,Hoshangabad,27.90977077127979
2004,9,Hoshangabad,32.703369705512266
2004,10,Hoshangabad,31.913936174185082
2004,11,Hoshangabad,30.448441239000413
2004,12,Hoshangabad,27.524056935801926
2005,1,Hoshangabad,25.09398904136804
2005,2,Hoshangabad,29.733570285962916
2005,3,Hoshangabad,34.747546580541126
2005,4,Hoshangabad,38.83793854225244
2005,5,Hoshangabad,41.485622846015104
2005,6,Hoshangabad,39.22842948456145
2005,7,Hoshangabad,30.064289373547023
2005,8,Hoshangabad,29.700677674510064
2005,9,Hoshangabad,30.55087420589927
2005,10,Hoshangabad,31.846093732009596
2005,11,Hoshangabad,30.190046582662077
2005,12,Hoshangabad,26.384221460953217
2006,1,Hoshangabad,27.68130983917327
2006,2,Hoshangabad,33.500347687337154
2006,3,Hoshangabad,32.20777488566781
2006,4,Hoshangabad,39.162884183448355
2006,5,Hoshangabad,40.68722379694126
2006,6,Hoshangabad,37.32253997091753
2006,7,Hoshangabad,29.115451990198764
2006,8,Hoshangabad,28.18598275219694
2006,9,Hoshangabad,31.341643259012514
2006,10,Hoshangabad,33.116209086967146
2006,11,Hoshangabad,29.799911081692585
2006,12,Hoshangabad,27.6303983916585
2007,1,Hoshangabad,27.244390406936514
2007,2,Hoshangabad,29.86133616615088
2007,3,Hoshangabad,34.320569759466295
2007,4,Hoshangabad,40.09889196452541
2007,5,Hoshangabad,41.02693681229731
2007,6,Hoshangabad,37.31098205080144
2007,7,Hoshangabad,30.161196280533854
2007,8,Hoshangabad,29.724310297276162
2007,9,Hoshangabad,31.310572788205597
2007,10,Hoshangabad,32.78548835287023
2007,11,Hoshangabad,30.848611488459575
2007,12,Hoshangabad,26.764434066439186
2008,1,Hoshangabad,25.8387840397418
2008,2,Hoshangabad,28.066553675040225
2008,3,Hoshangabad,35.86155169903982
2008,4,Hoshangabad,39.387836541302775
2008,5,Hoshangabad,40.720574894807626
2008,6,Hoshangabad,33.18694855597321
2008,7,Hoshangabad,30.617963168260196
2008,8,Hoshangabad,29.649751891574947
2008,9,Hoshangabad,31.721639736685724
2008,10,Hoshangabad,33.882692391362596
2008,11,Hoshangabad,30.38636747477964
2008,12,Hoshangabad,29.120396916960228
2009,1,Hoshangabad,27.842432337121874
2009,2,Hoshangabad,31.737875134656424
2009,3,Hoshangabad,36.2315581240079
2009,4,Hoshangabad,40.03086793272323
2009,5,Hoshangabad,42.19586454974387
2009,6,Hoshangabad,39.09011261468182
2009,7,Hoshangabad,30.5174970588796
2009,8,Hoshangabad,30.510700495437813
2009,9,Hoshangabad,32.61295437700287
2009,10,Hoshangabad,32.40356330239057
2009,11,Hoshangabad,28.223821323749142
2009,12,Hoshangabad,27.137414606112788
2010,1,Hoshangabad,25.827895014293684
2010,2,Hoshangabad,29.427541374108333
2010,3,Hoshangabad,36.78763039869076
2010,4,Hoshangabad,40.90336691705371
2010,5,Hoshangabad,42.71117518587238
2010,6,Hoshangabad,38.80711843175737
2010,7,Hoshangabad,31.474019846115173
2010,8,Hoshangabad,30.50071250238438
2010,9,Hoshangabad,30.948824284338745
2010,10,Hoshangabad,32.52496973555862
2010,11,Hoshangabad,29.878631703333443
2010,12,Hoshangabad,25.552576843948437
2011,1,Hoshangabad,25.921253340886736
2011,2,Hoshangabad,29.578773995825824
2011,3,Hoshangabad,35.35719998473213
2011,4,Hoshangabad,38.11297676029313
2011,5,Hoshangabad,41.363182855835774
2011,6,Hoshangabad,34.3236566909005
2011,7,Hoshangabad,30.245507980635534
2011,8,Hoshangabad,29.486298169826465
2011,9,Hoshangabad,30.476224565880532
2011,10,Hoshangabad,33.30298209964697
2011,11,Hoshangabad,30.83337994724974
2011,12,Hoshangabad,27.50017177732571
2012,1,Hoshangabad,24.280666598307157
2012,2,Hoshangabad,29.382195001747714
2012,3,Hoshangabad,34.87999130056299
2012,4,Hoshangabad,39.342320791308865
2012,5,Hoshangabad,41.22841483727983
2012,6,Hoshangabad,37.25667803224719
2012,7,Hoshangabad,30.128748942149944
2012,8,Hoshangabad,28.044418171894353
2012,9,Hoshangabad,30.77032524853981
2012,10,Hoshangabad,33.00792190638184
2012,11,Hoshangabad,29.408414251082785
2012,12,Hoshangabad,27.94180758366362
2013,1,Hoshangabad,25.127635238690186
2013,2,Hoshangabad,28.22815917798505
2013,3,Hoshangabad,34.46174501607779
2013,4,Hoshangabad,38.381270558859185
2013,5,Hoshangabad,42.42565445652118
2013,6,Hoshangabad,33.23937944925104
2013,7,Hoshangabad,28.159664790346074
2013,8,Hoshangabad,28.263579192403682
2013,9,Hoshangabad,32.2826798915569
2013,10,Hoshangabad,30.90332960551645
2013,11,Hoshangabad,28.94048090076224
2013,12,Hoshangabad,26.466267271288284
2014,1,Hoshangabad,24.461934890435536
2014,2,Hoshangabad,27.30311547264548
2014,3,Hoshangabad,32.9331343060074
2014,4,Hoshangabad,38.874738981724896
2014,5,Hoshangabad,40.53154576509786
2014,6,Hoshangabad,39.94636836201262
2014,7,Hoshangabad,31.636180017869364
2014,8,Hoshangabad,30.708031693863145
2014,9,Hoshangabad,31.268031504154404
2014,10,Hoshangabad,32.59658554810006
2014,11,Hoshangabad,30.785098217480943
2014,12,Hoshangabad,25.933580998326324
2015,1,Hoshangabad,22.902709260369615
2015,2,Hoshangabad,29.944703641427477
2015,3,Hoshangabad,31.496568676699493
2015,4,Hoshangabad,37.7582063744197
2015,5,Hoshangabad,42.33896220879789
2015,6,Hoshangabad,36.53283653478341
2015,7,Hoshangabad,30.771849537759568
2015,8,Hoshangabad,30.029792218391904
