Year,District,Tree Cover (%)
2000,Bharatpur,3.708971050210412
2001,Bharatpur,1.981617201075835
2002,Bharatpur,1.7095481635870386
2003,Bharatpur,2.041117005177334
2004,Bharatpur,1.8912506067519528
2005,Bharatpur,3.61207743092664
2006,Bharatpur,2.898021622996297
2007,Bharatpur,1.9277938937825754
2008,Bharatpur,2.779341715644161
2009,Bharatpur,1.818979459134299
2010,Bharatpur,2.7272475116072283
2011,Bharatpur,2.412059983312927
2012,Bharatpur,3.6949055893103657
2013,Bharatpur,3.847785744680169
2014,Bharatpur,3.254865242994159
2015,Bharatpur,2.853522465007132
2016,Bharatpur,2.3896687069821256
2017,Bharatpur,2.5766847572381417
2018,Bharatpur,4.413963390639181
2019,Bharatpur,3.7803302416873117
2020,Bharatpur,4.699151003246403
2000,Dhaulpur,3.288512413056579
2001,Dhaulpur,2.0888890173460544
2002,Dhaulpur,1.942722620680288
2003,Dhaulpur,1.8794820029105201
2004,Dhaulpur,2.1186329524417884
2005,Dhaulpur,3.219787766285684
2006,Dhaulpur,2.7470684549830704
2007,Dhaulpur,1.9608542529838622
2008,Dhaulpur,4.107739463823013
2009,Dhaulpur,1.9867752065470763
2010,Dhaulpur,2.381796977627741
2011,Dhaulpur,2.2123935471470717
2012,Dhaulpur,3.5426382243237833
2013,Dhaulpur,5.004727930135995
2014,Dhaulpur,3.4424354707481397
2015,Dhaulpur,2.626522711146244
2016,Dhaulpur,2.500707397542967
2017,Dhaulpur,2.938544133947427
2018,Dhaulpur,3.876015104635588
2019,Dhaulpur,4.271174742367117
2020,Dhaulpur,5.15996491192576
2000,Kota,4.872613376461129
2001,Kota,3.2088945242365545
2002,Kota,4.29500796661375
2003,Kota,2.7686902848125143
2004,Kota,3.7236594014302002
2005,Kota,5.336302040094457
2006,Kota,5.332278082272982
2007,Kota,3.95408564684726
2008,Kota,5.963834423998777
2009,Kota,4.452259107512524
2010,Kota,3.245808822648193
2011,Kota,2.8102342563419613
2012,Kota,5.313415071427433
2013,Kota,8.082508950496221
2014,Kota,6.352333088995768
2015,Kota,5.3431757750159585
2016,Kota,4.413989885526296
2017,Kota,4.7796221502634
2018,Kota,4.2201117560917245
2019,Kota,7.711819772814656
2020,Kota,7.70053095642447
2000,Baran,5.026097788349013
2001,Baran,3.3988135691450494
2002,Baran,4.655234644373517
2003,Baran,3.2099115355197685
2004,Baran,4.2098986708887
2005,Baran,5.624282212061612
2006,Baran,5.411442478595977
2007,Baran,3.8264183125814286
2008,Baran,6.049762472129878
2009,Baran,4.8084462930240734
2010,Baran,3.180288708310477
2011,Baran,2.475375406827716
2012,Baran,4.9149883087792094
2013,Baran,9.295284346031048
2014,Baran,6.495887996103709
2015,Baran,5.393572596412621
2016,Baran,4.145823711932067
