Year,Month,District,Rainfall (mm)
2000,1,Bharatpur,13.362967463334739
2000,2,Bharatpur,4.096830281536578
2000,3,Bharatpur,5.923471840766322
2000,4,Bharatpur,2.142666642865655
2000,5,Bharatpur,20.365943969652257
2000,6,Bharatpur,34.385254355772226
2000,7,Bharatpur,251.35501762022807
2000,8,Bharatpur,238.1325009358557
2000,9,Bharatpur,49.12802865235615
2000,10,Bharatpur,5.026371312787231
2000,11,Bharatpur,0.0
2000,12,Bharatpur,0.2990561681708051
2001,1,Bharatpur,10.899729864861438
2001,2,Bharatpur,1.266340901357759
2001,3,Bharatpur,6.992131714557821
2001,4,Bharatpur,6.9505716418325125
2001,5,Bharatpur,30.885547232631968
2001,6,Bharatpur,71.62023186192731
2001,7,Bharatpur,303.2631886910199
2001,8,Bharatpur,129.0290060827334
2001,9,Bharatpur,24.423157903487738
2001,10,Bharatpur,24.6764054122452
2001,11,Bharatpur,0.0
2001,12,Bharatpur,0.6411489988123726
2002,1,Bharatpur,12.574489059356184
2002,2,Bharatpur,9.509477180399633
2002,3,Bharatpur,8.084954852024145
2002,4,Bharatpur,1.8509042820969224
2002,5,Bharatpur,29.582921860752943
2002,6,Bharatpur,22.994338248148953
2002,7,Bharatpur,28.245212602896228
2002,8,Bharatpur,186.57460078128645
2002,9,Bharatpur,77.27324579145231
2002,10,Bharatpur,6.346170152917917
2002,11,Bharatpur,0.8361424290085196
2002,12,Bharatpur,0.4033118994368845
2003,1,Bharatpur,13.475369545566476
2003,2,Bharatpur,10.231658083149203
2003,3,Bharatpur,9.561536990711552
2003,4,Bharatpur,0.4379896248448683
2003,5,Bharatpur,7.53760173514515
2003,6,Bharatpur,35.982095451131094
2003,7,Bharatpur,292.795208220851
2003,8,Bharatpur,156.93895884465553
2003,9,Bharatpur,125.72224291636533
2003,10,Bharatpur,15.288866141984604
2003,11,Bharatpur,1.603046394735305
2003,12,Bharatpur,0.5113783302326812
2004,1,Bharatpur,13.74719194974931
2004,2,Bharatpur,0.9337297369796396
2004,3,Bharatpur,2.753644440829963
2004,4,Bharatpur,5.640456964639051
2004,5,Bharatpur,15.661797612764543
2004,6,Bharatpur,20.13969023968841
2004,7,Bharatpur,106.09895440915432
2004,8,Bharatpur,330.606052965289
2004,9,Bharatpur,35.72762026707257
2004,10,Bharatpur,52.95584039591748
2004,11,Bharatpur,0.3394431281596183
2004,12,Bharatpur,4.42510692407407
2005,1,Bharatpur,9.814274663747419
2005,2,Bharatpur,6.270282899722441
2005,3,Bharatpur,15.753166301406885
2005,4,Bharatpur,3.734277246844655
2005,5,Bharatpur,8.746505271902556
2005,6,Bharatpur,42.00502888130209
2005,7,Bharatpur,314.6634669335916
2005,8,Bharatpur,77.40125160191452
2005,9,Bharatpur,134.67370559733556
2005,10,Bharatpur,6.065231518425995
2005,11,Bharatpur,0.0
2005,12,Bharatpur,0.05056126931228459
2006,1,Bharatpur,12.712852363992775
2006,2,Bharatpur,3.345274874736358
2006,3,Bharatpur,17.882816916664712
2006,4,Bharatpur,0.7283868026112313
2006,5,Bharatpur,27.499986243751298
2006,6,Bharatpur,56.960666354344866
2006,7,Bharatpur,214.66014786255772
2006,8,Bharatpur,95.65766023963404
2006,9,Bharatpur,60.43607502103066
2006,10,Bharatpur,16.463908120011084
2006,11,Bharatpur,0.0
2006,12,Bharatpur,0.4826709852469573
2007,1,Bharatpur,10.061887359965624
2007,2,Bharatpur,19.824484708220186
2007,3,Bharatpur,22.41708198062366
2007,4,Bharatpur,1.9505415536073079
2007,5,Bharatpur,22.36759200553325
2007,6,Bharatpur,45.763459113355815
2007,7,Bharatpur,197.74090518717887
2007,8,Bharatpur,158.21640197406353
2007,9,Bharatpur,117.57564495531814
2007,10,Bharatpur,5.822094645565994
2007,11,Bharatpur,0.0
2007,12,Bharatpur,0.8836449354295007
2008,1,Bharatpur,9.969551942869025
2008,2,Bharatpur,0.6233580363043834
2008,3,Bharatpur,11.997414056568385
2008,4,Bharatpur,5.831515730772275
2008,5,Bharatpur,33.98409327420418
2008,6,Bharatpur,109.60038292220091
2008,7,Bharatpur,241.82258170722315
2008,8,Bharatpur,242.91218154272303
2008,9,Bharatpur,135.4024098198005
2008,10,Bharatpur,4.441934243954512
2008,11,Bharatpur,0.009094343903817357
2008,12,Bharatpur,2.929070551301722
2009,1,Bharatpur,9.062916526179677
2009,2,Bharatpur,3.226179064717374
2009,3,Bharatpur,9.076136415819068
2009,4,Bharatpur,0.9838129522169183
2009,5,Bharatpur,25.051727390330306
2009,6,Bharatpur,26.986934386223105
2009,7,Bharatpur,138.73539633035395
2009,8,Bharatpur,147.1332464431976
2009,9,Bharatpur,72.51955782004384
2009,10,Bharatpur,24.11627489047608
2009,11,Bharatpur,2.831704070219754
2009,12,Bharatpur,1.685436237376045
2010,1,Bharatpur,9.559912723746711
2010,2,Bharatpur,9.699695082305988
2010,3,Bharatpur,4.067905294327778
2010,4,Bharatpur,2.5015216340304365
2010,5,Bharatpur,10.810031076321877
2010,6,Bharatpur,18.62524101928316
2010,7,Bharatpur,221.58652237293396
2010,8,Bharatpur,343.0514100766673
2010,9,Bharatpur,257.6967244852992
2010,10,Bharatpur,6.559632387164535
2010,11,Bharatpur,5.0120339159195035
2010,12,Bharatpur,0.0
2011,1,Bharatpur,8.185808326374048
2011,2,Bharatpur,7.198741871753593
2011,3,Bharatpur,4.747906255674891
2011,4,Bharatpur,2.4936513085033907
2011,5,Bharatpur,27.990072380935693
2011,6,Bharatpur,64.9895025058352
2011,7,Bharatpur,217.7836312369516
2011,8,Bharatpur,194.18335890699015
2011,9,Bharatpur,241.3819159267712
2011,10,Bharatpur,4.822832841653383
2011,11,Bharatpur,0.0
2011,12,Bharatpur,0.0016668832134745352
2012,1,Bharatpur,11.281105820363212
2012,2,Bharatpur,1.037803703580865
2012,3,Bharatpur,2.1419850862429075
2012,4,Bharatpur,3.0584611055215283
2012,5,Bharatpur,12.055182431626069
2012,6,Bharatpur,10.33239388430618
2012,7,Bharatpur,230.9408349189316
2012,8,Bharatpur,437.5151305304543
2012,9,Bharatpur,156.68024968241502
2012,10,Bharatpur,5.524109047783017
2012,11,Bharatpur,0.0
2012,12,Bharatpur,0.0
2013,1,Bharatpur,13.230697687769682
2013,2,Bharatpur,16.089190164092315
2013,3,Bharatpur,7.742770547918688
2013,4,Bharatpur,2.1660912119794924
2013,5,Bharatpur,9.21190788476278
2013,6,Bharatpur,86.90940264810529
2013,7,Bharatpur,239.12896294029383
2013,8,Bharatpur,319.9274734480833
2013,9,Bharatpur,70.40505387942353
2013,10,Bharatpur,69.27046329739973
2013,11,Bharatpur,0.0
2013,12,Bharatpur,0.006987549811896355
2014,1,Bharatpur,23.474019141971787
2014,2,Bharatpur,11.533798870276433
2014,3,Bharatpur,14.916227628117797
2014,4,Bharatpur,2.137257816638646
2014,5,Bharatpur,25.81273530441708
2014,6,Bharatpur,15.931864281428089
2014,7,Bharatpur,166.84737558718118
2014,8,Bharatpur,184.33123262938278
2014,9,Bharatpur,92.33179832099385
2014,10,Bharatpur,10.864630241834424
2014,11,Bharatpur,0.0
2014,12,Bharatpur,0.0007758245944607769
2015,1,Bharatpur,20.446610797524848
2015,2,Bharatpur,7.3667579167317
2015,3,Bharatpur,39.67960987903049
2015,4,Bharatpur,5.08776474749655
2015,5,Bharatpur,17.14890205562653
2015,6,Bharatpur,28.7035821421844
2015,7,Bharatpur,173.4254314669493
2015,8,Bharatpur,174.79139178408954
2015,9,Bharatpur,45.72819528523126
2015,10,Bharatpur,18.481704022089094
2015,11,Bharatpur,0.6463761845236949
2015,12,Bharatpur,0.13617196166922313
2016,1,Bharatpur,7.936575218398816
2016,2,Bharatpur,1.0991899549761193
2016,3,Bharatpur,11.234305233667937
2016,4,Bharatpur,1.0727144401886004
2016,5,Bharatpur,28.54416469253651
2016,6,Bharatpur,34.225689634769665
2016,7,Bharatpur,409.9998019368597
2016,8,Bharatpur,274.81785420734263
2016,9,Bharatpur,71.28294349604474
2016,10,Bharatpur,29.10056818113231
2016,11,Bharatpur,0.0
2016,12,Bharatpur,0.11099925855130931
2017,1,Bharatpur,14.231824052269241
2017,2,Bharatpur,2.3133173870367876
2017,3,Bharatpur,8.36000953184809
