Year,Month,District,Temperature (°C)
2000,1,Bharatpur,20.910469859850078
2000,2,Bharatpur,22.721808097434987
2000,3,Bharatpur,30.294223164466565
2000,4,Bharatpur,39.33571965315044
2000,5,Bharatpur,39.496545235553796
2000,6,Bharatpur,37.492818901843236
2000,7,Bharatpur,34.0583300834198
2000,8,Bharatpur,34.00720425685883
2000,9,Bharatpur,34.889483191651834
2000,10,Bharatpur,35.30609369842629
2000,11,Bharatpur,29.637821532499323
2000,12,Bharatpur,24.93055158708044
2001,1,Bharatpur,18.833298732724394
2001,2,Bharatpur,25.885262056250614
2001,3,Bharatpur,31.33938803165282
2001,4,Bharatpur,34.50888914626851
2001,5,Bharatpur,39.604517364788734
2001,6,Bharatpur,36.0057285996188
2001,7,Bharatpur,33.18301828987176
2001,8,Bharatpur,34.36847712843241
2001,9,Bharatpur,36.13026038909118
2001,10,Bharatpur,33.75516826351057
2001,11,Bharatpur,29.02528306898577
2001,12,Bharatpur,24.296954828927607
2002,1,Bharatpur,21.297828062140912
2002,2,Bharatpur,24.127370875669865
2002,3,Bharatpur,31.835464588297853
2002,4,Bharatpur,38.897988156413675
2002,5,Bharatpur,41.56569513163242
2002,6,Bharatpur,39.932193049789134
2002,7,Bharatpur,38.606200793051705
2002,8,Bharatpur,33.868696774464894
2002,9,Bharatpur,33.26020773991695
2002,10,Bharatpur,34.0185739345095
2002,11,Bharatpur,28.790949876044873
2002,12,Bharatpur,24.2497401279822
2003,1,Bharatpur,18.36117085944053
2003,2,Bharatpur,23.927323997744008
2003,3,Bharatpur,30.670434974161505
2003,4,Bharatpur,38.94825676574172
2003,5,Bharatpur,40.266407786543226
2003,6,Bharatpur,40.03796992903421
2003,7,Bharatpur,34.646569197162194
2003,8,Bharatpur,33.21169775446068
2003,9,Bharatpur,31.831616541674823
2003,10,Bharatpur,32.82155660078217
2003,11,Bharatpur,28.448962702900833
2003,12,Bharatpur,21.12831612565499
2004,1,Bharatpur,18.48343518923509
2004,2,Bharatpur,26.068596373873287
2004,3,Bharatpur,34.575545489326124
2004,4,Bharatpur,38.862017944951226
2004,5,Bharatpur,40.26882427997955
2004,6,Bharatpur,38.19479013481746
2004,7,Bharatpur,37.14066374593894
2004,8,Bharatpur,32.64460652514427
2004,9,Bharatpur,34.722212783810576
2004,10,Bharatpur,30.971207250719914
2004,11,Bharatpur,28.900369226792066
2004,12,Bharatpur,22.502424920483715
2005,1,Bharatpur,19.52107910651961
2005,2,Bharatpur,24.32891441779531
2005,3,Bharatpur,31.443684380093952
2005,4,Bharatpur,36.43069435277308
2005,5,Bharatpur,40.43806489012831
2005,6,Bharatpur,40.584259231103374
2005,7,Bharatpur,33.27657484905577
2005,8,Bharatpur,34.49130950099657
2005,9,Bharatpur,33.38980551009007
2005,10,Bharatpur,32.733033024779196
2005,11,Bharatpur,28.75653260965079
2005,12,Bharatpur,22.311864014052567
2006,1,Bharatpur,22.918677192717812
2006,2,Bharatpur,29.8882467912186
2006,3,Bharatpur,30.613357725496808
2006,4,Bharatpur,38.27031808017594
2006,5,Bharatpur,40.49519317736708
2006,6,Bharatpur,38.30205535695022
2006,7,Bharatpur,34.19653291177974
2006,8,Bharatpur,33.88117897576392
2006,9,Bharatpur,35.30657289321135
2006,10,Bharatpur,34.19551146292247
2006,11,Bharatpur,28.35068579871164
2006,12,Bharatpur,23.012972099703827
2007,1,Bharatpur,20.99323429840189
2007,2,Bharatpur,24.863124801104384
2007,3,Bharatpur,29.862139814079804
2007,4,Bharatpur,38.96614509696347
2007,5,Bharatpur,40.45299043751718
2007,6,Bharatpur,38.956914949593475
2007,7,Bharatpur,34.803914064769174
2007,8,Bharatpur,33.67300650842406
2007,9,Bharatpur,34.35305308656429
2007,10,Bharatpur,33.84081901976696
2007,11,Bharatpur,28.292353004251833
2007,12,Bharatpur,22.38485837304898
2008,1,Bharatpur,21.174986301165646
2008,2,Bharatpur,23.637930371571272
2008,3,Bharatpur,32.27338892468898
2008,4,Bharatpur,36.70882500550996
2008,5,Bharatpur,38.55782564654886
2008,6,Bharatpur,35.21292310474763
2008,7,Bharatpur,33.71380047261932
2008,8,Bharatpur,33.07513611385093
2008,9,Bharatpur,33.76872800961359
2008,10,Bharatpur,34.83575774996841
2008,11,Bharatpur,29.01859921157883
2008,12,Bharatpur,24.63341579918038
2009,1,Bharatpur,22.392254066479456
2009,2,Bharatpur,26.815192248220946
2009,3,Bharatpur,32.08678861758903
2009,4,Bharatpur,38.06950233796029
2009,5,Bharatpur,40.597864790597846
2009,6,Bharatpur,41.37360912103537
2009,7,Bharatpur,36.26773899070091
2009,8,Bharatpur,35.556729296176016
2009,9,Bharatpur,34.90823697253549
2009,10,Bharatpur,33.070247654373844
2009,11,Bharatpur,27.26686503544147
2009,12,Bharatpur,23.49037741514042
2010,1,Bharatpur,18.632343704100457
2010,2,Bharatpur,26.336291929996666
2010,3,Bharatpur,35.08921500115653
2010,4,Bharatpur,41.21572887763445
2010,5,Bharatpur,42.109201833090495
2010,6,Bharatpur,41.050611651324864
2010,7,Bharatpur,35.4509265672712
2010,8,Bharatpur,33.684811947117986
2010,9,Bharatpur,32.373733219218025
2010,10,Bharatpur,33.699731328163324
2010,11,Bharatpur,27.441263905385608
2010,12,Bharatpur,23.066530128061903
2011,1,Bharatpur,19.507573625591025
2011,2,Bharatpur,24.76911329303001
2011,3,Bharatpur,31.56497018455515
2011,4,Bharatpur,36.70585969184169
2011,5,Bharatpur,41.360927991532165
2011,6,Bharatpur,37.951414596082394
2011,7,Bharatpur,34.15220525255975
2011,8,Bharatpur,33.42953837679529
2011,9,Bharatpur,33.74864230396372
2011,10,Bharatpur,34.29228193581438
2011,11,Bharatpur,29.687142655431725
2011,12,Bharatpur,23.92205731157042
2012,1,Bharatpur,19.95784813678326
2012,2,Bharatpur,24.674422981193597
2012,3,Bharatpur,32.15214992578632
2012,4,Bharatpur,37.37399272493017
2012,5,Bharatpur,41.82612257496853
2012,6,Bharatpur,42.3565716721694
2012,7,Bharatpur,35.8662802462327
2012,8,Bharatpur,32.357356274590856
2012,9,Bharatpur,33.721026028131135
2012,10,Bharatpur,33.612087521723865
2012,11,Bharatpur,28.578480728145674
2012,12,Bharatpur,23.130675995055796
2013,1,Bharatpur,20.548292694819743
2013,2,Bharatpur,23.992761155374914
2013,3,Bharatpur,32.022717899435285
2013,4,Bharatpur,37.476019339695256
2013,5,Bharatpur,42.62553769936476
2013,6,Bharatpur,37.92430624390499
2013,7,Bharatpur,34.23164173654651
2013,8,Bharatpur,32.81878516934506
2013,9,Bharatpur,34.94454602056311
2013,10,Bharatpur,32.19320214033491
2013,11,Bharatpur,27.857135290114755
2013,12,Bharatpur,23.320166139342138
2014,1,Bharatpur,18.75177076404049
2014,2,Bharatpur,23.06947708507815
2014,3,Bharatpur,29.55513681106555
2014,4,Bharatpur,36.68757576116157
2014,5,Bharatpur,40.187737505280964
2014,6,Bharatpur,42.204002498351535
2014,7,Bharatpur,37.08532402560109
2014,8,Bharatpur,35.22574604385921
2014,9,Bharatpur,34.87177207264798
2014,10,Bharatpur,34.35733998514705
2014,11,Bharatpur,30.159041706415085
2014,12,Bharatpur,22.861295580366054
2015,1,Bharatpur,18.140377929546055
2015,2,Bharatpur,26.794614833806882
2015,3,Bharatpur,28.965216423228274
2015,4,Bharatpur,35.81187171342175
2015,5,Bharatpur,42.16327600156095
2015,6,Bharatpur,39.71860662260606
2015,7,Bharatpur,34.7673545882576
2015,8,Bharatpur,34.83901727436341
2015,9,Bharatpur,36.90738863243312
2015,10,Bharatpur,35.45021199884482
2015,11,Bharatpur,29.745717102888605
2015,12,Bharatpur,22.817469503035255
2016,1,Bharatpur,21.310134019577884
2016,2,Bharatpur,25.64812040618361
2016,3,Bharatpur,32.283136449741605
2016,4,Bharatpur,39.16004917581605
2016,5,Bharatpur,40.32009191496215
2016,6,Bharatpur,39.29247485056369
2016,7,Bharatpur,33.23479056024684
2016,8,Bharatpur,32.453897489685836
2016,9,Bharatpur,34.14765592158852
2016,10,Bharatpur,33.71847941627312
2016,11,Bharatpur,29.27888510187466
2016,12,Bharatpur,23.474058230846605
2017,1,Bharatpur,20.89581145290518
2017,2,Bharatpur,25.473389317806234
2017,3,Bharatpur,31.661857417515893
2017,4,Bharatpur,39.768986485254636
2017,5,Bharatpur,40.23737070190067
2017,6,Bharatpur,38.228451831229364
2017,7,Bharatpur,34.24660142492313
2017,8,Bharatpur,33.7751153700539
2017,9,Bharatpur,34.591927464167725
2017,10,Bharatpur,35.12787877739848
2017,11,Bharatpur,27.859449197974268
2017,12,Bharatpur,21.882977671281722
2018,1,Bharatpur,20.14978461422419
2018,2,Bharatpur,24.80134052683108
2018,3,Bharatpur,30.256719993742667
2018,4,Bharatpur,34.71099453082179
2018,5,Bharatpur,40.81478054133748
2018,6,Bharatpur,39.96632774062059
2018,7,Bharatpur,34.76867441417969
2018,8,Bharatpur,33.320468974777505
2018,9,Bharatpur,31.781676236345525
2018,10,Bharatpur,33.83551549962374
2018,11,Bharatpur,28.87961594337469
2018,12,Bharatpur,22.951194712888714
2019,1,Bharatpur,20.561482433509042
2019,2,Bharatpur,22.752310697237764
2019,3,Bharatpur,28.25724279766388
2019,4,Bharatpur,37.90297245603302
2019,5,Bharatpur,39.48272395956221
2019,6,Bharatpur,39.06228668232473
2019,7,Bharatpur,33.903808511062394
2019,8,Bharatpur,31.7932440688047
2019,9,Bharatpur,31.923100068281553
2019,10,Bharatpur,30.887966523955313
2019,11,Bharatpur,25.80372956320142
2019,12,Bharatpur,16.346676604163967
2020,1,Bharatpur,15.907536254730541
2020,2,Bharatpur,20.4091122697189
2020,3,Bharatpur,25.659956842255127
2020,4,Bharatpur,35.68868767800029
2020,5,Bharatpur,39.84225150215673
2020,6,Bharatpur,37.624930543522574
2020,7,Bharatpur,36.0878668040108
2020,8,Bharatpur,33.604675405068186
2020,9,Bharatpur,35.98124813560502
2020,10,Bharatpur,34.71901932672501
2020,11,Bharatpur,27.718121052636263
2020,12,Bharatpur,23.785959316552205
2000,1,Dhaulpur,21.540071224626335
2000,2,Dhaulpur,23.399191128319348
2000,3,Dhaulpur,30.591349144544825
2000,4,Dhaulpur,39.51829532995728
2000,5,Dhaulpur,39.45614241920935
2000,6,Dhaulpur,37.77518148060365
2000,7,Dhaulpur,33.91605015674058
2000,8,Dhaulpur,33.7797210786392
2000,9,Dhaulpur,34.73368732349641
2000,10,Dhaulpur,35.69161798401945
2000,11,Dhaulpur,30.316729888137182
2000,12,Dhaulpur,25.366105036939885
2001,1,Dhaulpur,19.310554660932237
2001,2,Dhaulpur,26.219158451211168
2001,3,Dhaulpur,31.968276899007545
2001,4,Dhaulpur,34.85174142365387
2001,5,Dhaulpur,40.14741591102164
2001,6,Dhaulpur,36.24667870593594
2001,7,Dhaulpur,32.66278033355292
2001,8,Dhaulpur,34.05132043576877
2001,9,Dhaulpur,36.17911812464396
2001,10,Dhaulpur,33.792117477259374
2001,11,Dhaulpur,29.552843053713744
2001,12,Dhaulpur,24.901310189702347
2002,1,Dhaulpur,21.93760970947367
2002,2,Dhaulpur,24.568619413194376
2002,3,Dhaulpur,32.495191372063054
2002,4,Dhaulpur,39.41003815163577
2002,5,Dhaulpur,42.12694408481031
2002,6,Dhaulpur,40.07547710395077
2002,7,Dhaulpur,38.679572429129315
2002,8,Dhaulpur,33.48575249614125
2002,9,Dhaulpur,33.22492357878259
2002,10,Dhaulpur,34.47179855012656
2002,11,Dhaulpur,29.331479696872066
2002,12,Dhaulpur,24.768078651550223
2003,1,Dhaulpur,18.867236834138346
2003,2,Dhaulpur,24.39235112703714
2003,3,Dhaulpur,31.507785760160807
2003,4,Dhaulpur,39.564895170392774
2003,5,Dhaulpur,40.82630726972369
2003,6,Dhaulpur,40.50625001372847
2003,7,Dhaulpur,34.99952924578062
2003,8,Dhaulpur,33.074615011188705
2003,9,Dhaulpur,31.24250059339104
2003,10,Dhaulpur,32.88423906596596
2003,11,Dhaulpur,28.901487462364138
2003,12,Dhaulpur,21.579674891202483
2004,1,Dhaulpur,18.74495540505362
2004,2,Dhaulpur,26.41289685088536
2004,3,Dhaulpur,35.14715360739972
2004,4,Dhaulpur,39.430633236986075
2004,5,Dhaulpur,40.75370600736981
2004,6,Dhaulpur,38.37909465151961
2004,7,Dhaulpur,36.78792461968357
2004,8,Dhaulpur,32.308589353380505
2004,9,Dhaulpur,34.509919311121976
2004,10,Dhaulpur,31.158864343146774
2004,11,Dhaulpur,29.342453974609672
2004,12,Dhaulpur,22.874791633386753
2005,1,Dhaulpur,19.929778809100945
2005,2,Dhaulpur,25.123118534944055
2005,3,Dhaulpur,32.035475992820395
2005,4,Dhaulpur,36.92481365190282
2005,5,Dhaulpur,40.99799693909894
2005,6,Dhaulpur,40.86344620824011
2005,7,Dhaulpur,32.92604771021105
2005,8,Dhaulpur,33.961783807734896
