Year,Month,Temperature (°C)
2000,1,23.971951746945546
2000,2,24.98024848629244
2000,3,31.93621949346384
2000,4,40.047533110251294
2000,5,39.97235455157421
2000,6,38.886572720279226
2000,7,33.63951089423939
2000,8,33.60892960090765
2000,9,34.5235479352209
2000,10,36.51452968699385
2000,11,30.552167187252202
2000,12,26.642446599604312
2001,1,23.084933642385995
2001,2,27.97796237510029
2001,3,32.80286923369811
2001,4,37.38084850721505
2001,5,40.59613765550301
2001,6,36.73480039443271
2001,7,32.210959444258776
2001,8,33.04263108248848
2001,9,36.25801144152752
2001,10,35.58392256099746
2001,11,30.874346926477006
2001,12,26.56059548841936
2002,1,23.239179845380168
2002,2,26.041554486673522
2002,3,33.16913278689784
2002,4,39.39988550389072
2002,5,42.157871403381456
2002,6,40.038196784128885
2002,7,37.049435680773485
2002,8,34.09028199361553
2002,9,35.230614246577964
2002,10,36.05966476184682
2002,11,30.583224420761447
2002,12,26.72357094847149
2003,1,22.925822745258724
2003,2,26.075236003620297
2003,3,32.46645908338308
2003,4,39.114850624247445
2003,5,41.21810836743825
2003,6,39.67231008738866
2003,7,33.88031139805632
2003,8,32.62886838588036
2003,9,32.96336063790812
2003,10,34.200874085760226
2003,11,29.779533148864772
2003,12,24.59832583398438
2004,1,22.835173506187356
2004,2,28.21444999708172
2004,3,36.347619078738425
2004,4,39.91936764066203
2004,5,40.71173024856006
2004,6,38.94334379804654
2004,7,36.95067519985632
2004,8,32.55167476977015
2004,9,35.54780737570018
2004,10,32.36844582729303
2004,11,30.693372961166205
2004,12,25.52638713907394
2005,1,21.578135066524293
2005,2,25.66969723299172
2005,3,32.73617762194422
2005,4,37.413542528738695
2005,5,40.51974032298229
2005,6,40.5732123453891
2005,7,34.45814822068404
2005,8,34.39640311868979
2005,9,33.830971768096894
2005,10,34.352416653653826
2005,11,30.47288918894299
2005,12,24.363399827692998
2006,1,24.321847305842002
2006,2,31.45288973054396
2006,3,31.578119962495638
2006,4,38.85125676095073
2006,5,41.59011987883335
2006,6,38.528363302265596
2006,7,34.44344813410539
2006,8,32.09697727009387
2006,9,34.60846676091259
2006,10,34.634129341654486
2006,11,29.82432294872214
2006,12,24.857381949824557
2007,1,23.95281511452536
2007,2,26.882368615453696
2007,3,31.52076394236581
2007,4,39.95781302477777
2007,5,41.248531282855296
2007,6,39.13353312363229
2007,7,34.67705561333665
2007,8,33.395303803732794
2007,9,34.500124888080364
2007,10,34.74579278763953
2007,11,31.24058856211951
2007,12,24.476220664598156
2008,1,22.374214958798692
2008,2,25.64237063835683
2008,3,34.764161746406636
2008,4,37.715974456268
2008,5,39.56238150383711
2008,6,36.39534474512529
2008,7,34.45283384423729
2008,8,32.758049314436214
2008,9,34.34804829021889
2008,10,36.010159456284505
2008,11,30.576521802219922
2008,12,26.682153596644305
2009,1,24.534760625281336
2009,2,28.658024195042586
2009,3,34.04669964446423
2009,4,38.75947889350601
2009,5,42.09077741382881
2009,6,40.41880148602296
2009,7,35.54928972019622
2009,8,34.701776439750255
2009,9,36.19969531464195
2009,10,34.681687211340844
2009,11,28.963130009430998
2009,12,25.79340420763151
2010,1,23.315165307891757
2010,2,28.11878414119834
2010,3,36.23037212926223
2010,4,41.12861467221573
2010,5,43.03355627060729
2010,6,40.47720745383397
2010,7,35.249999940238084
2010,8,33.03432614464911
2010,9,32.998355287572906
2010,10,34.785106280968854
2010,11,28.075126909501527
2010,12,23.99459204547705
2011,1,22.350969517875395
2011,2,26.47828671283906
2011,3,33.221588890105316
2011,4,37.530078132244675
2011,5,41.41216897070914
2011,6,38.653413695734265
2011,7,34.71723918988999
2011,8,32.785622373368156
2011,9,32.39542668801018
2011,10,34.486861379486136
2011,11,31.121498161044517
2011,12,25.6222157172548
2012,1,21.685775492524307
2012,2,25.62278282137703
2012,3,32.934270132275024
2012,4,37.56369069597742
2012,5,41.140208642114104
2012,6,40.35216966777797
2012,7,36.07288227489143
2012,8,32.15668281838303
2012,9,33.012035827387564
2012,10,34.38644055952935
2012,11,29.70329211187555
2012,12,25.35934917622235
2013,1,22.842374481314817
2013,2,25.516887359918908
2013,3,32.97441955193768
2013,4,37.395659546249
2013,5,42.01960418037877
2013,6,38.274490271263126
2013,7,33.98529925234543
2013,8,32.25724875085763
2013,9,34.66133867351858
2013,10,33.192612620524415
2013,11,28.82904274097781
2013,12,24.75263894225141
2014,1,21.229774401295323
2014,2,24.94631909697533
2014,3,31.27515473929313
2014,4,37.83767825054408
2014,5,40.251247313717364
2014,6,41.47376072001576
2014,7,36.60509677791618
2014,8,34.14718272943706
2014,9,33.8927262728889
2014,10,35.062394650110505
2014,11,31.306095800102256
2014,12,24.776421034575677
2015,1,21.554233303479723
2015,2,28.204090106842887
2015,3,30.595130665689517
2015,4,37.29093304883702
2015,5,42.272973446592125
2015,6,38.98434020377526
2015,7,34.11876952324463
2015,8,33.61472930414049
2015,9,35.89870577826012
2015,10,35.688063132803556
2015,11,30.648275799347743
2015,12,22.95201723402693
2016,1,21.64652666814939
2016,2,24.567051623165398
2016,3,31.145986129167003
2016,4,36.85244057881645
2016,5,39.787958532654784
2016,6,38.92084605159783
2016,7,33.03544497715958
2016,8,30.942511367873937
2016,9,33.2736658022379
2016,10,32.36550738057294
2016,11,28.45661111769565
2016,12,24.75751208816606
2017,1,20.767554904425115
2017,2,25.454670139579797
2017,3,31.309675134130114
2017,4,38.17531159943757
2017,5,40.04522502609141
2017,6,37.46996321039903
2017,7,32.7875410557833
2017,8,32.344189100523906
2017,9,33.753216191362206
2017,10,34.492853760401424
2017,11,27.38656149350903
2017,12,22.639020849968976
2018,1,22.67586046014037
2018,2,26.311376521995662
2018,3,32.49393503718696
2018,4,37.127806694540865
2018,5,41.03259039084298
2018,6,38.58998879435381
2018,7,33.431260308086706
2018,8,32.17566973017186
2018,9,31.609131335285973
2018,10,33.38617490557536
2018,11,28.552717760300894
2018,12,21.964603129199574
2019,1,20.599090981294626
2019,2,22.81570362947179
2019,3,28.492049193973855
2019,4,37.37546894777684
2019,5,39.13693637090424
