Year,Month,District,Flood Events,Flood Extent (sq km)
2000,1,Naini Tal,5196841,4258.865032941178
2000,2,Naini Tal,5196841,186.30558352941173
2000,3,Naini Tal,5196841,3998.6107341176485
2000,4,Naini Tal,5196841,4676.742861176472
2000,5,Naini Tal,5196841,3245.1912952941184
2000,6,Naini Tal,5196841,2547.2679670588236
2000,7,Naini Tal,5196841,1427.3199670588242
2000,8,Naini Tal,5196841,115.89693176470597
2000,9,Naini Tal,5196841,1657.6241929411756
2000,10,Naini Tal,5196841,4674.119883529413
2000,11,Naini Tal,5196841,159.0981952941174
2000,12,Naini Tal,5196841,4626.189187058826
2001,1,Naini Tal,5196841,4623.74037529412
2001,2,Naini Tal,5196841,47.77698705882353
2001,3,Naini Tal,5196841,4662.082528235296
2001,4,Naini Tal,5196841,4673.215337647061
2001,5,Naini Tal,5196841,22.676932941176474
2001,6,Naini Tal,5196841,0.0
2001,7,Naini Tal,5196841,0.0
2001,8,Naini Tal,5196841,3386.5187117647065
2001,9,Naini Tal,5196841,4484.424412941177
2001,10,Naini Tal,5196841,163.1333929411766
2001,11,Naini Tal,5196841,0.0
2001,12,Naini Tal,5196841,4623.353964705884
2002,1,Naini Tal,5196841,132.34086352941182
2002,2,Naini Tal,5196841,0.0
2002,3,Naini Tal,5196841,4662.347647058825
2002,4,Naini Tal,5196841,0.0
2002,5,Naini Tal,5196841,0.0
2002,6,Naini Tal,5196841,3048.824075294118
2002,7,Naini Tal,5196841,0.0
2002,8,Naini Tal,5196841,0.0
2002,9,Naini Tal,5196841,3626.7977541176488
2002,10,Naini Tal,5196841,4676.522671764707
2002,11,Naini Tal,5196841,0.0
2002,12,Naini Tal,5196841,3720.2089658823534
2003,1,Naini Tal,5196841,635.8223858823528
2003,2,Naini Tal,5196841,3626.4281929411773
2003,3,Naini Tal,5196841,2456.7117811764697
2003,4,Naini Tal,5196841,4676.900992941178
2003,5,Naini Tal,5196841,89.68631647058835
2003,6,Naini Tal,5196841,0.0
2003,7,Naini Tal,5196841,0.0
2003,8,Naini Tal,5196841,3182.2051764705884
2003,9,Naini Tal,5196841,0.0
2003,10,Naini Tal,5196841,4012.458885882354
2003,11,Naini Tal,5196841,4665.536061176473
2003,12,Naini Tal,5196841,2151.001034117648
2004,1,Naini Tal,5196841,4047.8025952941184
2004,2,Naini Tal,5196841,4177.656307058825
2004,3,Naini Tal,5196841,4152.176029411766
2004,4,Naini Tal,5196841,4670.983267058825
2004,5,Naini Tal,5196841,4177.633034117648
2004,6,Naini Tal,5196841,557.1501882352941
2004,7,Naini Tal,5196841,71.44672941176471
2004,8,Naini Tal,5196841,0.0
2004,9,Naini Tal,5196841,3710.620245882354
2004,10,Naini Tal,5196841,4151.3563835294135
2004,11,Naini Tal,5196841,4317.971272941178
2004,12,Naini Tal,5196841,3312.120772941177
2005,1,Naini Tal,5196841,66.23403176470593
2005,2,Naini Tal,5196841,4033.293416470589
2005,3,Naini Tal,5196841,76.16813294117664
2005,4,Naini Tal,5196841,4182.85349647059
2005,5,Naini Tal,5196841,4608.516155294119
2005,6,Naini Tal,5196841,4177.904032941176
2005,7,Naini Tal,5196841,0.0018
2005,8,Naini Tal,5196841,3387.6359858823544
2005,9,Naini Tal,5196841,3920.90505882353
2005,10,Naini Tal,5196841,4601.030604705884
2005,11,Naini Tal,5196841,4156.178385882354
2005,12,Naini Tal,5196841,4287.960310588237
2006,1,Naini Tal,5196841,70.09653529411764
2006,2,Naini Tal,5196841,3421.3395141176484
2006,3,Naini Tal,5196841,4395.596043529413
2006,4,Naini Tal,5196841,0.0
2006,5,Naini Tal,5196841,3921.019083529412
2006,6,Naini Tal,5196841,4123.958569411765
2006,7,Naini Tal,5196841,23.08293176470589
2006,8,Naini Tal,5196841,1568.2535611764708
2006,9,Naini Tal,5196841,3436.867856470589
2006,10,Naini Tal,5196841,4645.1120152941185
2006,11,Naini Tal,5196841,4205.636054117648
2006,12,Naini Tal,5196841,4034.526331764708
2007,1,Naini Tal,5196841,4443.060991764708
2007,2,Naini Tal,5196841,4217.283430588235
2007,3,Naini Tal,5196841,4170.529429411767
2007,4,Naini Tal,5196841,4639.430671764708
2007,5,Naini Tal,5196841,4602.8270435294135
2007,6,Naini Tal,5196841,166.79755058823508
2007,7,Naini Tal,5196841,0.0
2007,8,Naini Tal,5196841,463.51880117647073
2007,9,Naini Tal,5196841,107.94193411764701
2007,10,Naini Tal,5196841,4240.082047058824
2007,11,Naini Tal,5196841,4595.430321176472
2007,12,Naini Tal,5196841,4605.391041176472
2008,1,Naini Tal,5196841,0.0
2008,2,Naini Tal,5196841,4367.791203529413
2008,3,Naini Tal,5196841,155.46694941176455
2008,4,Naini Tal,5196841,4677.095392941177
2008,5,Naini Tal,5196841,4582.517968235295
2008,6,Naini Tal,5196841,32.96551058823528
2008,7,Naini Tal,5196841,3155.606569411766
2008,8,Naini Tal,5196841,0.0
2008,9,Naini Tal,5196841,79.91724352941193
2008,10,Naini Tal,5196841,4674.574104705885
2008,11,Naini Tal,5196841,4673.140132941177
2008,12,Naini Tal,5196841,4668.601041176473
2009,1,Naini Tal,5196841,4661.771890588237
2009,2,Naini Tal,5196841,4667.177082352942
2009,3,Naini Tal,5196841,4676.166349411766
2009,4,Naini Tal,5196841,4677.095392941178
2009,5,Naini Tal,5196841,4629.105592941177
2009,6,Naini Tal,5196841,4675.063574117648
2009,7,Naini Tal,5196841,3777.784690588236
2009,8,Naini Tal,5196841,298.7865741176464
2009,9,Naini Tal,5196841,4506.61069764706
2009,10,Naini Tal,5196841,4676.994592941178
2009,11,Naini Tal,5196841,4671.845650588237
2009,12,Naini Tal,5196841,4648.911723529413
2010,1,Naini Tal,5196841,4387.031071764707
2010,2,Naini Tal,5196841,4649.769681176472
2010,3,Naini Tal,5196841,4670.747954117649
2010,4,Naini Tal,5196841,4674.041297647061
2010,5,Naini Tal,5196841,4536.52505647059
2010,6,Naini Tal,5196841,4662.371548235295
2010,7,Naini Tal,5196841,8.538642352941174
2010,8,Naini Tal,5196841,7.940763529411765
2010,9,Naini Tal,5196841,3854.150865882353
2010,10,Naini Tal,5196841,4675.575914117649
2010,11,Naini Tal,5196841,4667.416662352942
2010,12,Naini Tal,5196841,4659.324624705884
2011,1,Naini Tal,5196841,4651.653871764707
2011,2,Naini Tal,5196841,4469.343158823531
2011,3,Naini Tal,5196841,4675.957860000001
2011,4,Naini Tal,5196841,2561.644969411765
2011,5,Naini Tal,5196841,4655.466494117648
2011,6,Naini Tal,5196841,1065.4152635294117
2011,7,Naini Tal,5196841,783.3697694117648
2011,8,Naini Tal,5196841,4034.751292941177
2011,9,Naini Tal,5196841,3758.71287529412
2011,10,Naini Tal,5196841,4675.330588235296
2011,11,Naini Tal,5196841,4654.830155294119
2011,12,Naini Tal,5196841,4622.381890588236
2012,1,Naini Tal,5196841,2971.308296470588
2012,2,Naini Tal,5196841,2915.1140894117652
2012,3,Naini Tal,5196841,4246.261309411765
2012,4,Naini Tal,5196841,4547.188870588237
2012,5,Naini Tal,5196841,4198.656300000001
2012,6,Naini Tal,5196841,4676.690763529413
2012,7,Naini Tal,5196841,0.0
2012,8,Naini Tal,5196841,2355.9242541176454
2012,9,Naini Tal,5196841,163.74408352941177
2012,10,Naini Tal,5196841,4511.187988235295
2012,11,Naini Tal,5196841,4666.662656470589
2012,12,Naini Tal,5196841,2265.241835294117
2013,1,Naini Tal,5196841,2896.917120000001
2013,2,Naini Tal,5196841,3540.4443070588245
2013,3,Naini Tal,5196841,4120.848021176471
2013,4,Naini Tal,5196841,4657.434063529413
2013,5,Naini Tal,5196841,4674.882112941179
2013,6,Naini Tal,5196841,963.756603529412
2013,7,Naini Tal,5196841,241.54258941176477
2013,8,Naini Tal,5196841,1813.1062164705882
2013,9,Naini Tal,5196841,4466.779951764707
2013,10,Naini Tal,5196841,4676.961292941177
2013,11,Naini Tal,5196841,4674.1220929411775
2013,12,Naini Tal,5196841,4652.1441952941195
2014,1,Naini Tal,5196841,4635.2627152941195
2014,2,Naini Tal,5196841,4661.177032941178
2014,3,Naini Tal,5196841,4676.6789682352955
2014,4,Naini Tal,5196841,4675.446592941178
2014,5,Naini Tal,5196841,4677.071992941178
2014,6,Naini Tal,5196841,4656.324511764707
2014,7,Naini Tal,5196841,382.396552941177
2014,8,Naini Tal,5196841,3803.543601176472
2014,9,Naini Tal,5196841,4171.035180000002
2014,10,Naini Tal,5196841,4634.597894117649
2014,11,Naini Tal,5196841,4673.222061176472
2014,12,Naini Tal,5196841,4660.447740000001
2015,1,Naini Tal,5196841,4584.095618823532
2015,2,Naini Tal,5196841,4658.296411764707
2015,3,Naini Tal,5196841,4672.078260000001
2015,4,Naini Tal,5196841,4676.978392941178
2015,5,Naini Tal,5196841,4641.787365882355
2015,6,Naini Tal,5196841,4282.240468235295
2015,7,Naini Tal,5196841,735.3762811764706
2015,8,Naini Tal,5196841,2274.22760117647
2015,9,Naini Tal,5196841,4594.136992941178
2015,10,Naini Tal,5196841,4677.084592941178
2015,11,Naini Tal,5196841,4674.81181764706
2015,12,Naini Tal,5196841,2825.5911352941184
2016,1,Naini Tal,5196841,4001.831350588236
2016,2,Naini Tal,5196841,4658.805352941179
2016,3,Naini Tal,5196841,4660.632490588236
2016,4,Naini Tal,5196841,4677.088192941177
2016,5,Naini Tal,5196841,4576.758585882354
2016,6,Naini Tal,5196841,470.9058247058825
2016,7,Naini Tal,5196841,3057.422890588237
2016,8,Naini Tal,5196841,2540.048258823529
2016,9,Naini Tal,5196841,3777.922507058825
2016,10,Naini Tal,5196841,4676.642823529413
2016,11,Naini Tal,5196841,4676.277854117648
2016,12,Naini Tal,5196841,158.2052188235293
2017,1,Naini Tal,5196841,2769.2646282352935
2017,2,Naini Tal,5196841,4673.706628235295
2017,3,Naini Tal,5196841,4677.073792941178
2017,4,Naini Tal,5196841,4673.269080000002
2017,5,Naini Tal,5196841,4672.8625552941185
2017,6,Naini Tal,5196841,4664.189096470589
2017,7,Naini Tal,5196841,1785.1598011764713
2017,8,Naini Tal,5196841,2556.128234117646
2017,9,Naini Tal,5196841,4185.1537658823545
2017,10,Naini Tal,5196841,4677.075592941178
2017,11,Naini Tal,5196841,4674.694641176472
2017,12,Naini Tal,5196841,466.7462082352943
2018,1,Naini Tal,5196841,4317.970087058825
2018,2,Naini Tal,5196841,4643.281309411766
2018,3,Naini Tal,5196841,4676.9248235294135
2018,4,Naini Tal,5196841,4677.065692941178
2018,5,Naini Tal,5196841,4676.891992941179
2018,6,Naini Tal,5196841,4676.67439764706
2018,7,Naini Tal,5196841,4051.1496917647078
2018,8,Naini Tal,5196841,3661.6058541176494
2018,9,Naini Tal,5196841,4205.168078823531
2018,10,Naini Tal,5196841,4676.8349823529425
2018,11,Naini Tal,5196841,4666.104617647061
2018,12,Naini Tal,5196841,360.90056117647083
2019,1,Naini Tal,5196841,151.112731764706
2019,2,Naini Tal,5196841,3740.87803764706
2019,3,Naini Tal,5196841,4673.498491764707
2019,4,Naini Tal,5196841,4677.094492941178
2019,5,Naini Tal,5196841,4677.096292941178
2019,6,Naini Tal,5196841,4621.643820000002
2019,7,Naini Tal,5196841,1404.036398823529
2019,8,Naini Tal,5196841,4371.460125882354
2019,9,Naini Tal,5196841,4109.2477941176485
2019,10,Naini Tal,5196841,4676.301465882354
2019,11,Naini Tal,5196841,4651.667848235296
2019,12,Naini Tal,5196841,4656.730877647061
2020,1,Naini Tal,5196841,15.535799999999997
2020,2,Naini Tal,5196841,4659.331782352942
2020,3,Naini Tal,5196841,4659.007980000001
2020,4,Naini Tal,5196841,4676.779097647061
2020,5,Naini Tal,5196841,4676.7596929411775
2020,6,Naini Tal,5196841,4456.816609411766
2020,7,Naini Tal,5196841,3864.947897647061
2020,8,Naini Tal,5196841,1532.9928
2020,9,Naini Tal,5196841,4637.938365882354
2020,10,Naini Tal,5196841,4677.085492941178
2020,11,Naini Tal,5196841,4675.953942352942
2020,12,Naini Tal,5196841,4629.000204705884
2021,1,Naini Tal,5196841,2796.8932482352943
2021,2,Naini Tal,5196841,4606.665801176472
2021,3,Naini Tal,5196841,4676.868084705884
2021,4,Naini Tal,5196841,4677.091792941178
2021,5,Naini Tal,5196841,3673.6840023529426
2021,6,Naini Tal,5196841,4435.639344705884
2021,7,Naini Tal,5196841,3139.84033764706
2021,8,Naini Tal,5196841,4253.95433647059
2021,9,Naini Tal,5196841,3270.2639752941195
2021,10,Naini Tal,5196841,4673.1833188235305
2021,11,Naini Tal,5196841,4650.769341176472
2021,12,Naini Tal,5196841,545.176316470588
2022,1,Naini Tal,0,0.0
2022,2,Naini Tal,0,0.0
2022,3,Naini Tal,0,0.0
2022,4,Naini Tal,0,0.0
2022,5,Naini Tal,0,0.0
2022,6,Naini Tal,0,0.0
2022,7,Naini Tal,0,0.0
2022,8,Naini Tal,0,0.0
2022,9,Naini Tal,0,0.0
2022,10,Naini Tal,0,0.0
2022,11,Naini Tal,0,0.0
2022,12,Naini Tal,0,0.0
2023,1,Naini Tal,0,0.0
2023,2,Naini Tal,0,0.0
2023,3,Naini Tal,0,0.0
2023,4,Naini Tal,0,0.0
2023,5,Naini Tal,0,0.0
2023,6,Naini Tal,0,0.0
2023,7,Naini Tal,0,0.0
2023,8,Naini Tal,0,0.0
2023,9,Naini Tal,0,0.0
2023,10,Naini Tal,0,0.0
2023,11,Naini Tal,0,0.0
2023,12,Naini Tal,0,0.0
2000,1,Udham Singh Nagar,3654928,2662.8302470588224
2000,2,Udham Singh Nagar,3654928,432.2136529411766
2000,3,Udham Singh Nagar,3654928,3257.1141247058817
2000,4,Udham Singh Nagar,3654928,3289.1255682352935
2000,5,Udham Singh Nagar,3654928,2939.848492941176
2000,6,Udham Singh Nagar,3654928,2302.477754117647
2000,7,Udham Singh Nagar,3654928,829.589876470588
2000,8,Udham Singh Nagar,3654928,420.62947411764725
2000,9,Udham Singh Nagar,3654928,2012.863920000001
2000,10,Udham Singh Nagar,3654928,3289.3751329411757
2000,11,Udham Singh Nagar,3654928,463.68554117647057
2000,12,Udham Singh Nagar,3654928,3134.1848011764696
2001,1,Udham Singh Nagar,3654928,3236.3027329411752
2001,2,Udham Singh Nagar,3654928,33.8548729411765
2001,3,Udham Singh Nagar,3654928,3273.4520329411757
2001,4,Udham Singh Nagar,3654928,3289.3976329411753
2001,5,Udham Singh Nagar,3654928,432.02420117647085
2001,6,Udham Singh Nagar,3654928,0.0
2001,7,Udham Singh Nagar,3654928,400.50008117647076
2001,8,Udham Singh Nagar,3654928,2871.470650588236
2001,9,Udham Singh Nagar,3654928,3288.114232941176
2001,10,Udham Singh Nagar,3654928,223.82730705882366
2001,11,Udham Singh Nagar,3654928,226.83991058823526
2001,12,Udham Singh Nagar,3654928,3246.8588329411755
2002,1,Udham Singh Nagar,3654928,228.6479011764707
2002,2,Udham Singh Nagar,3654928,265.67866588235296
2002,3,Udham Singh Nagar,3654928,3289.043008235293
2002,4,Udham Singh Nagar,3654928,306.43473529411784
2002,5,Udham Singh Nagar,3654928,0.0
2002,6,Udham Singh Nagar,3654928,3240.289122352941
2002,7,Udham Singh Nagar,3654928,335.8894941176472
2002,8,Udham Singh Nagar,3654928,0.0
2002,9,Udham Singh Nagar,3654928,2864.17473882353
2002,10,Udham Singh Nagar,3654928,3288.9443858823524
2002,11,Udham Singh Nagar,3654928,181.41799764705885
