Year,Month,District,Rainfall (mm)
2000,1,Naini Tal,22.233224232793017
2000,2,Naini Tal,46.96865038203237
2000,3,Naini Tal,23.392608666530577
2000,4,Naini Tal,19.003031439859157
2000,5,Naini Tal,127.85866846040635
2000,6,Naini Tal,310.8065587443057
2000,7,Naini Tal,358.26096573398246
2000,8,Naini Tal,362.82435341086943
2000,9,Naini Tal,114.6465074223728
2000,10,Naini Tal,16.407269587607175
2000,11,Naini Tal,0.22762432516205483
2000,12,Naini Tal,8.068389235645984
2001,1,Naini Tal,20.19360450901657
2001,2,Naini Tal,33.03052359626355
2001,3,Naini Tal,31.01729591675926
2001,4,Naini Tal,23.494108925285822
2001,5,Naini Tal,97.20666979833554
2001,6,Naini Tal,159.8097774348308
2001,7,Naini Tal,300.17312677222014
2001,8,Naini Tal,145.58184626130523
2001,9,Naini Tal,86.79824506236292
2001,10,Naini Tal,22.536284688900906
2001,11,Naini Tal,2.0029660092710575
2001,12,Naini Tal,7.869815408941395
2002,1,Naini Tal,59.58780160135725
2002,2,Naini Tal,94.0752185586943
2002,3,Naini Tal,37.94293699245208
2002,4,Naini Tal,26.504747508042062
2002,5,Naini Tal,34.16933355830086
2002,6,Naini Tal,105.1388485821887
2002,7,Naini Tal,137.79308195121538
2002,8,Naini Tal,295.4668106572993
2002,9,Naini Tal,264.6814624384639
2002,10,Naini Tal,19.272267280442655
2002,11,Naini Tal,0.0
2002,12,Naini Tal,9.376291994943816
2003,1,Naini Tal,56.0133692713508
2003,2,Naini Tal,82.31865147756173
2003,3,Naini Tal,30.444061869790612
2003,4,Naini Tal,16.437213295196326
2003,5,Naini Tal,25.08274275983456
2003,6,Naini Tal,106.35462254575457
2003,7,Naini Tal,302.53800827715315
2003,8,Naini Tal,361.57103627299443
2003,9,Naini Tal,268.45368606658513
2003,10,Naini Tal,26.09418725943385
2003,11,Naini Tal,0.9561948851672097
2003,12,Naini Tal,25.516624943189804
2004,1,Naini Tal,37.3908235511831
2004,2,Naini Tal,19.807924473367507
2004,3,Naini Tal,12.524850749517055
2004,4,Naini Tal,36.96382263729265
2004,5,Naini Tal,47.547657495957395
2004,6,Naini Tal,210.15909195186512
2004,7,Naini Tal,245.46041002424496
2004,8,Naini Tal,282.40931910593076
2004,9,Naini Tal,174.87513898386328
2004,10,Naini Tal,93.54357323692288
2004,11,Naini Tal,1.3168938745555852
2004,12,Naini Tal,9.809127934513688
2005,1,Naini Tal,44.50730299703415
2005,2,Naini Tal,76.12854894298222
2005,3,Naini Tal,59.522171256116245
2005,4,Naini Tal,13.251236109742685
2005,5,Naini Tal,28.968122939098166
2005,6,Naini Tal,111.67229642625611
2005,7,Naini Tal,331.7141545533398
2005,8,Naini Tal,317.21515156692794
2005,9,Naini Tal,216.00444755971785
2005,10,Naini Tal,25.986361221336384
2005,11,Naini Tal,0.0
2005,12,Naini Tal,11.029945359668401
2006,1,Naini Tal,15.90697183850285
2006,2,Naini Tal,14.415230221143183
2006,3,Naini Tal,53.41369133217411
2006,4,Naini Tal,11.310798983737167
2006,5,Naini Tal,89.82963486471381
2006,6,Naini Tal,97.19465465497004
2006,7,Naini Tal,398.9924748120093
2006,8,Naini Tal,217.15364559831968
2006,9,Naini Tal,156.9356377599482
2006,10,Naini Tal,42.80507075404481
2006,11,Naini Tal,0.07949722305163245
2006,12,Naini Tal,14.884765660670954
2007,1,Naini Tal,12.7386833430275
2007,2,Naini Tal,99.86459482619249
2007,3,Naini Tal,60.78336948912938
2007,4,Naini Tal,23.774069904066174
2007,5,Naini Tal,87.23694418438505
2007,6,Naini Tal,141.16607786566672
2007,7,Naini Tal,373.88055111872
2007,8,Naini Tal,366.40586862252974
2007,9,Naini Tal,177.58949337144946
2007,10,Naini Tal,23.033520753518907
2007,11,Naini Tal,0.0
2007,12,Naini Tal,9.472300801530094
2008,1,Naini Tal,20.79682272150788
2008,2,Naini Tal,23.315400336806118
2008,3,Naini Tal,19.445333814350217
2008,4,Naini Tal,27.876555875323138
2008,5,Naini Tal,44.18957438153937
2008,6,Naini Tal,217.66835745043218
2008,7,Naini Tal,462.9058696003867
2008,8,Naini Tal,368.38477350452416
2008,9,Naini Tal,109.52696004030287
2008,10,Naini Tal,36.805081810137786
2008,11,Naini Tal,0.04433365193369025
2008,12,Naini Tal,11.60438126301866
2009,1,Naini Tal,27.842326320555934
2009,2,Naini Tal,32.80412150112962
2009,3,Naini Tal,23.56659335683105
2009,4,Naini Tal,23.98708790629655
2009,5,Naini Tal,82.32332461900089
2009,6,Naini Tal,106.42339892360262
2009,7,Naini Tal,322.80960018930705
2009,8,Naini Tal,376.52763615368406
2009,9,Naini Tal,286.42629011202985
2009,10,Naini Tal,139.48284656114316
2009,11,Naini Tal,0.46024821320404646
2009,12,Naini Tal,10.509833877055826
2010,1,Naini Tal,19.848723953155453
2010,2,Naini Tal,66.95101200749787
2010,3,Naini Tal,14.366559070201971
2010,4,Naini Tal,11.077655295455465
2010,5,Naini Tal,53.55556142769831
2010,6,Naini Tal,72.06564310151083
2010,7,Naini Tal,455.0634704172673
2010,8,Naini Tal,384.7962971345066
2010,9,Naini Tal,445.55773014572753
2010,10,Naini Tal,25.16396439332962
2010,11,Naini Tal,6.503311325852192
