Year,Month,District,Temperature (°C)
2000,1,Naini Tal,17.068766760001715
2000,2,Naini Tal,18.636701552707546
2000,3,Naini Tal,24.905776557700193
2000,4,Naini Tal,32.354446168921626
2000,5,Naini Tal,32.364853641200995
2000,6,Naini Tal,28.885958623184464
2000,7,Naini Tal,28.107988691182
2000,8,Naini Tal,28.733530935596388
2000,9,Naini Tal,28.610483716086815
2000,10,Naini Tal,28.54228427350811
2000,11,Naini Tal,24.160821121566418
2000,12,Naini Tal,20.73176828830369
2001,1,Naini Tal,17.871006140719146
2001,2,Naini Tal,22.563816274372062
2001,3,Naini Tal,26.047160099820612
2001,4,Naini Tal,31.285559748138564
2001,5,Naini Tal,31.66206875895456
2001,6,Naini Tal,29.482443856864375
2001,7,Naini Tal,29.598518456314334
2001,8,Naini Tal,30.301007549595045
2001,9,Naini Tal,30.628976448992344
2001,10,Naini Tal,28.55995442684459
2001,11,Naini Tal,24.048545912125785
2001,12,Naini Tal,18.503983603113372
2002,1,Naini Tal,15.838694624931808
2002,2,Naini Tal,18.912957922602935
2002,3,Naini Tal,24.784997215784934
2002,4,Naini Tal,31.252580356683975
2002,5,Naini Tal,33.20760559617879
2002,6,Naini Tal,32.521328568950224
2002,7,Naini Tal,33.62792060267096
2002,8,Naini Tal,29.500288325042572
2002,9,Naini Tal,27.246246543616866
2002,10,Naini Tal,28.208006409532793
2002,11,Naini Tal,24.615491334522073
2002,12,Naini Tal,20.506555344857244
2003,1,Naini Tal,14.023641132884316
2003,2,Naini Tal,19.10407915291109
2003,3,Naini Tal,22.804452080380692
2003,4,Naini Tal,32.37681138692911
2003,5,Naini Tal,33.64229564087993
2003,6,Naini Tal,32.211461286194364
2003,7,Naini Tal,29.506002077815587
2003,8,Naini Tal,29.042818649463896
2003,9,Naini Tal,27.106619930825918
2003,10,Naini Tal,28.09780820951813
2003,11,Naini Tal,24.02983429034055
2003,12,Naini Tal,18.625287692773533
2004,1,Naini Tal,14.977544785462218
2004,2,Naini Tal,21.47222161101079
2004,3,Naini Tal,29.167851926080896
2004,4,Naini Tal,31.72644389795989
2004,5,Naini Tal,33.07256740231175
2004,6,Naini Tal,30.806337124788705
2004,7,Naini Tal,29.701268554126194
2004,8,Naini Tal,29.533466004657004
2004,9,Naini Tal,29.116899791207928
2004,10,Naini Tal,25.819166820472915
2004,11,Naini Tal,23.31748105919836
2004,12,Naini Tal,19.761765081794444
2005,1,Naini Tal,16.9017475804891
2005,2,Naini Tal,19.277464707605095
2005,3,Naini Tal,26.03117898436061
2005,4,Naini Tal,31.246084337391952
2005,5,Naini Tal,33.64959247577368
2005,6,Naini Tal,35.431448988485855
2005,7,Naini Tal,28.534744516442924
2005,8,Naini Tal,30.10707146307427
2005,9,Naini Tal,28.465564954379747
2005,10,Naini Tal,27.528911596145242
2005,11,Naini Tal,24.369802502662843
2005,12,Naini Tal,20.379694828931
2006,1,Naini Tal,19.82749008007116
2006,2,Naini Tal,25.249869127521777
2006,3,Naini Tal,25.611681980573703
2006,4,Naini Tal,31.60971314647582
2006,5,Naini Tal,30.905366078075133
2006,6,Naini Tal,31.236327363882292
2006,7,Naini Tal,29.37813414377652
2006,8,Naini Tal,30.1278777232268
2006,9,Naini Tal,29.508146389631904
2006,10,Naini Tal,28.029970914383014
2006,11,Naini Tal,23.997686656776203
2006,12,Naini Tal,20.336865198199014
2007,1,Naini Tal,19.193043035659052
2007,2,Naini Tal,19.581239433472525
2007,3,Naini Tal,24.008417699633156
2007,4,Naini Tal,31.976846132223876
2007,5,Naini Tal,32.05292645616456
2007,6,Naini Tal,31.7032646235732
2007,7,Naini Tal,28.74635471865337
2007,8,Naini Tal,29.068467174899308
2007,9,Naini Tal,29.027898640640224
2007,10,Naini Tal,27.934929121671882
2007,11,Naini Tal,23.856823285333977
2007,12,Naini Tal,20.017577044564845
2008,1,Naini Tal,17.93956599437261
2008,2,Naini Tal,19.96354270383537
2008,3,Naini Tal,27.567988895060513
2008,4,Naini Tal,31.689464803248672
2008,5,Naini Tal,31.99778236285207
2008,6,Naini Tal,28.19405244512189
2008,7,Naini Tal,28.159739454608477
2008,8,Naini Tal,28.491010380963164
2008,9,Naini Tal,28.87985371449175
2008,10,Naini Tal,27.594170890272842
2008,11,Naini Tal,24.38909133742787
2008,12,Naini Tal,20.965265148773614
2009,1,Naini Tal,19.12618879419505
2009,2,Naini Tal,22.23942210403156
2009,3,Naini Tal,27.051102385653508
2009,4,Naini Tal,32.384767094257874
2009,5,Naini Tal,32.449793822343594
2009,6,Naini Tal,35.06955178301907
2009,7,Naini Tal,31.179164937446316
2009,8,Naini Tal,30.1527502559038
2009,9,Naini Tal,28.705782880410506
2009,10,Naini Tal,27.3861181677122
2009,11,Naini Tal,23.30642464248515
2009,12,Naini Tal,20.362397604473077
2010,1,Naini Tal,17.068042291853796
2010,2,Naini Tal,21.46043982594035
2010,3,Naini Tal,28.849243979064216
2010,4,Naini Tal,34.44239884539363
2010,5,Naini Tal,33.92607627450823
