Year,District,Tree Cover (%)
2000,Naini Tal,36.14056941704916
2001,Naini Tal,31.34879863440977
2002,Naini Tal,33.76390977853857
2003,Naini Tal,30.532894981216607
2004,Naini Tal,33.50011174957014
2005,Naini Tal,29.54750468980947
2006,Naini Tal,38.74302593492422
2007,Naini Tal,37.54833300070789
2008,Naini Tal,31.33878965037392
2009,Naini Tal,29.164479208179333
2010,Naini Tal,28.548067949614637
2011,Naini Tal,31.356998219771636
2012,Naini Tal,26.896754099950073
2013,Naini Tal,32.4451674764051
2014,Naini Tal,35.34293875976656
2015,Naini Tal,33.30954777834513
2016,Naini Tal,30.430525239768432
2017,Naini Tal,27.576541110515834
2018,Naini Tal,29.123450432192783
2019,Naini Tal,40.8399047327045
2020,Naini Tal,37.010353361584485
2000,Udham Singh Nagar,15.89213009576024
2001,Udham Singh Nagar,16.38399727344217
2002,Udham Singh Nagar,17.14116765513575
2003,Udham Singh Nagar,21.15885200400778
2004,Udham Singh Nagar,17.014202047000683
2005,Udham Singh Nagar,12.933169017189785
2006,Udham Singh Nagar,19.24470183019892
2007,Udham Singh Nagar,16.41187375522715
2008,Udham Singh Nagar,17.076269209004277
2009,Udham Singh Nagar,15.439385838557426
2010,Udham Singh Nagar,14.880272447557257
2011,Udham Singh Nagar,16.081530632742716
2012,Udham Singh Nagar,13.897770310161281
2013,Udham Singh Nagar,20.177020482255337
2014,Udham Singh Nagar,19.473715541379793
2015,Udham Singh Nagar,16.996337642421643
2016,Udham Singh Nagar,16.53910577231652
2017,Udham Singh Nagar,15.772604952879307
2018,Udham Singh Nagar,18.115619955071832
2019,Udham Singh Nagar,22.088173096002812
2020,Udham Singh Nagar,21.187687864245373
2000,Pithoragarh,18.085723415535032
2001,Pithoragarh,17.492551414609075
2002,Pithoragarh,14.136317330164037
2003,Pithoragarh,15.149399370491818
2004,Pithoragarh,18.452557148082818
2005,Pithoragarh,17.80995577101611
2006,Pithoragarh,19.509722839839824
2007,Pithoragarh,19.55661758387379
2008,Pithoragarh,17.2430243909769
2009,Pithoragarh,17.142767253365545
2010,Pithoragarh,16.365799617674522
2011,Pithoragarh,16.988228300257493
2012,Pithoragarh,15.342776386540386
2013,Pithoragarh,17.246112883223567
2014,Pithoragarh,18.312991671201946
2015,Pithoragarh,19.340564232984722
2016,Pithoragarh,19.264155951425646
2017,Pithoragarh,17.483457214245497
2018,Pithoragarh,19.55590759105353
2019,Pithoragarh,19.711145032468576
2020,Pithoragarh,20.81608133737861
2000,Almora,22.893488773365053
2001,Almora,21.58259530237719
2002,Almora,20.556191456544354
2003,Almora,19.988419433068557
2004,Almora,24.261218494649462
2005,Almora,23.528542623835826
2006,Almora,26.39210574343912
2007,Almora,30.351996644281503
2008,Almora,25.09180451133994
2009,Almora,22.896163990218504
2010,Almora,21.47440074403697
2011,Almora,23.895711690590897
2012,Almora,19.27880345542686
2013,Almora,28.52499235906406
2014,Almora,26.788579065012126
2015,Almora,25.295273400485996
2016,Almora,24.02055952172802
2017,Almora,23.769871700682167
2018,Almora,24.31515570407836
2019,Almora,31.10250565237717
2020,Almora,27.414666273743354
2000,Bageshwar,26.127630914607643
2001,Bageshwar,26.739780449051466
2002,Bageshwar,21.55479777548018
2003,Bageshwar,22.697677282883586
2004,Bageshwar,28.361833184757433
2005,Bageshwar,27.097267651310837
2006,Bageshwar,30.76402149731054
2007,Bageshwar,30.951789457829843
2008,Bageshwar,28.40841588474222
2009,Bageshwar,24.512232744334902
2010,Bageshwar,23.658382033192673
2011,Bageshwar,26.62007320838123
2012,Bageshwar,22.41797927209333
2013,Bageshwar,27.09376749383158
2014,Bageshwar,27.353477323913495
2015,Bageshwar,29.16861633043266
2016,Bageshwar,29.69663038893485
2017,Bageshwar,25.46635526950839
2018,Bageshwar,27.762929715279654
2019,Bageshwar,31.046844979935727
2020,Bageshwar,31.052395892109782
2000,Chamoli,19.24833428504754
2001,Chamoli,18.807408960738805
2002,Chamoli,15.855388369299519
2003,Chamoli,16.566235115350988
2004,Chamoli,19.610515527997055
2005,Chamoli,19.373949162330128
2006,Chamoli,20.678804302823597
2007,Chamoli,20.29488182075295
2008,Chamoli,18.839206861805696
2009,Chamoli,17.666617306573475
2010,Chamoli,17.149540112334503
2011,Chamoli,18.843524955882376
2012,Chamoli,16.694343806491222
2013,Chamoli,18.652304707705415
2014,Chamoli,18.17740824023199
2015,Chamoli,21.314830288385522
2016,Chamoli,19.99611711354213
2017,Chamoli,18.399830734669585
2018,Chamoli,19.141201482738435
2019,Chamoli,20.376552880360347
2020,Chamoli,20.758751092858233
2000,Champawat,34.24784524792408
2001,Champawat,29.21452629813139
2002,Champawat,31.982570988836414
2003,Champawat,28.302083659657807
2004,Champawat,34.05850143043803
2005,Champawat,28.969634391955175
2006,Champawat,36.096579075283216
2007,Champawat,38.695150456214215
2008,Champawat,31.83328954269435
2009,Champawat,28.12887736633667
2010,Champawat,31.732941103948516
2011,Champawat,34.0406783035237
2012,Champawat,28.805445770177947
2013,Champawat,32.195747693159646
2014,Champawat,35.086735781768986
2015,Champawat,33.398679409068905
2016,Champawat,29.765541550410934
2017,Champawat,29.334352644668257
2018,Champawat,30.46882493883624
2019,Champawat,39.653400966290974
2020,Champawat,36.92739175206682
2000,Rudra Prayag,29.403389590925027
2001,Rudra Prayag,28.89637142344385
2002,Rudra Prayag,23.908586090606644
2003,Rudra Prayag,27.247912426906357
2004,Rudra Prayag,29.990394842511265
2005,Rudra Prayag,30.799507754733778
2006,Rudra Prayag,32.53992113266299
2007,Rudra Prayag,28.57624916590614
2008,Rudra Prayag,31.240315330765366
2009,Rudra Prayag,28.330545052152036
2010,Rudra Prayag,26.69471369881711
2011,Rudra Prayag,28.545401380143726
2012,Rudra Prayag,26.514931231867305
2013,Rudra Prayag,27.810225730208828
2014,Rudra Prayag,28.647988508733782
2015,Rudra Prayag,32.17973534887813
2016,Rudra Prayag,29.74822943452076
2017,Rudra Prayag,28.201212874597335
2018,Rudra Prayag,30.172963511903873
2019,Rudra Prayag,30.888975272020236
2020,Rudra Prayag,32.33949609994017
2000,Dehra Dun,27.088014158984585
2001,Dehra Dun,25.507434236341343
2002,Dehra Dun,27.71035907457696
2003,Dehra Dun,23.6187686233734
2004,Dehra Dun,29.108725053884744
2005,Dehra Dun,24.500194545900158
2006,Dehra Dun,30.71057093176486
2007,Dehra Dun,27.589139117904644
2008,Dehra Dun,28.39691402939727
2009,Dehra Dun,25.31282376229785
2010,Dehra Dun,22.45659702949289
2011,Dehra Dun,26.185230503917793
2012,Dehra Dun,20.72562076079534
2013,Dehra Dun,27.994285626355317
2014,Dehra Dun,28.63052133904728
2015,Dehra Dun,27.335558703950568
2016,Dehra Dun,24.792912209238988
2017,Dehra Dun,26.28000458336946
2018,Dehra Dun,27.55893751559387
2019,Dehra Dun,31.36989413185813
2020,Dehra Dun,30.65845708614204
2000,Pauri Garhwal,29.72900920409444
2001,Pauri Garhwal,26.067907119168556
2002,Pauri Garhwal,28.89462956708459
2003,Pauri Garhwal,27.187266213131593
2004,Pauri Garhwal,29.542879992244366
2005,Pauri Garhwal,28.066748469683848
2006,Pauri Garhwal,34.055527327483865
2007,Pauri Garhwal,33.23001921827091
2008,Pauri Garhwal,28.169559865360746
2009,Pauri Garhwal,25.196157820421313
2010,Pauri Garhwal,21.360955394818532
2011,Pauri Garhwal,29.810239694239623
2012,Pauri Garhwal,21.947153912293153
2013,Pauri Garhwal,31.003160167055153
2014,Pauri Garhwal,34.00827981024257
2015,Pauri Garhwal,31.831285826403693
2016,Pauri Garhwal,26.62047374112167
2017,Pauri Garhwal,27.282042046771778
2018,Pauri Garhwal,25.81965195650342
2019,Pauri Garhwal,36.733745454465605
2020,Pauri Garhwal,33.37827740854696
2000,Haridwar,12.473727646401331
2001,Haridwar,13.560933115580333
2002,Haridwar,13.721380374149005
2003,Haridwar,14.184908932909451
2004,Haridwar,13.237354122942817
2005,Haridwar,11.156335067182983
2006,Haridwar,16.275874373797148
2007,Haridwar,13.401058791541777
2008,Haridwar,15.120591345205524
2009,Haridwar,12.443271129182184
2010,Haridwar,10.547961764083915
2011,Haridwar,13.889804999671258
2012,Haridwar,12.205609569286182
2013,Haridwar,17.135591425174677
2014,Haridwar,17.607868964328432
2015,Haridwar,14.873289060042616
2016,Haridwar,15.027177426663858
2017,Haridwar,16.036763417490512
2018,Haridwar,15.821561459845736
2019,Haridwar,20.166258705530506
2020,Haridwar,19.820386801891562
2000,Tehri Garhwal,30.539105324313272
2001,Tehri Garhwal,30.063546379965597
2002,Tehri Garhwal,30.324598811094432
2003,Tehri Garhwal,28.441116312676666
2004,Tehri Garhwal,32.97793132282482
2005,Tehri Garhwal,32.281270390102044
2006,Tehri Garhwal,36.13530821339931
2007,Tehri Garhwal,34.60078774060905
2008,Tehri Garhwal,33.65565526769365
2009,Tehri Garhwal,28.176843505180727
2010,Tehri Garhwal,28.32611858456234
2011,Tehri Garhwal,31.385035001628804
2012,Tehri Garhwal,26.219552844521754
2013,Tehri Garhwal,31.545670853194252
2014,Tehri Garhwal,32.55501332321291
2015,Tehri Garhwal,33.995020279963065
2016,Tehri Garhwal,30.861014153646188
2017,Tehri Garhwal,31.439331437887674
2018,Tehri Garhwal,32.01372671989037
2019,Tehri Garhwal,35.252124793807404
2020,Tehri Garhwal,34.519974837450135
2000,Uttarkashi,25.44289913001845
2001,Uttarkashi,26.686350075830457
2002,Uttarkashi,24.104377827061086
2003,Uttarkashi,23.929597754332065
2004,Uttarkashi,27.889551188557938
2005,Uttarkashi,27.545666231033742
2006,Uttarkashi,28.365294854456685
2007,Uttarkashi,26.91652434375547
2008,Uttarkashi,27.293950049806156
2009,Uttarkashi,24.86673901247965
2010,Uttarkashi,24.054398703333945
2011,Uttarkashi,25.390006044960145
2012,Uttarkashi,23.79616571402224
2013,Uttarkashi,27.234004258633348
2014,Uttarkashi,25.44084940216798
2015,Uttarkashi,28.45411976348224
2016,Uttarkashi,26.243453725104022
2017,Uttarkashi,26.354543921340994
2018,Uttarkashi,26.07323977646914
2019,Uttarkashi,26.811534946122794
2020,Uttarkashi,28.200775801462573
