Year,Temperature (°C),Tree Cover (%),Rainfall (mm),Flood Events,Flood Extent (sq km)
2000,20.291453311331523,25.17783593877122,11872.150034665532,807074292,372428.98604470585
2001,21.042295716341993,24.027092360237695,8938.265079900968,807074292,276591.2553917647
2002,20.952229606631956,23.358021161428578,10227.268054304679,807074292,224272.7508282353
2003,20.51896587158397,23.000394777692822,10993.232557962818,807074292,249097.5937552941
2004,20.9215071544223,26.000444315804735,10527.771859494043,807074292,379377.5359164706
2005,20.859656985600534,24.12382659739107,11082.117588741434,807074292,355048.0163505882
2006,21.436132024827256,28.423958312106485,10683.1964462801,807074292,289406.4618847059
2007,20.9060035935477,27.548032392067334,12343.966762129656,807074292,364878.9813388235
2008,20.736653762019568,25.669829687628155,11316.443450949053,807074292,372235.06214470585
2009,21.871727473942183,23.021300306867662,16270.49610963715,807074292,544178.5821388235
2010,21.696065990239283,22.096165321805213,19556.981854155023,807074292,471760.55363294116
2011,20.50718956535998,24.848650995054722,24141.690982336797,807074292,441676.0113917647
2012,21.301663119669254,21.134069779509773,19492.090626224526,807074292,384395.02961647057
2013,20.879062568617073,26.08138855048202,24161.980054476924,807074292,475640.1745023529
2014,21.071536240427697,26.72510521007753,16705.579272429666,807074292,535825.3013047059
2015,20.89962838817723,26.730219851141914,18741.23124707834,807074292,522400.9005388235
2016,20.698366037856157,24.84660740218631,17077.774540048646,807074292,508441.08048
2017,20.211011823441247,24.10745476220206,20216.066035367014,807074292,480607.69671176473
2018,19.913644039325636,25.072551596881326,21222.500418270414,807074292,533051.2853364706
2019,19.460574106209,29.695466203380366,18954.454531560397,807074292,472106.3368023529
2020,19.873820092767165,28.775745816109236,17660.427809732148,807074292,464578.41244941176
