Month,Tree Cover %,Year
1,96.9477934,2000
2,99.401372702,2000
3,99.6006356418603,2000
4,99.37193951497012,2000
5,99.74404966892106,2000
6,99.8006555727032,2000
7,99.8006555727032,2000
8,99.8006555727032,2000
9,99.8006555727032,2000
10,99.25679544813077,2000
11,99.2874565803275,2000
12,99.8006555727032,2000
1,99.0852937699337,2001
2,99.71469846544336,2001
3,99.74404966892106,2001
4,99.8006555727032,2001
5,99.8006555727032,2001
6,99.8006555727032,2001
7,99.8006555727032,2001
8,99.74404966892106,2001
9,99.8006555727032,2001
10,99.74404966892106,2001
11,99.571747404334,2001
12,99.54270867574493,2001
1,99.42922409719702,2002
2,99.77206842504714,2002
3,99.54316025667794,2002
4,99.60003501415595,2002
5,99.8006555727032,2002
6,99.8006555727032,2002
7,99.65835792904794,2002
8,99.51480787692684,2002
9,99.71508474028929,2002
10,99.6863398288063,2002
11,99.8006555727032,2002
12,99.8006555727032,2002
1,99.77197082891342,2003
2,99.8006555727032,2003
3,99.74404966892106,2003
4,99.8006555727032,2003
5,99.8006555727032,2003
6,99.68744376513892,2003
7,98.94673694370432,2003
8,99.77216743725346,2003
9,99.65842494622272,2003
10,99.8006555727032,2003
11,99.68744376513892,2003
12,99.8006555727032,2003
1,99.8006555727032,2004
2,99.8006555727032,2004
3,99.68744376513892,2004
4,99.74404966892106,2004
5,99.8006555727032,2004
6,99.74404966892106,2004
7,97.68791186814148,2004
8,99.6023044346721,2004
9,99.71503100649115,2004
10,99.57269676813375,2004
11,99.77197082891342,2004
12,99.77197082891342,2004
1,99.68744376513892,2005
2,99.60168697571363,2005
3,99.48752940096878,2005
4,99.77233558817808,2005
5,99.8006555727032,2005
6,99.77232425703197,2005
7,99.68744376513892,2005
8,99.60161133640119,2005
9,99.8006555727032,2005
10,99.74404966892106,2005
11,99.8006555727032,2005
12,99.8006555727032,2005
1,99.74328608512364,2006
2,99.8006555727032,2006
3,99.68744376513892,2006
4,99.8006555727032,2006
5,99.74404966892106,2006
6,99.71576378301357,2006
7,99.74404966892106,2006
8,99.74404966892106,2006
9,99.74404966892106,2006
10,99.8006555727032,2006
11,99.8006555727032,2006
12,99.8006555727032,2006
1,99.71499455801393,2007
2,99.74404966892106,2007
3,99.8006555727032,2007
4,99.74404966892106,2007
5,99.77233558817808,2007
6,99.74404966892106,2007
7,99.74404966892106,2007
8,99.37114847937406,2007
9,99.60094667502287,2007
10,99.71497687506391,2007
11,99.8006555727032,2007
12,99.8006555727032,2007
1,99.77197082891342,2008
2,99.77197082891342,2008
3,99.8006555727032,2008
4,99.8006555727032,2008
5,99.8006555727032,2008
6,99.8006555727032,2008
7,99.8006555727032,2008
8,99.77193861069654,2008
9,99.65874208235033,2008
10,99.74404966892106,2008
11,99.8006555727032,2008
12,99.8006555727032,2008
1,99.8006555727032,2009
2,99.8006555727032,2009
3,99.8006555727032,2009
4,99.8006555727032,2009
5,99.8006555727032,2009
6,99.8006555727032,2009
