Month,State,Temperature (°C),Year
1,Assam,21.91684398016918,1981
2,Assam,25.045216872152064,1981
3,Assam,27.305918180857663,1981
4,Assam,28.191596620774988,1981
5,Assam,30.565194677546742,1981
6,Assam,31.712041721151294,1981
7,Assam,30.727796075501782,1981
8,Assam,31.716419925131262,1981
9,Assam,30.377285336988113,1981
10,Assam,30.270440401183464,1981
11,Assam,27.677438851302952,1981
12,Assam,23.2549268559143,1981
1,Assam,24.095950063967337,1982
2,Assam,23.690523920597936,1982
3,Assam,27.94957177504051,1982
4,Assam,27.605284460067868,1982
5,Assam,30.435863653747365,1982
6,Assam,29.558868633833132,1982
7,Assam,29.968396119014063,1982
8,Assam,31.393290495566404,1982
9,Assam,29.57174497054324,1982
10,Assam,29.540642139300388,1982
11,Assam,25.555431003046216,1982
12,Assam,22.37405436135848,1982
1,Assam,20.87282901622425,1983
2,Assam,22.74530477183463,1983
3,Assam,25.77334792041217,1983
4,Assam,28.38131405430177,1983
5,Assam,28.292965409881052,1983
6,Assam,30.6443162354111,1983
7,Assam,30.872243892655284,1983
8,Assam,30.268685255772365,1983
9,Assam,29.20439156312443,1983
10,Assam,29.355342087518306,1983
11,Assam,26.5985201368032,1983
12,Assam,21.71447625574527,1983
1,Assam,20.53580761953394,1984
2,Assam,24.307966050970972,1984
3,Assam,29.192884782994017,1984
4,Assam,29.851775030861507,1984
5,Assam,28.3758044884152,1984
6,Assam,31.51225155608025,1984
7,Assam,29.491499799946116,1984
8,Assam,30.959089339312055,1984
9,Assam,28.76673038326936,1984
10,Assam,29.02801248881543,1984
11,Assam,26.061194879297755,1984
12,Assam,23.17839860607258,1984
1,Assam,22.2944367906432,1985
2,Assam,23.10881655973943,1985
3,Assam,27.602880646827614,1985
4,Assam,29.82542108520151,1985
5,Assam,29.795375979903433,1985
6,Assam,30.13123935276918,1985
7,Assam,29.518248528094187,1985
8,Assam,31.152135940100752,1985
9,Assam,30.295886191437983,1985
10,Assam,29.914372699895623,1985
11,Assam,26.39648663204194,1985
12,Assam,24.11406961072716,1985
1,Assam,22.472090090413424,1986
2,Assam,24.98731008879497,1986
