year,rainfall
2000,3.9483156921980953
2001,3.617056038048048
2002,3.2274015878072246
2003,3.3937517729287072
2004,3.724087598537915
2005,2.9383820693792733
2006,3.6440733936066234
2007,4.0809999496965155
2008,4.412891189767593
2009,3.073454355692077
2010,3.0611894624694287
2011,3.391119284420794
2012,3.220112786834073
2013,3.289930665512888
2014,3.5235693136611506
2015,3.1259515444115946
2016,4.18017794692662
2017,3.6797603548283857
2018,3.1177360989041505
2019,3.636780958371241
2020,4.641460979115485
2021,4.656079072872021
2022,3.2189585251642057
2023,3.159202118991582
2000,2.980176623647929
2001,4.201632401701151
2002,2.965309954209579
2003,4.406680408260118
2004,3.6452496291159022
2005,3.840223501218757
2006,3.88613734865696
2007,4.102221349486709
2008,3.9465200294422593
2009,3.4669809076575997
2010,3.930453329753448
2011,3.9676387610552415
2012,4.370976212460666
2013,4.4325399266690795
2014,3.6477761305913465
2015,3.475526858364822
2016,4.02312978179874
2017,3.7177936745712783
2018,3.820062518361577
2019,4.130018059007092
2020,4.428490095805061
2021,3.773342120729513
2022,4.006541255365279
2023,3.592105393843733
2000,3.105612291886616
2001,3.5500350057129406
2002,3.2887432775082575
2003,3.512542916194582
2004,3.5401834675454418
2005,3.0679666806829826
2006,4.078540063760296
2007,4.2797015249389245
2008,4.076034829768544
2009,3.267346268831438
2010,2.748520145194723
2011,3.900875088015287
2012,3.5104587209136593
2013,3.9422738080792614
2014,3.3710249877698693
2015,3.4852333803976205
2016,4.123810724733179
2017,4.395979690854035
2018,3.384614157521367
2019,3.4984998732199397
2020,4.52149353349682
2021,4.64469401844314
2022,3.1152972169103244
2023,3.0464214589640064
2000,2.474743887745633
2001,2.744985047504821
2002,2.378345336254943
2003,3.23685582990895
2004,2.552665595389371
2005,3.2223233727788463
2006,3.2544801397414673
2007,2.710238027345144
2008,2.8292110971423368
2009,2.6077560424426176
2010,3.056778983614878
2011,3.2770378455961624
2012,3.131476174233725
2013,4.314729116884281
2014,2.62130739855301
2015,2.549995559721715
2016,3.7990933775017184
2017,2.557912703872956
2018,2.9411835575673404
2019,4.162570708280517
2020,3.2491847516838503
2021,3.071832917117173
2022,3.9565085104978888
2023,2.858548272090496
2000,2.878850558389911
2001,2.486313388018474
2002,2.1186387395321984
2003,2.885826413280644
2004,2.304444742818971
2005,2.4371684123440733
2006,2.514332302812269
2007,2.6344816208399235
2008,3.514249823694602
2009,2.34874188212
2010,2.813784700931381
2011,3.3477143027069665
2012,3.0437341141506775
2013,3.616838910059854
2014,2.4466154330777896
2015,2.1983347580808754
2016,3.1142005557539023
2017,2.964125183113707
2018,3.370332538409776
2019,3.011059305132973
2020,3.011043443200854
2021,3.4217189981849354
2022,2.747151866369254
2023,2.6129174970712223
2000,2.412594250068904
2001,1.8207022679632725
2002,2.1028770543838795
2003,2.210055881787574
2004,2.121302676747488
2005,2.2299374613595826
2006,2.171991902979126
2007,2.490810196641931
2008,2.254656924907625
2009,3.3671745042436765
2010,4.03917983745684
2011,5.025790874592358
2012,4.059825347909
2013,4.9997100995206365
2014,3.4811413219021916
2015,3.9257358411625263
2016,3.4813452414857955
2017,4.1601577308119975
2018,4.377051851469332
2019,3.946701887713563
2020,3.609562927860804
2021,3.80098771932359
2022,3.458199539605234
2023,4.079433350301368
2000,9.417282636851851
2001,8.732144047316815
2002,9.70117519848749
2003,9.2636535651096
2004,8.669970171698251
2005,8.929223824191892
2006,8.414475819138001
2007,10.581862391639731
2008,8.542526498967977
2009,9.632024112889962
2010,9.269186500897405
2011,10.284778625787318
2012,8.986803044751136
2013,9.581409164559425
2014,7.648853751932305
2015,7.392972200333628
2016,8.487808828881612
2017,8.472012412878492
2018,9.80362041844924
2019,8.779298979979785
2020,9.19075155560926
2021,9.788518626198604
2022,8.383021964550572
2023,6.568419157621161
2000,2.9812092490394257
2001,2.703730277752512
2002,2.337247564093893
2003,2.4658397139838573
2004,2.3560478598993044
2005,3.4828419854496406
2006,2.8941887924016476
2007,3.3068577407114375
2008,2.7676092105091787
2009,2.279077703653489
2010,3.9627589770232654
2011,2.2829797893618724
2012,2.9425939151291507
2013,3.0678130907065126
2014,2.410436607521422
2015,2.476269391607533
2016,2.557766934820352
2017,2.7232735374665964
2018,2.4521478408267283
2019,2.907278311579132
2020,3.649926541420332
2021,3.202268733977398
2022,3.3967001317491836
2023,2.440647543047737
2000,7.764780275185875
2001,6.612006884151973
2002,6.698973027702065
2003,6.8354134308203545
2004,7.992567712467923
2005,6.752380409696248
2006,5.976499405698152
2007,7.521793655687019
2008,6.505749064936301
2009,6.217726732050708
2010,8.223398867918522
2011,6.251302361601577
2012,7.610682677618238
2013,6.620463927972049
2014,6.411245126884239
2015,6.729720568546531
2016,6.675156628443188
2017,7.6271443116913105
2018,6.048369629068496
2019,6.396290435148412
2020,6.595757039002354
2021,5.280024271234991
2022,6.3717227390622915
2023,5.6720484843699355
2000,1.4363874365960847
2001,1.1656284826069003
2002,1.2164382012595678
2003,1.7919649992689008
2004,1.3735100894754688
2005,1.7451124379974854
2006,1.53985813610143
2007,1.7951637829799123
2008,2.333658326012847
2009,1.715591582649154
2010,3.060987458200485
2011,2.5579623135372995
2012,2.484597017834579
2013,2.592304958820377
2014,1.5059247261145932
2015,1.8329758077857703
2016,2.25196851021748
2017,2.079455549488133
2018,2.8078298101595247
2019,1.8787465060578907
2020,2.0397995181725337
2021,2.715533919366127
2022,1.9952039363596676
2023,2.1233819783905874
2000,9.07611303568638
2001,5.691661070851063
2002,5.844511327384929
2003,6.144034810084087
2004,6.836357274691494
2005,9.088815471873984
2006,8.573372627845288
2007,9.786026469240552
2008,7.210124635528707
2009,8.464667242372034
2010,9.501433957212384
2011,9.56515525364104
2012,5.889951508522596
2013,7.469315121989172
2014,8.232688184806992
2015,5.8960002418994435
2016,7.532806169945974
2017,7.071090801590345
2018,7.319409231026168
2019,11.17528489000885
2020,9.72896773293869
2021,8.272918309125968
2022,8.99579690159731
2023,6.703129932053178
2000,1.6273632775217626
2001,1.4817821590562656
2002,1.0718860367100205
2003,2.2074911086746125
2004,2.14818814191619
2005,2.2227999471647983
2006,2.9419853564061955
2007,2.934293552670031
2008,1.916565090785839
2009,2.1017890575446456
2010,3.1413246065977813
2011,2.64594441463715
2012,1.7365686508766265
2013,2.471816824939123
2014,1.9624258262980303
2015,1.902845923820768
2016,2.090007891646456
2017,2.491650437412552
2018,1.6673493961794412
2019,2.9070398592406352
2020,3.038918759045104
2021,2.2738038168040977
2022,2.699375480528877
2023,2.196695079738828
2000,1.020451910437442
2001,1.0063354400274942
2002,0.8165115324690068
2003,1.1829656504501127
2004,0.9301418824208688
2005,1.2335239690076696
2006,1.0166434304991985
2007,1.2273986335564813
2008,1.550798307086156
2009,1.4507972459884215
2010,2.66565609167148
2011,2.27908138291615
2012,2.1598484455057623
2013,2.2570127990791904
2014,1.5638719080531926
2015,1.8359079907801936
2016,1.8868867857039204
2017,1.8749033982307115
2018,2.5378156055690444
2019,1.7538136826712714
2020,1.8908691514479112
2021,2.327875734848956
2022,1.989826407870384
2023,2.163902531521022
2000,0.8362673383047394
2001,0.9005194954427063
2002,0.8231707264304462
2003,0.8615839600527276
2004,0.8071506234242499
2005,0.8378691676410079
2006,0.9910373266303864
2007,0.9053589994536924
2008,0.8989239008242653
2009,2.7381116906561904
2010,3.5501415967392047
2011,3.673790847696182
2012,3.309862921086552
2013,3.3478702954798725
2014,3.4219600942762853
2015,3.6876759650085407
2016,2.786624457222061
2017,3.00512816033554
2018,3.492886998175321
2019,3.4935901035640895
2020,2.8360934343956146
2021,2.7989716677068155
2022,2.764776782262144
2023,3.624804297844572
2000,3.356078405621623
2001,2.9536091935238864
2002,2.5208966668889574
2003,2.2172545465365765
2004,2.947499380152676
2005,4.0859785902939
2006,3.183841020440307
2007,4.0052528868431905
2008,3.0244527988905188
2009,3.567083688331213
2010,4.111565115612769
2011,3.0354014251363415
2012,2.768917075289574
2013,3.07795255322657
2014,3.2512333472939465
2015,2.824896370208279
2016,2.407059752240223
2017,3.254336772920227
2018,2.8341253299055404
2019,3.559980673579542
2020,3.794862588059414
2021,3.734304318340786
2022,3.844319336776321
2023,2.357064743402657
2000,7.405400528925844
2001,7.407670793636914
2002,6.56825317369476
2003,6.647225270904591
2004,8.076793729116273
2005,8.07695635911251
2006,8.83679879755857
2007,9.493481554971012
2008,7.691759025949517
2009,7.868237865976912
