,State,Year,Temperature (°C)
0,Bihar,2000,30.983224026842656
1,Bihar,2001,31.55179969488554
2,Bihar,2002,31.573089231762737
3,Bihar,2003,31.440741438637026
4,Bihar,2004,31.58982349704312
5,Bihar,2005,31.427826017234175
6,Bihar,2006,31.873369122474237
7,Bihar,2007,31.697779433816084
8,Bihar,2008,31.187533689811136
9,Bihar,2009,32.450332413769196
10,Bihar,2010,32.22485436087183
11,Bihar,2011,31.30255781269156
12,Bihar,2012,31.403204404232213
13,Bihar,2013,30.984390175097268
14,Bihar,2014,31.029929423105337
15,Bihar,2015,30.920717267976737
16,Bihar,2016,31.410854504809027
17,Bihar,2017,31.09207713588126
18,Bihar,2018,30.87953498006769
19,Bihar,2019,31.349819372044642
20,Bihar,2020,30.80097885102051
21,Bihar,2021,31.14158072753658
22,Bihar,2022,31.518662229306678
23,Bihar,2023,31.993208494391354
24,Chhattisgarh,2000,31.65856234921254
25,Chhattisgarh,2001,31.62785384916477
26,Chhattisgarh,2002,32.02542850060338
27,Chhattisgarh,2003,31.911844283804875
28,Chhattisgarh,2004,31.455848761402365
29,Chhattisgarh,2005,31.79218824892659
30,Chhattisgarh,2006,31.71081997398435
31,Chhattisgarh,2007,31.704767282615563
32,Chhattisgarh,2008,31.631485179089548
33,Chhattisgarh,2009,32.58694361099158
34,Chhattisgarh,2010,32.410573617364996
35,Chhattisgarh,2011,31.474469287455463
36,Chhattisgarh,2012,31.830765386265046
37,Chhattisgarh,2013,31.423746005008468
38,Chhattisgarh,2014,31.77792487640658
39,Chhattisgarh,2015,31.735040778835025
40,Chhattisgarh,2016,31.47806604327326
41,Chhattisgarh,2017,31.679245639510803
42,Chhattisgarh,2018,31.348372887400387
43,Chhattisgarh,2019,32.07483603068637
44,Chhattisgarh,2020,31.519725537423348
45,Chhattisgarh,2021,31.91264553336884
46,Chhattisgarh,2022,32.05486951245221
47,Chhattisgarh,2023,32.14261269083046
48,Jharkhand,2000,30.938556855445427
49,Jharkhand,2001,31.405237389933113
50,Jharkhand,2002,31.50492936108426
51,Jharkhand,2003,31.36455843022942
52,Jharkhand,2004,31.41596256498459
53,Jharkhand,2005,31.31892556673396
54,Jharkhand,2006,31.62003672589794
55,Jharkhand,2007,31.457363771294514
56,Jharkhand,2008,30.986604578382515
57,Jharkhand,2009,32.302261187543145
58,Jharkhand,2010,32.016727415824526
59,Jharkhand,2011,31.139698585768116
60,Jharkhand,2012,31.256015226963058
61,Jharkhand,2013,30.816878013927855
62,Jharkhand,2014,30.80787156705902
63,Jharkhand,2015,30.793862142897616
64,Jharkhand,2016,31.199432634557326
65,Jharkhand,2017,30.938459101603563
66,Jharkhand,2018,30.72596737583175
67,Jharkhand,2019,31.446460000390925
68,Jharkhand,2020,30.91516737530754
69,Jharkhand,2021,31.41611288906747
70,Jharkhand,2022,31.5883717307565
71,Jharkhand,2023,31.971399012954237
72,Madhya Pradesh,2000,32.49044709256124
73,Madhya Pradesh,2001,32.24343960823318
74,Madhya Pradesh,2002,32.80333138322153
75,Madhya Pradesh,2003,32.49042248695753
76,Madhya Pradesh,2004,32.623450596506274
77,Madhya Pradesh,2005,32.23268740834872
78,Madhya Pradesh,2006,32.54266589455115
79,Madhya Pradesh,2007,32.44063359988182
80,Madhya Pradesh,2008,32.18225525074415
81,Madhya Pradesh,2009,33.17843385701384
82,Madhya Pradesh,2010,33.16968975195199
83,Madhya Pradesh,2011,32.254354931751244
84,Madhya Pradesh,2012,32.148649211493094
85,Madhya Pradesh,2013,31.77447242289109
86,Madhya Pradesh,2014,32.709422730659476
87,Madhya Pradesh,2015,32.44147402653002
88,Madhya Pradesh,2016,31.906650863203016
89,Madhya Pradesh,2017,32.08237106031588
90,Madhya Pradesh,2018,32.07599552341544
91,Madhya Pradesh,2019,32.44066966734857
92,Madhya Pradesh,2020,32.09095592895954
93,Madhya Pradesh,2021,32.20694462822233
94,Madhya Pradesh,2022,32.41995061812598
95,Madhya Pradesh,2023,32.0842757753617
96,Uttar Pradesh,2000,31.936128057598175
97,Uttar Pradesh,2001,31.873802895137988
98,Uttar Pradesh,2002,32.35378246872706
99,Uttar Pradesh,2003,32.03638571220996
100,Uttar Pradesh,2004,32.54670701390993
101,Uttar Pradesh,2005,31.811580246522215
102,Uttar Pradesh,2006,32.04719240100626
103,Uttar Pradesh,2007,31.996503812246043
104,Uttar Pradesh,2008,31.67830244593987
105,Uttar Pradesh,2009,32.73847802815863
106,Uttar Pradesh,2010,32.74677395979849
107,Uttar Pradesh,2011,31.708614369546943
108,Uttar Pradesh,2012,31.697592956040562
109,Uttar Pradesh,2013,31.52653025509133
110,Uttar Pradesh,2014,31.565291232257966
111,Uttar Pradesh,2015,31.695152981931443
112,Uttar Pradesh,2016,32.675302246639106
113,Uttar Pradesh,2017,32.21572757699358
114,Uttar Pradesh,2018,32.167266726965906
115,Uttar Pradesh,2019,31.7389510457205
116,Uttar Pradesh,2020,31.31420000212873
117,Uttar Pradesh,2021,31.763602220985934
118,Uttar Pradesh,2022,32.204004044404066
119,Uttar Pradesh,2023,31.962746484429697
120,Uttarakhand,2000,18.719637693930526
121,Uttarakhand,2001,18.807958258387508
122,Uttarakhand,2002,18.951893525885936
123,Uttarakhand,2003,18.661223704149037
124,Uttarakhand,2004,19.628280063447
125,Uttarakhand,2005,18.425800612007592
126,Uttarakhand,2006,18.92856141933238
127,Uttarakhand,2007,19.074211310218082
128,Uttarakhand,2008,18.59285210738294
129,Uttarakhand,2009,19.27435265770594
130,Uttarakhand,2010,19.46768373618357
131,Uttarakhand,2011,18.637587079763172
132,Uttarakhand,2012,18.216121069337277
133,Uttarakhand,2013,18.389964146930243
134,Uttarakhand,2014,18.21308455622546
135,Uttarakhand,2015,18.40192702042846
136,Uttarakhand,2016,19.757814353668522
137,Uttarakhand,2017,19.09638761747278
138,Uttarakhand,2018,18.949587706975898
139,Uttarakhand,2019,18.524887775571834
140,Uttarakhand,2020,18.59202213041538
141,Uttarakhand,2021,19.08934705944356
142,Uttarakhand,2022,19.421805076794648
143,Uttarakhand,2023,18.76431222581049
144,Andaman and Nicobar,2000,29.520902795713234
145,Andaman and Nicobar,2001,29.90724213870534
146,Andaman and Nicobar,2002,29.9859422861697
147,Andaman and Nicobar,2003,30.039827319508806
148,Andaman and Nicobar,2004,30.085550019856278
149,Andaman and Nicobar,2005,30.12554840913442
150,Andaman and Nicobar,2006,30.009784232699282
151,Andaman and Nicobar,2007,29.83028198740856
152,Andaman and Nicobar,2008,29.788294217786255
153,Andaman and Nicobar,2009,30.32744121559508
154,Andaman and Nicobar,2010,30.694333175038203
155,Andaman and Nicobar,2011,29.93654630686471
156,Andaman and Nicobar,2012,30.325129552024908
157,Andaman and Nicobar,2013,30.206187393602068
158,Andaman and Nicobar,2014,30.535475107404586
159,Andaman and Nicobar,2015,30.51730317950932
160,Andaman and Nicobar,2016,30.50851676122709
161,Andaman and Nicobar,2017,30.3972898216264
